name	SRX098328	SRX098325	SRX098326	SRX098327
hsa-miR-4640-5p	0	0	16	2
hsa-miR-1287-3p	16	0	72	30
hsa-miR-98-5p	1762	0	24787	1582
hsa-miR-516a-5p	39	0	79	70
hsa-miR-651-5p	561	0	783	1734
hsa-miR-6505-5p	0	0	2	0
hsa-miR-6866-5p	0	0	14	0
hsa-miR-6130	1	0	1	0
hsa-miR-376a-3p	0	0	3	2
hsa-miR-148a-5p	14637	0	13879	13786
hsa-miR-618	2	0	0	2
hsa-miR-185-5p	521	0	3243	926
hsa-miR-30b-3p	0	0	67	0
hsa-miR-1468-5p	9	0	165	8
hsa-miR-150-3p	2	0	13	0
hsa-miR-342-3p	4542	0	4616	1843
hsa-miR-6129	9	0	0	0
hsa-miR-7-5p	54	0	1027	147
hsa-miR-548a-3p	0	0	7	2
hsa-miR-4754	0	0	4	0
hsa-miR-138-2-3p	0	0	2	0
hsa-miR-144-3p	0	0	9	0
hsa-miR-331-5p	154	0	208	196
hsa-miR-4762-3p	0	0	5	0
hsa-miR-523-5p	0	0	0	1
hsa-miR-26b-5p	13937	0	48567	11853
hsa-miR-889-3p	34	0	58	13
hsa-miR-15a-3p	2	0	9	15
hsa-miR-600	2	0	0	0
hsa-miR-34c-3p	0	0	5	0
hsa-miR-3120-3p	0	0	4	0
hsa-miR-3622a-3p	0	0	4	0
hsa-miR-181c-5p	35	0	601	76
hsa-miR-3661	2	0	0	0
hsa-miR-191-3p	0	0	24	2
hsa-miR-1229-3p	2	0	4	0
hsa-miR-383-3p	0	0	0	2
hsa-miR-4640-3p	12	0	31	2
hsa-miR-93-5p	7364	0	22239	6855
hsa-miR-98-3p	36	0	52	111
hsa-miR-33b-5p	166	0	2916	651
hsa-miR-651-3p	0	0	3	0
hsa-miR-296-5p	4	0	53	6
hsa-miR-148a-3p	1473891	0	4635547	788253
hsa-miR-488-5p	0	0	0	2
hsa-miR-127-5p	4	0	26	0
hsa-miR-185-3p	14	0	120	14
hsa-miR-1271-5p	8	0	25	11
hsa-miR-6855-5p	0	0	7	0
hsa-miR-3654	0	0	21	0
hsa-miR-19b-3p	11492	0	47605	20478
hsa-miR-6820-3p	2	0	0	2
hsa-miR-4734	0	0	2	0
hsa-miR-4797-3p	2	0	4	3
hsa-miR-1260b	278	0	813	183
hsa-miR-1260a	374	0	843	289
hsa-miR-3074-5p	8	0	71	12
hsa-miR-18a-5p	263	0	672	490
hsa-miR-331-3p	90	0	3917	154
hsa-miR-6733-5p	2	0	4	8
hsa-miR-499a-5p	4687	0	7080	5047
hsa-miR-523-3p	9	0	37	3
hsa-miR-26b-3p	54	0	341	37
hsa-miR-944	2	0	14	2
hsa-miR-4786-5p	0	0	2	0
hsa-miR-941	145	0	906	23
hsa-miR-940	28	0	97	26
hsa-miR-519a-5p	28	0	17	20
hsa-miR-628-5p	17	0	694	60
hsa-miR-494-3p	2	0	2	0
hsa-miR-181c-3p	9	0	56	5
hsa-miR-512-5p	0	0	6	4
hsa-miR-3144-5p	0	0	3	0
hsa-miR-873-5p	6	0	3	5
hsa-miR-6727-5p	0	0	2	0
hsa-miR-570-3p	6	0	13	4
hsa-miR-93-3p	35	0	67	34
hsa-miR-5009-5p	0	0	3	4
hsa-let-7c-5p	10933	0	164192	3508
hsa-miR-4721	0	0	4	0
hsa-miR-6861-3p	0	0	5	0
hsa-miR-33b-3p	21	0	167	20
hsa-miR-4664-5p	0	0	9	3
hsa-miR-518e-5p	0	0	0	1
hsa-miR-296-3p	2	0	7	8
hsa-miR-122-5p	18	0	112	23
hsa-miR-4740-5p	0	0	2	0
hsa-miR-488-3p	14	0	131	29
hsa-miR-127-3p	7	0	244	5
hsa-miR-6529-5p	1	0	0	0
hsa-miR-323b-3p	6	0	15	0
hsa-miR-4745-3p	0	0	5	0
hsa-miR-526a-5p	0	0	0	2
hsa-miR-3191-5p	0	0	6	0
hsa-miR-4286	48	0	14	14
hsa-miR-935	0	0	2	0
hsa-miR-4284	0	0	4	0
hsa-miR-934	3	0	51	23
hsa-miR-450b-5p	6	0	2	7
hsa-miR-200b-5p	735	0	7307	176
hsa-miR-130a-3p	198	0	131	276
hsa-miR-4719	0	0	3	0
hsa-miR-496	0	0	9	0
hsa-miR-361-5p	2827	0	2125	1593
hsa-miR-3199	0	0	10	0
hsa-miR-492	0	0	7	0
hsa-miR-3198	0	0	2	0
hsa-miR-3196	0	0	20	0
hsa-miR-3074-3p	3	0	9	0
hsa-miR-18a-3p	45	0	159	70
hsa-miR-6849-3p	0	0	4	0
hsv2-miR-H10	198	0	88	0
hsa-miR-6733-3p	0	0	2	0
hsa-miR-499a-3p	0	0	30	23
hsa-miR-5010-5p	0	0	0	2
hsa-miR-3913-5p	16	0	114	7
hsa-miR-365b-5p	71	0	223	26
hsa-miR-4804-5p	0	0	6	0
hsa-miR-4670-3p	0	0	3	2
hsa-miR-431-5p	0	0	3	0
hsa-miR-519a-3p	55	0	137	282
hsa-miR-628-3p	0	0	45	0
hsa-miR-3692-5p	2	0	0	0
hsa-miR-3144-3p	4	0	25	18
hsa-miR-512-3p	41	0	144	55
hsa-miR-484	2802	0	4971	1135
hsa-miR-4706	0	0	2	0
hsa-miR-99a-5p	31044	0	80259	25581
hsa-let-7c-3p	19	0	33	59
hsa-miR-6803-3p	12	0	4	0
hsa-miR-4664-3p	0	0	3	2
hsa-miR-425-5p	2206	0	5418	968
hsa-miR-3182	2	0	65	38
hsa-miR-3181	0	0	4	0
hsa-miR-518e-3p	33	0	19	34
hsa-miR-3180	0	0	1	0
hsa-miR-520c-5p	0	0	0	1
hsa-miR-501-5p	2	0	163	5
hsa-miR-526a-3p	0	0	1	0
hsa-miR-3191-3p	2	0	9	2
hsa-miR-200b-3p	40107	0	538177	20463
hsa-miR-3615	208	0	1708	30
hsa-miR-3611	0	0	0	5
hsa-miR-3127-5p	9	0	27	28
hsa-miR-450a-2-3p	0	0	3	0
hsa-miR-361-3p	394	0	7517	119
hsa-miR-3179	0	0	0	2
hsa-miR-3178	4	0	41	0
hsa-miR-29b-3p	2143	0	3987	2565
hsa-miR-3176	0	0	2	0
hsa-miR-937-3p	6	0	15	0
hsa-miR-3174	88	0	61	113
hsa-miR-3170	2	0	3	0
hsa-miR-125b-1-3p	11	0	41	12
hsa-miR-4536-3p	0	0	3	2
hsa-miR-4723-5p	0	0	5	2
hsa-miR-5010-3p	2	0	11	4
hsa-miR-4728-3p	19	0	88	7
hsa-miR-4781-3p	0	0	22	0
hsa-miR-542-5p	9	0	33	9
hsa-miR-3913-3p	2	0	4	3
hsa-miR-6757-5p	2	0	3	0
hsa-miR-3609	0	0	2	0
hsa-miR-365b-3p	5178	0	10599	8232
hsa-miR-4804-3p	0	0	4	3
hsa-miR-30d-5p	191236	0	767331	127869
hsa-miR-6838-3p	4	0	0	0
hsa-miR-5697	0	0	5	2
hsa-miR-29b-2-5p	82	0	524	66
hsa-miR-30c-2-3p	40	0	936	25
hsa-miR-107	2438	0	1650	1926
hsa-miR-152-5p	54	0	15	56
hsa-miR-12136	0	0	139	2
hsa-miR-5690	16	0	54	2
hsa-miR-99a-3p	198	0	564	238
hsa-miR-12135	0	0	59	0
hsa-miR-3168	44	0	162	13
hsa-miR-6511a-5p	0	0	2	0
hsa-miR-3165	0	0	3	0
hsa-miR-3164	0	0	3	0
hsa-miR-425-3p	498	0	1757	297
hsa-miR-10393-5p	0	0	4	0
hsa-miR-4662a-5p	0	0	3	0
hsa-miR-520c-3p	1	0	41	17
hsa-miR-501-3p	332	0	568	170
hsa-miR-24-3p	55197	0	92450	115969
hsa-miR-664b-5p	17	0	143	24
hsa-miR-133a-3p	0	0	1153	20
hsa-miR-338-5p	9	0	10	7
hsa-miR-222-5p	0	0	9	3
hsa-miR-190b-5p	413	0	1842	772
hsa-miR-6513-5p	7	0	24	5
hsa-miR-5684	17	0	53	17
hsa-miR-12129	0	0	0	2
hsa-miR-3675-5p	2	0	0	0
hsa-miR-5683	2	0	0	2
hsa-miR-3180-3p	0	0	3	0
hsa-miR-5680	0	0	2	0
hsa-miR-3159	2	0	0	2
hsa-miR-12125	34	0	79	49
hsa-miR-3154	2	0	0	0
hsa-miR-1307-5p	4108	0	4759	6076
hsa-miR-769-5p	174	0	890	108
hsa-miR-100-5p	6176	0	7371	4594
hsa-miR-653-5p	0	0	0	4
hsa-miR-891b	0	0	2	0
hsa-miR-376c-3p	0	0	15	2
hsa-miR-542-3p	19	0	24	35
hsa-miR-6757-3p	2	0	0	0
hsa-miR-187-5p	2	0	16	2
hsa-miR-379-5p	16	0	113	18
hsa-miR-6833-3p	0	0	3	0
hsa-miR-30d-3p	63	0	620	52
hsa-miR-551b-3p	0	0	14	0
hsa-miR-455-5p	13	0	42	26
hsa-miR-448	0	0	9	10
hsa-miR-301b-3p	17	0	20	64
hsa-miR-152-3p	19166	0	25350	3583
hsa-miR-4717-3p	0	0	5	0
hsa-miR-12117	0	0	2	0
hsa-miR-3149	2	0	17	2
hsa-miR-3148	0	0	2	0
hsa-miR-9-5p	20	0	305	4
hsa-miR-10a-5p	37696	0	16228	9426
hsa-miR-548c-3p	0	0	0	2
hsa-miR-6511a-3p	6	0	49	3
hsa-miR-3146	3	0	7	2
hsa-miR-6822-5p	0	0	2	0
hsa-miR-4799-5p	0	0	3	3
