name	SRX098328	SRX098325	SRX098326	SRX098327
hsa-miR-148a-3p	1473891	0	4635547	788253	6897691.0
hsa-let-7f-5p	196978	0	1865750	85340	2148068.3400000003
hsa-let-7a-5p	189722	0	1614686	46615	1851023.14
hsa-miR-146b-5p	78215	0	1470011	82196	1630421.5
hsa-miR-200c-3p	57439	0	1032171	37882	1127491.0
hsa-miR-30d-5p	191236	0	767331	127869	1086435.5
hsa-miR-378a-3p	142280	0	232241	502441	876962.29
hsa-miR-182-5p	177344	0	448315	186736	812395.0
hsa-miR-30b-5p	232398	0	231107	241976	705481.0
hsa-miR-141-3p	167990	0	386853	126265	681106.5
hsa-miR-200a-3p	104186	0	437873	106826	648884.5
hsa-miR-21-5p	219401	0	290340	116164	625905.0
hsa-miR-200b-3p	40107	0	538177	20463	598746.0
hsa-miR-101-3p	82978	0	160842	267164	510984.0
hsa-let-7b-5p	72806	0	377856	20452	471114.07
hsa-miR-29a-3p	165148	0	159528	144520	469195.6599999999
hsa-miR-375-3p	74131	0	349159	37511	460801.0
hsa-miR-30a-5p	57752	0	236472	149644	443867.0
hsa-miR-22-3p	152427	0	150865	113134	416426.0
hsa-miR-26a-5p	79503	0	211445	79039	369987.33999999997
hsa-miR-181a-5p	42757	0	240120	23225	306102.0
hsa-let-7g-5p	49020	0	180929	65397	295346.3
hsa-miR-511-3p	32835	0	21675	215667	270177.0
hsa-miR-24-3p	55197	0	92450	115969	263616.0
hsa-miR-30c-5p	41401	0	123594	75197	240192.0
hsa-miR-191-5p	46044	0	103538	59715	209297.0
hsa-miR-29c-3p	63613	0	23264	112988	199864.0
hsa-let-7c-5p	10933	0	164192	3508	178633.9
hsa-miR-183-5p	42775	0	100698	32266	175739.0
hsa-miR-151a-3p	16153	0	114295	9101	139549.0
hsa-miR-378c	22083	0	31225	85061	138367.78999999998
hsa-miR-99a-5p	31044	0	80259	25581	136883.0
hsa-let-7i-5p	14880	0	103588	12004	130471.5
hsa-miR-25-3p	30576	0	65519	22540	118635.0
hsa-miR-92a-3p	29109	0	72961	9229	111299.0
hsa-miR-193b-3p	33345	0	41366	34445	109156.0
hsa-miR-429	17795	0	65338	21551	104683.0
hsa-miR-181b-5p	16275	0	70820	12605	99700.68
hsa-miR-148b-3p	21778	0	63641	10385	95804.0
hsa-miR-27b-3p	10099	0	54594	19592	84285.16
hsa-miR-103a-3p	11555	0	62051	7024	80630.0
hsa-miR-19b-3p	11492	0	47605	20478	79576.01999999999
hsa-miR-99b-5p	20948	0	39792	14021	74760.0
hsa-miR-26b-5p	13937	0	48567	11853	74356.67
hsa-let-7d-5p	9145	0	57491	4355	70990.95
hsa-miR-10a-5p	37696	0	16228	9426	63349.5
hsa-miR-27a-3p	24803	0	18979	19144	62925.66
hsa-miR-30a-3p	6242	0	47815	6417	60473.5
hsa-miR-30e-5p	6650	0	27523	25706	59877.5
hsa-miR-30e-3p	4780	0	51900	2887	59567.0
hsa-miR-16-5p	8648	0	46436	3682	58765.66
hsa-miR-374b-5p	19569	0	22834	14488	56889.5
hsa-miR-143-3p	19478	0	30440	5912	55830.0
hsa-miR-23a-3p	20924	0	7625	26247	54795.0
hsa-miR-335-5p	26355	0	10077	15069	51501.0
hsa-miR-186-5p	3908	0	42609	3310	49827.0
hsa-miR-151a-5p	6289	0	36778	6679	49745.0
hsa-miR-152-3p	19166	0	25350	3583	48099.0
hsa-let-7d-3p	12273	0	23594	11889	47756.0
hsa-miR-140-3p	15734	0	14759	15892	46385.0
hsa-miR-106b-5p	9108	0	19567	17025	45700.0
hsa-miR-148a-5p	14637	0	13879	13786	42302.0
hsa-miR-193a-3p	10048	0	6220	23161	39429.0
hsa-miR-93-5p	7364	0	22239	6855	36458.0
hsa-miR-28-3p	6765	0	21910	5562	34237.0
hsa-miR-423-3p	6036	0	19864	6039	31939.0
hsa-miR-125b-5p	3030	0	27213	1459	31702.0
hsa-miR-885-5p	21299	0	6333	2563	30195.0
hsa-miR-28-5p	1536	0	26883	1547	29966.0
hsa-miR-98-5p	1762	0	24787	1582	28130.249999999996
hsa-miR-22-5p	10049	0	7752	10076	27877.0
hsa-miR-224-5p	5208	0	17649	2224	25081.0
hsa-miR-320a-3p	6295	0	12915	5633	24843.61
hsa-miR-19a-3p	2353	0	13616	8549	24517.010000000002
hsa-miR-205-5p	5282	0	18083	1013	24378.0
hsa-miR-574-3p	9838	0	4399	9840	24077.0
hsa-miR-365b-3p	5178	0	10599	8232	24008.0
hsa-miR-365a-3p	5178	0	10599	8228	24004.0
hsa-miR-125a-5p	2024	0	20346	1223	23593.0
hsa-let-7e-5p	1447	0	17667	660	19773.679999999997
hsa-miR-374a-5p	3118	0	12833	3429	19379.5
