name	SRX098328	SRX098325	SRX098326	SRX098327
hsa	80.63	0.0	94.15	97.02	271.8
bacteria_collection	8.59	0.0	1.5	0.65	10.74
hsa-bacteria_collection	4.32	0.0	1.65	0.55	6.5200000000000005
unmapped	2.5906291270699655	0.0	1.4753452453516287	1.174209663977606	5.240184036399201
hsa_HR	2.41	0.0	0.96	0.54	3.91
bacteria_collection_HR	1.1	0.0	0.06	0.02	1.1800000000000002
human_virus	0.07	0.0	0.09	0.02	0.18
human_virus-hsa	0.11	0.0	0.02	0.02	0.15
bacteria_collection_HR-hsa_HR	0.07	0.0	0.01	0.0	0.08
human_virus-bacteria_collection	0.02	0.0	0.03	0.01	0.060000000000000005
	sumhuman_virus-hsa-bacteria_collection	0.07	0.0	0.06	0.01	0.14
hsa_HR-human_virus_HR	0.0	0.0	0.0	0.0	0.0
bacteria_collection_HR-hsa_HR-human_virus_HR	0.0	0.0	0.0	0.0	0.0
