name	SRX098328	SRX098325	SRX098326	SRX098327
tRNA#antisense	0.0	0.0	0.0	0.0
processed_transcript#sense	0.15	0.0	0.28	0.09
processed_pseudogene#antisense	1.0	0.0	0.49	0.38
IG_V_pseudogene#antisense	0.0	0.0	0.0	0.0
ribozyme#antisense	0.0	0.0	0.0	0.0
Y_RNA #sense	0.02	0.0	0.13	0.02
retained_intron#sense	0.62	0.0	0.39	0.6
antisense_RNA#sense	0.5	0.0	0.52	0.1
Mt_tRNA#antisense	0.0	0.0	0.0	0.0
hairpin#antisense	0.0	0.0	0.0	0.0
sense_overlapping#sense	0.01	0.0	0.02	0.01
lncRNA#antisense	0.21	0.0	0.18	0.12
piRNA#antisense	0.0	0.0	0.0	0.0
transcribed_unitary_pseudogene#sense	0.0	0.0	0.0	0.0
processed_transcript#antisense	0.32	0.0	0.14	0.01
asRNA#sense	0.0	0.0	0.0	0.0
sRNA#antisense	0.0	0.0	0.0	0.0
unprocessed_pseudogene#antisense	0.01	0.0	0.0	0.0
vaultRNA#sense	0.0	0.0	0.0	0.0
protein_coding#antisense	0.6	0.0	0.92	0.46
TR_V_gene#antisense	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#sense	0.0	0.0	0.0	0.0
unitary_pseudogene#sense	0.0	0.0	0.0	0.0
protein_coding#sense	6.05	0.0	3.1	1.42
pseudogene#sense	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#antisense	0.0	0.0	0.0	0.0
rRNA#sense	1.23	0.0	1.54	2.12
rRNA#antisense	0.0	0.0	0.0	0.0
tRNA#sense	26.51	0.0	7.18	3.62
IG_V_gene#antisense	0.0	0.0	0.0	0.0
guide_RNA #sense	0.0	0.0	0.0	0.0
misc_RNA#antisense	0.0	0.0	0.0	0.0
Mt_rRNA#sense	0.0	0.0	0.06	0.0
ribozyme#sense	0.0	0.0	0.0	0.0
transcribed_unitary_pseudogene#antisense	0.0	0.0	0.0	0.0
sense_intronic#sense	0.03	0.0	0.03	0.01
TEC#sense	0.0	0.0	0.0	0.0
Mt_tRNA#sense	0.0	0.0	0.06	0.01
pseudogene#antisense	0.0	0.0	0.0	0.0
otherRNA#sense	0.03	0.0	0.05	0.04
vault_RNA #sense	0.0	0.0	0.0	0.0
mature#sense	35.37	0.0	68.32	72.85
gRNA#sense	0.0	0.0	0.0	0.0
microRNA#sense	0.0	0.0	0.0	0.0
otherRNA#antisense	0.0	0.0	0.0	0.0
non_coding#antisense	0.01	0.0	0.03	0.0
polymorphic_pseudogene#sense	0.0	0.0	0.0	0.0
non_stop_decay#sense	0.0	0.0	0.0	0.0
processed_pseudogene#sense	0.01	0.0	0.02	0.02
Mt_rRNA#antisense	0.0	0.0	0.0	0.0
lincRNA#sense	1.12	0.0	0.61	0.17
sense_overlapping#antisense	0.0	0.0	0.01	0.0
retained_intron#antisense	0.09	0.0	0.08	0.06
transcribed_unprocessed_pseudogene#sense	0.0	0.0	0.0	0.0
snRNA#sense	0.14	0.0	0.02	0.03
lncRNA#sense	0.83	0.0	0.65	0.63
hairpin#sense	0.01	0.0	0.01	0.01
non_coding#sense	0.0	0.0	0.0	0.0
antisense_RNA#antisense	0.22	0.0	2.11	0.2
macro_lncRNA#sense	0.05	0.0	0.0	0.0
miRNA#antisense	0.0	0.0	0.01	0.0
miRNA#sense	0.17	0.0	0.11	0.6
mature#antisense	0.0	0.0	0.0	0.0
snoRNA#sense	0.11	0.0	0.04	0.03
TR_V_gene#sense	0.0	0.0	0.0	0.0
3prime_overlapping_ncRNA#antisense	0.0	0.0	0.0	0.0
un-assigned	22.700633007802004	0.0	11.691930681514183	14.967759572928568
nonsense_mediated_decay#sense	0.1	0.0	0.17	0.06
non_stop_decay#antisense	0.0	0.0	0.0	0.0
scaRNA#antisense	0.0	0.0	0.0	0.0
asRNA#antisense	0.0	0.0	0.0	0.0
piRNA#sense	0.05	0.0	0.02	0.01
srpRNA#antisense	0.0	0.0	0.0	0.0
transcribed_unprocessed_pseudogene#antisense	0.0	0.0	0.0	0.0
scRNA#sense	0.0	0.0	0.0	0.0
transcribed_processed_pseudogene#sense	0.0	0.0	0.0	0.0
nonsense_mediated_decay#antisense	0.06	0.0	0.05	0.01
sRNA#sense	0.0	0.0	0.0	0.0
snRNA#antisense	0.0	0.0	0.0	0.0
srpRNA#sense	0.0	0.0	0.0	0.0
unprocessed_pseudogene#sense	0.0	0.0	0.01	0.0
TR_J_gene#sense	0.0	0.0	0.0	0.0
macro_lncRNA#antisense	0.0	0.0	0.0	0.0
transcribed_processed_pseudogene#antisense	0.0	0.0	0.0	0.0
3prime_overlapping_ncRNA#sense	0.0	0.0	0.0	0.0
lincRNA#antisense	1.44	0.0	0.83	0.88
microRNA#antisense	0.0	0.0	0.0	0.0
sense_intronic#antisense	0.01	0.0	0.01	0.01
misc_RNA#sense	0.11	0.0	0.04	0.01
snoRNA#antisense	0.0	0.0	0.0	0.01
scaRNA#sense	0.09	0.0	0.05	0.39
polymorphic_pseudogene#antisense	0.0	0.0	0.0	0.0
IG_V_gene#sense	0.0	0.0	0.0	0.0
TEC#antisense	0.0	0.0	0.0	0.0
