name	SRX098328	SRX098325	SRX098326	SRX098327
mature#sense	35.37	0.0	68.32	72.85	176.54
un-assigned	22.700633007802004	0.0	11.691930681514183	14.967759572928568	49.36032326224476
tRNA#sense	26.51	0.0	7.18	3.62	37.309999999999995
protein_coding#sense	6.05	0.0	3.1	1.42	10.57
rRNA#sense	1.23	0.0	1.54	2.12	4.890000000000001
lincRNA#antisense	1.44	0.0	0.83	0.88	3.15
antisense_RNA#antisense	0.22	0.0	2.11	0.2	2.5300000000000002
lncRNA#sense	0.83	0.0	0.65	0.63	2.11
protein_coding#antisense	0.6	0.0	0.92	0.46	1.98
lincRNA#sense	1.12	0.0	0.61	0.17	1.9
processed_pseudogene#antisense	1.0	0.0	0.49	0.38	1.87
retained_intron#sense	0.62	0.0	0.39	0.6	1.6099999999999999
antisense_RNA#sense	0.5	0.0	0.52	0.1	1.12
miRNA#sense	0.17	0.0	0.11	0.6	0.88
scaRNA#sense	0.09	0.0	0.05	0.39	0.53
processed_transcript#sense	0.15	0.0	0.28	0.09	0.52
lncRNA#antisense	0.21	0.0	0.18	0.12	0.51
processed_transcript#antisense	0.32	0.0	0.14	0.01	0.47000000000000003
nonsense_mediated_decay#sense	0.1	0.0	0.17	0.06	0.33
retained_intron#antisense	0.09	0.0	0.08	0.06	0.22999999999999998
snRNA#sense	0.14	0.0	0.02	0.03	0.19
snoRNA#sense	0.11	0.0	0.04	0.03	0.18
Y_RNA #sense	0.02	0.0	0.13	0.02	0.16999999999999998
misc_RNA#sense	0.11	0.0	0.04	0.01	0.16
otherRNA#sense	0.03	0.0	0.05	0.04	0.12
nonsense_mediated_decay#antisense	0.06	0.0	0.05	0.01	0.12
piRNA#sense	0.05	0.0	0.02	0.01	0.08
sense_intronic#sense	0.03	0.0	0.03	0.01	0.06999999999999999
Mt_tRNA#sense	0.0	0.0	0.06	0.01	0.06999999999999999
Mt_rRNA#sense	0.0	0.0	0.06	0.0	0.06
processed_pseudogene#sense	0.01	0.0	0.02	0.02	0.05
macro_lncRNA#sense	0.05	0.0	0.0	0.0	0.05
sense_overlapping#sense	0.01	0.0	0.02	0.01	0.04
non_coding#antisense	0.01	0.0	0.03	0.0	0.04
hairpin#sense	0.01	0.0	0.01	0.01	0.03
sense_intronic#antisense	0.01	0.0	0.01	0.01	0.03
unprocessed_pseudogene#antisense	0.01	0.0	0.0	0.0	0.01
sense_overlapping#antisense	0.0	0.0	0.01	0.0	0.01
miRNA#antisense	0.0	0.0	0.01	0.0	0.01
unprocessed_pseudogene#sense	0.0	0.0	0.01	0.0	0.01
snoRNA#antisense	0.0	0.0	0.0	0.01	0.01
	sumtRNA#antisense	0.0	0.0	0.0	0.0	0.0
IG_V_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0
ribozyme#antisense	0.0	0.0	0.0	0.0	0.0
Mt_tRNA#antisense	0.0	0.0	0.0	0.0	0.0
hairpin#antisense	0.0	0.0	0.0	0.0	0.0
piRNA#antisense	0.0	0.0	0.0	0.0	0.0
transcribed_unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.0
asRNA#sense	0.0	0.0	0.0	0.0	0.0
sRNA#antisense	0.0	0.0	0.0	0.0	0.0
vaultRNA#sense	0.0	0.0	0.0	0.0	0.0
TR_V_gene#antisense	0.0	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#sense	0.0	0.0	0.0	0.0	0.0
unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.0
pseudogene#sense	0.0	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#antisense	0.0	0.0	0.0	0.0	0.0
rRNA#antisense	0.0	0.0	0.0	0.0	0.0
IG_V_gene#antisense	0.0	0.0	0.0	0.0	0.0
guide_RNA #sense	0.0	0.0	0.0	0.0	0.0
misc_RNA#antisense	0.0	0.0	0.0	0.0	0.0
ribozyme#sense	0.0	0.0	0.0	0.0	0.0
transcribed_unitary_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0
TEC#sense	0.0	0.0	0.0	0.0	0.0
pseudogene#antisense	0.0	0.0	0.0	0.0	0.0
vault_RNA #sense	0.0	0.0	0.0	0.0	0.0
gRNA#sense	0.0	0.0	0.0	0.0	0.0
microRNA#sense	0.0	0.0	0.0	0.0	0.0
