name	SRX258935	SRX258931	SRX258933	SRX258932	SRX258926	SRX258927	SRX258937	SRX258936	SRX258930	SRX258934	SRX258939	SRX258938	SRX258928	SRX258929
tRNA#antisense	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.02	0.0	0.0	0.0	0.0	0.0	0.0
IG_C_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
processed_transcript#sense	0.18	0.13	0.12	0.18	0.08	0.08	0.18	0.26	0.07	0.19	0.16	0.16	0.1	0.11
processed_pseudogene#antisense	0.53	0.33	0.46	0.44	0.22	0.2	0.26	0.25	0.36	0.53	0.24	0.28	0.21	0.21
rnase#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ribozyme#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y_RNA #sense	2.08	1.63	0.71	0.49	1.14	1.14	0.26	0.2	2.16	2.07	1.08	1.45	2.96	2.37
TR_C_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
retained_intron#sense	0.27	0.12	0.15	0.18	0.11	0.09	0.18	0.23	0.08	0.28	0.22	0.22	0.16	0.17
antisense_RNA#sense	1.6	1.87	0.75	0.96	0.53	0.46	1.0	1.43	2.13	1.64	1.2	1.19	0.72	0.8
Mt_tRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hairpin#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sense_overlapping#sense	0.04	0.02	0.03	0.04	0.02	0.01	0.04	0.06	0.01	0.04	0.04	0.04	0.02	0.03
piRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lncRNA#antisense	0.54	11.14	0.3	0.38	0.19	0.16	0.51	0.61	5.56	0.55	0.5	0.5	0.29	0.31
transcribed_unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
processed_transcript#antisense	0.21	0.06	0.07	0.09	0.05	0.05	0.12	0.15	0.04	0.22	0.18	0.18	0.11	0.12
asRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
unprocessed_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
protein_coding#antisense	0.76	0.4	0.38	0.46	0.23	0.23	0.46	0.56	0.28	0.77	0.54	0.57	0.36	0.38
vaultRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_V_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0
unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
protein_coding#sense	1.3	1.07	0.76	0.99	0.52	0.44	0.9	1.14	0.73	1.33	1.13	1.09	0.72	0.79
pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rRNA#sense	11.52	3.45	5.55	4.6	2.59	2.2	3.35	3.25	3.5	11.81	4.93	5.34	3.78	3.9
rRNA#antisense	0.03	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.0	0.04	0.02	0.02	0.01	0.01
tRNA#sense	4.17	4.88	6.8	8.57	7.57	9.79	10.19	9.26	7.44	4.12	2.69	5.23	4.8	3.83
