name	SRX326607	SRX326606	SRX326605	SRX326604	SRX326603	SRX326602	SRX326601	SRX326620	SRX326629	SRX326628	SRX326623	SRX326609	SRX326608	SRX326622	SRX326625	SRX326624	SRX326627	SRX326600	SRX326618	SRX326619	SRX326621	SRX326610	SRX326611	SRX326612	SRX326598	SRX326614	SRX326615	SRX326616	SRX326617	SRX326632	SRX326633	SRX326630	SRX326631	SRX326636	SRX326637	SRX326634	SRX326635	SRX326638	SRX326639	SRX326599	SRX326613	SRX326626
hsa-miR-3936	0	0	2	2	2	0	0	0	2	0	3	0	4	2	0	0	3	0	0	0	2	0	0	0	0	2	0	2	2	7	0	2	0	0	0	0	0	8	0	3	0	0
hsa-miR-6812-5p	0	0	0	0	2	2	0	0	0	0	3	0	0	0	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
hsa-miR-4687-5p	0	0	0	2	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	4	3	0	0	0	2	2
hsa-miR-6766-5p	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-506-3p	3	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4423-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-671-5p	172	161	74	387	225	429	221	335	120	106	357	100	373	242	298	103	299	92	537	229	105	78	92	146	296	104	160	306	81	140	87	289	250	245	161	207	396	12	209	210	168	165
hsa-miR-3157-3p	23	0	2	6	8	2	0	0	10	0	0	2	10	11	2	0	15	2	3	0	8	0	0	0	0	9	0	0	4	9	0	10	3	2	2	2	3	0	2	0	0	0
hsa-miR-6855-5p	6	0	4	7	16	8	4	8	11	3	2	0	12	17	2	0	8	2	4	0	2	0	0	2	5	6	2	7	6	2	2	0	0	5	0	0	0	0	0	4	2	5
hsa-miR-361-3p	785	460	453	1228	1356	1430	807	1406	324	499	1675	662	1150	492	1109	761	1838	141	604	325	280	344	468	446	397	225	799	881	676	437	506	850	1021	437	542	1042	1143	93	711	365	344	850
hsa-miR-484	2734	2393	1808	2187	1845	1900	1229	2997	4511	489	2922	564	4184	2664	2039	2485	1839	672	947	170	3244	583	672	2914	2271	2887	1595	2480	2229	2545	810	1144	4139	1773	964	2492	1617	585	1315	2363	2558	1554
hsa-miR-5589-5p	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	2	0	0	0	4	2	0	0	0	0	0	0	0	0	2
hsa-miR-30b-3p	15	7	2	12	19	28	7	5	16	4	22	8	22	21	6	4	13	0	2	0	2	8	2	6	27	5	12	6	3	10	11	0	15	7	3	9	24	9	26	38	18	9
hsa-miR-1301-3p	129	160	221	390	162	278	199	379	202	119	229	42	306	227	147	115	202	65	130	21	98	65	28	36	289	161	102	225	83	142	81	76	180	144	95	127	356	25	208	243	217	79
hsa-miR-3926	2	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0
hsa-miR-6715b-3p	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-2114-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3920	0	4	2	11	8	9	5	8	2	3	4	0	2	3	2	0	7	2	0	0	0	4	0	2	6	2	4	0	2	3	11	0	0	4	0	7	0	0	0	10	2	4
hsa-miR-629-5p	8577	5445	2426	5159	8672	5868	2327	5099	6566	3204	9334	4953	6872	4630	2448	3195	12006	799	1992	2231	2636	2185	5712	4078	3681	4825	3945	7956	3510	5570	4725	4464	8790	5718	2581	6471	4362	737	2880	5550	2327	4135
hsa-miR-2467-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5006-3p	5	0	0	6	2	14	0	4	0	0	3	7	0	8	4	0	0	0	0	0	2	0	4	0	3	5	3	5	2	0	4	8	4	0	0	3	0	0	12	5	3	0
hsa-miR-1298-3p	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
hsa-miR-493-3p	136	98	348	504	616	617	282	278	99	90	740	157	945	73	425	80	353	105	78	63	13	217	5	43	370	269	129	393	139	188	417	253	248	260	112	342	1014	27	473	1110	667	53
hsa-miR-4520-2-3p	0	4	0	3	0	0	0	0	0	0	0	1	2	2	1	1	2	0	3	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	2	2	4	0
hsa-miR-3688-5p	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-548c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	2	2
hsa-miR-218-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
hsa-miR-3190-3p	3	0	9	15	7	17	11	16	2	2	8	0	22	5	10	12	14	0	8	2	2	0	2	0	4	5	0	12	2	0	4	12	5	0	0	2	20	9	0	6	4	0
hsa-miR-122-5p	138314	89704	255806	114073	277813	223594	121588	104320	38807	1023373	79983	36557	472976	31827	84435	37086	47812	422756	204675	2246395	104190	30100	19790	6825	26702	65744	295380	290837	321226	209573	40601	434043	89514	200261	172472	70387	120617	607069	170982	47148	68828	104638
hsa-miR-6769b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ebv-miR-BART2-5p	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
hsa-miR-3918	0	0	2	2	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
hsa-miR-582-3p	253	1338	418	969	648	985	434	805	338	1036	469	1865	400	1779	254	88	961	228	662	330	426	180	324	199	419	831	839	470	171	339	376	510	936	1603	64	595	429	68	56	642	327	428
hsa-miR-19a-5p	0	0	0	2	0	5	0	0	8	0	0	0	2	6	0	0	0	0	0	0	2	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-3916	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-642a-5p	0	6	4	2	0	6	0	9	0	0	2	0	5	8	0	2	8	0	6	0	3	0	0	0	2	0	5	0	5	0	2	5	6	0	0	5	0	0	2	5	0	9
hsa-miR-4687-3p	3	8	0	13	4	11	7	12	2	2	6	0	5	4	5	3	6	0	4	0	2	0	0	0	2	4	8	13	2	2	2	7	0	10	0	10	11	3	5	6	0	4
hsa-miR-6766-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-211-5p	0	0	0	0	0	4	0	0	0	0	3	0	2	0	2	0	0	0	0	0	2	0	2	0	0	2	0	6	0	0	0	0	3	2	0	0	0	0	0	0	0	2
hsa-miR-3911	6	4	0	4	0	6	7	0	7	0	4	8	5	0	0	0	9	2	3	0	0	0	15	0	3	10	4	2	0	19	0	0	6	5	3	2	5	16	0	11	2	0
hsa-miR-520a-5p	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-4724-5p	18	23	10	13	18	18	16	29	21	5	19	20	13	34	26	4	26	3	34	15	8	19	6	2	12	12	38	47	0	8	11	11	6	47	18	15	9	0	11	19	22	18
hsa-miR-3059-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3912-5p	0	0	0	2	0	0	0	0	10	2	2	0	3	0	0	0	0	0	0	0	3	0	0	0	0	5	0	5	0	2	2	0	4	0	0	7	0	0	0	0	2	0
hsa-miR-671-3p	52	46	60	34	48	75	72	67	26	12	50	7	69	60	45	32	51	9	13	0	15	26	5	18	63	24	44	48	10	24	7	25	59	31	26	26	82	3	53	68	74	40
hsa-miR-92b-5p	75	12	66	35	48	25	61	43	74	18	76	19	149	11	20	41	50	0	13	2	24	0	22	0	10	40	14	52	57	28	23	26	52	16	21	40	36	178	19	6	5	22
hsa-miR-6757-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	2	0	0	0	0
hsa-miR-107	1032	2630	1306	843	1528	624	664	561	10299	826	924	442	1357	3375	494	545	605	3327	306	1023	5217	120	505	908	4482	8074	353	1011	584	4786	755	797	1302	3336	331	648	979	517	650	5459	3448	286
hsa-miR-6855-3p	0	0	2	0	2	2	2	4	0	0	4	0	2	0	0	4	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	2	0	0	3	0	4	0	0	0	0
hsa-miR-24-2-5p	202	79	159	253	326	312	223	259	61	81	389	76	341	141	203	112	345	38	101	33	40	64	13	82	148	50	130	229	79	70	90	150	270	106	89	206	337	18	178	166	91	146
hsa-miR-5589-3p	0	0	0	0	2	0	0	0	0	9	2	0	0	0	0	0	0	5	0	11	0	0	0	0	0	0	0	0	5	0	0	0	0	10	0	0	0	0	4	0	2	0
hsa-miR-6846-5p	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0
