name	SRX326607	SRX326606	SRX326605	SRX326604	SRX326603	SRX326602	SRX326601	SRX326620	SRX326629	SRX326628	SRX326623	SRX326609	SRX326608	SRX326622	SRX326625	SRX326624	SRX326627	SRX326600	SRX326618	SRX326619	SRX326621	SRX326610	SRX326611	SRX326612	SRX326598	SRX326614	SRX326615	SRX326616	SRX326617	SRX326632	SRX326633	SRX326630	SRX326631	SRX326636	SRX326637	SRX326634	SRX326635	SRX326638	SRX326639	SRX326599	SRX326613	SRX326626
hsa	89.19	90.36	93.94	91.21	90.79	88.39	86.63	88.72	95.46	91.58	90.4	89.83	92.76	88.62	88.63	91.21	87.47	92.06	88.43	89.03	92.98	87.9	91.96	87.56	90.01	92.29	89.38	91.08	88.71	91.98	94.31	90.68	91.39	89.21	88.2	89.96	87.64	84.18	89.85	92.06	92.15	83.0	3781.1899999999996
hsa_HR	4.92	5.37	2.52	4.68	4.38	6.29	5.95	5.66	2.15	2.26	4.81	3.21	3.36	7.95	6.69	5.2	5.6	4.16	7.14	1.87	4.25	2.75	1.75	2.44	7.79	4.99	4.33	3.63	6.81	4.33	2.05	4.0	4.73	6.32	5.02	5.75	6.9	12.58	5.2	5.47	4.01	11.26	210.53
unmapped	4.437354866670247	3.0088886880205563	2.550894271310291	3.0272183143761464	3.604699675312486	3.927093137739168	5.192849005563445	3.725758588765452	1.6594861522144388	4.930119381096291	3.2516813788725303	2.7072949309099306	2.7144593650386195	2.456833971286355	3.383920559692644	2.467671229462039	4.1475009151459	3.1251682802740555	3.2661257031903226	6.669695059798166	1.8160803546296405	6.632879535650754	3.198518385486873	8.037636036002809	1.6674395950641363	1.6502244743223473	4.013002358392782	3.477510613638626	3.317691003525391	2.5894669063909874	2.2411528218081482	3.9635695554117136	2.6406822042688227	2.830748356573478	4.879443042710339	3.0260370892211244	3.626147316683874	1.6744907849415704	3.6196454144002566	1.635487719158625	2.69477709689282	3.9016711817196286	143.38901532163382
bacteria_collection	1.01	0.89	0.66	0.82	0.97	1.01	1.74	1.35	0.51	0.92	1.13	2.18	0.75	0.7	0.98	0.79	1.6	0.49	0.85	1.79	0.58	2.04	1.61	1.34	0.4	0.67	1.5	1.31	0.88	0.82	0.93	0.98	0.86	1.05	1.28	0.93	1.39	0.97	1.01	0.59	0.81	1.38	44.46999999999999
hsa-bacteria_collection	0.36	0.28	0.24	0.22	0.21	0.27	0.22	0.43	0.17	0.25	0.34	1.82	0.34	0.2	0.26	0.26	0.35	0.13	0.23	0.55	0.23	0.38	1.19	0.51	0.09	0.32	0.63	0.36	0.24	0.15	0.32	0.19	0.34	0.47	0.46	0.26	0.31	0.42	0.25	0.17	0.24	0.37	15.030000000000001
human_virus	0.02	0.03	0.04	0.01	0.02	0.03	0.17	0.03	0.02	0.02	0.03	0.04	0.02	0.04	0.02	0.03	0.67	0.02	0.04	0.03	0.1	0.06	0.08	0.07	0.01	0.03	0.04	0.04	0.02	0.06	0.02	0.11	0.02	0.04	0.05	0.02	0.03	0.06	0.02	0.01	0.03	0.03	2.28
bacteria_collection_HR	0.03	0.04	0.03	0.02	0.02	0.05	0.07	0.04	0.01	0.02	0.02	0.12	0.01	0.02	0.02	0.02	0.1	0.01	0.03	0.0	0.01	0.2	0.16	0.0	0.01	0.02	0.04	0.07	0.01	0.06	0.12	0.07	0.01	0.04	0.06	0.02	0.06	0.05	0.02	0.02	0.03	0.04	1.8000000000000007
human_virus-hsa	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.02	0.01	0.0	0.01	0.01	0.03	0.0	0.0	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.3900000000000001
hsa_HR-human_virus_HR	0.0	0.01	0.01	0.01	0.0	0.02	0.0	0.01	0.01	0.01	0.0	0.0	0.03	0.0	0.01	0.02	0.0	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.01	0.01	0.02	0.01	0.0	0.0	0.0	0.0	0.01	0.02	0.0	0.01	0.02	0.01	0.02	0.01	0.01	0.34000000000000014
human_virus-bacteria_collection	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.04	0.01	0.0	0.01	0.01	0.02	0.0	0.0	0.01	0.0	0.01	0.02	0.02	0.0	0.01	0.02	0.01	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.32000000000000006
