name	SRX326607	SRX326606	SRX326605	SRX326604	SRX326603	SRX326602	SRX326601	SRX326620	SRX326629	SRX326628	SRX326623	SRX326609	SRX326608	SRX326622	SRX326625	SRX326624	SRX326627	SRX326600	SRX326618	SRX326619	SRX326621	SRX326610	SRX326611	SRX326612	SRX326598	SRX326614	SRX326615	SRX326616	SRX326617	SRX326632	SRX326633	SRX326630	SRX326631	SRX326636	SRX326637	SRX326634	SRX326635	SRX326638	SRX326639	SRX326599	SRX326613	SRX326626
mature#sense	42.93	36.01	36.57	25.63	35.67	20.33	21.99	29.04	63.16	20.14	37.61	67.79	51.52	41.65	27.31	40.3	32.25	18.81	20.6	11.36	56.0	66.35	65.01	60.2	38.53	53.59	22.45	41.71	24.98	47.34	80.59	27.62	41.17	43.65	22.59	31.68	23.8	36.47	22.38	47.54	36.16	17.82	1588.3
tRNA#sense	32.0	43.62	46.92	51.72	30.78	50.43	53.08	40.17	19.04	60.54	31.37	8.93	28.4	36.3	38.49	31.56	29.56	64.03	54.49	66.09	25.99	11.06	8.54	14.11	31.46	28.66	45.93	32.14	50.81	33.83	6.34	49.24	32.06	34.19	49.79	45.19	45.56	41.37	47.73	27.79	47.81	50.02	1577.1399999999994
un-assigned	10.658293060535462	8.9700447253252	7.335373923723751	8.429935999752596	8.104418334036032	9.514471921291024	11.529910184177611	10.795240564095748	4.437876680622424	6.362103886297475	9.923319286439979	8.446057225141285	6.4264737211585885	11.373414290186176	10.975509944322386	9.266422419842076	12.977142806121096	7.2389815773182535	10.930280176933078	10.382571500280939	8.723268090240168	10.846151895118068	11.972572517529585	10.515655175704264	9.1347315681131	7.56428944701828	11.775045190954334	8.89861120570035	10.77000631569061	7.231524191975675	7.605772554110508	8.405350602943866	8.60092869437414	10.194412192001048	12.957342808504412	9.949193462612707	11.554463725401911	14.162818248028834	9.40592859146896	7.53992655886782	5.582760312679612	15.38818043652553	402.85677601316496
Y_RNA #sense	6.85	7.33	5.03	8.13	18.77	11.54	6.37	10.3	9.47	8.0	10.79	1.7	7.69	6.35	13.84	11.69	14.75	5.75	7.4	3.22	5.55	3.08	1.21	3.28	16.13	5.68	8.42	9.47	7.3	7.63	1.68	8.39	9.96	6.85	5.96	5.9	11.82	2.74	14.62	13.41	7.02	5.43	336.5
rRNA#sense	2.61	0.2	0.39	1.95	1.17	3.58	2.3	4.12	0.12	0.52	3.71	2.32	1.22	0.19	3.03	2.41	3.81	0.07	2.27	0.38	0.25	1.05	2.6	3.58	0.1	0.15	4.85	2.48	1.86	0.25	0.66	2.29	2.85	0.28	3.64	2.39	2.37	0.19	1.3	0.14	0.15	5.5	75.30000000000001
misc_RNA#sense	0.54	0.42	0.35	0.77	1.43	0.85	0.5	0.95	0.63	1.13	0.81	0.12	0.54	0.37	1.01	0.84	0.97	1.14	0.49	2.33	0.24	0.11	0.09	0.27	0.89	0.28	0.5	0.7	0.49	0.44	0.09	0.55	0.74	0.35	0.43	0.37	1.06	0.12	1.16	0.73	0.4	0.44	26.639999999999997
hairpin#sense	0.6	0.75	0.51	0.38	0.45	0.42	0.7	0.47	1.3	0.45	0.43	0.02	0.57	0.7	0.78	1.19	0.86	0.65	0.27	0.62	0.65	0.03	0.04	0.63	0.61	1.05	0.68	1.34	0.74	0.76	0.02	0.72	1.35	0.59	0.36	0.45	0.59	0.54	0.34	0.7	0.75	0.25	25.309999999999995
protein_coding#sense	0.39	0.46	0.24	0.29	0.3	0.43	0.38	0.51	0.2	0.33	0.4	2.08	0.3	0.51	0.3	0.29	0.54	0.2	0.34	0.31	0.3	3.04	1.88	0.3	0.28	0.4	0.62	0.39	0.33	0.34	0.59	0.3	0.32	0.58	0.54	0.32	0.47	0.45	0.35	0.31	0.34	0.51	21.759999999999994
lincRNA#antisense	0.42	0.22	0.63	0.31	0.27	0.43	0.42	0.51	0.08	0.34	0.49	1.01	0.37	0.14	0.41	0.3	0.61	0.28	0.51	0.52	0.14	0.73	0.62	0.46	0.11	0.26	0.67	0.45	0.47	0.15	0.16	0.43	0.39	0.32	0.61	0.4	0.4	0.92	0.34	0.12	0.21	0.95	17.580000000000002
miRNA#sense	0.21	0.17	0.17	0.14	0.34	0.2	0.2	0.14	0.18	0.27	0.21	1.97	0.22	0.15	0.14	0.17	0.33	0.37	0.25	0.68	0.17	0.62	4.34	0.18	0.13	0.22	0.21	0.21	0.28	0.18	0.79	0.18	0.15	0.19	0.48	0.17	0.17	0.28	0.14	0.18	0.14	0.2	16.12
