name	SRX362355	SRX362354	SRX362357	SRX362356	SRX362353	SRX362352	SRX362359	SRX362358	SRX349101	SRX352359	SRX362360	SRX362361	SRX362362
hsa	94.95	94.44	95.18	95.23	95.07	94.51	93.55	93.69	94.47	94.86	94.73	95.28	95.55	1231.5099999999998
hsa_HR	3.0	2.71	2.78	2.81	3.05	3.94	4.28	3.26	3.12	3.22	3.1	2.95	2.91	41.13000000000001
unmapped	0.9733831707211171	1.282845536524254	0.9627227536332205	0.910860382496066	0.8819004742385245	0.7561814972917192	0.9859290223566854	1.1637531164291095	1.0794056765749478	0.7736773416446053	0.9323936812641125	0.8395241994890785	0.7515904148077459	12.294167267471188
bacteria_collection	0.53	0.81	0.51	0.5	0.46	0.36	0.54	0.91	0.65	0.52	0.58	0.42	0.35	7.140000000000001
hsa-bacteria_collection	0.44	0.63	0.43	0.43	0.4	0.3	0.46	0.81	0.53	0.53	0.52	0.42	0.34	6.24
human_virus	0.02	0.02	0.03	0.03	0.03	0.03	0.04	0.04	0.03	0.02	0.03	0.02	0.02	0.3600000000000001
bacteria_collection_HR-hsa_HR	0.02	0.03	0.02	0.02	0.02	0.01	0.02	0.03	0.02	0.02	0.02	0.02	0.01	0.25999999999999995
human_virus-bacteria_collection	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.02	0.01	0.01	0.17
bacteria_collection_HR	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.16000000000000003
human_virus-hsa	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.13999999999999999
	sumhuman_virus-hsa-bacteria_collection	0.03	0.02	0.06	0.04	0.05	0.07	0.1	0.04	0.05	0.03	0.06	0.03	0.04	0.6200000000000001
bacteria_collection_HR-hsa_HR-human_virus_HR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
