name	SRX362355	SRX362354	SRX362357	SRX362356	SRX362353	SRX362352	SRX362359	SRX362358	SRX349101	SRX352359	SRX362360	SRX362361	SRX362362
Y_RNA #sense	83.2	76.49	79.95	79.28	88.81	85.5	83.42	65.96	78.56	63.85	77.9	81.0	84.83	1028.75
mature#sense	13.64	19.1	16.48	17.47	8.44	11.71	13.33	27.62	17.37	31.69	18.09	16.16	12.83	223.93
un-assigned	0.7283613276762686	1.0663496502278305	0.7672781450332724	0.7043304590598941	0.5899927214268693	0.5706539077354523	0.7654041794749313	0.9958557678172371	0.9091896464219252	0.6298378722202239	0.7818790978041228	0.5994738929732626	0.5485721285089085	9.6571787963802
rRNA#sense	0.56	0.94	0.64	0.55	0.42	0.34	0.6	1.68	0.76	0.62	0.63	0.55	0.33	8.62
otherRNA#sense	0.34	0.33	0.3	0.39	0.28	0.46	0.28	0.37	0.35	0.57	0.58	0.19	0.15	4.590000000000001
lncRNA#antisense	0.29	0.33	0.24	0.27	0.3	0.23	0.27	0.4	0.29	0.26	0.36	0.21	0.21	3.6599999999999997
antisense_RNA#sense	0.16	0.23	0.24	0.19	0.19	0.17	0.19	0.5	0.25	0.3	0.31	0.2	0.16	3.0900000000000003
misc_RNA#sense	0.23	0.2	0.21	0.21	0.23	0.22	0.24	0.22	0.23	0.2	0.22	0.21	0.23	2.85
tRNA#sense	0.16	0.29	0.17	0.16	0.12	0.17	0.14	0.37	0.23	0.34	0.18	0.22	0.16	2.7100000000000004
snoRNA#sense	0.06	0.1	0.17	0.07	0.07	0.1	0.02	0.48	0.16	0.56	0.12	0.05	0.04	2.0
lincRNA#sense	0.11	0.15	0.15	0.12	0.12	0.13	0.19	0.22	0.16	0.15	0.15	0.11	0.1	1.8599999999999999
miRNA#sense	0.09	0.14	0.11	0.15	0.07	0.08	0.1	0.16	0.13	0.19	0.16	0.12	0.11	1.61
protein_coding#sense	0.11	0.15	0.12	0.1	0.1	0.08	0.11	0.19	0.13	0.13	0.12	0.09	0.08	1.51
lincRNA#antisense	0.08	0.14	0.08	0.07	0.06	0.04	0.08	0.14	0.1	0.08	0.08	0.07	0.05	1.07
snRNA#sense	0.03	0.02	0.13	0.05	0.04	0.05	0.03	0.24	0.08	0.14	0.1	0.04	0.03	0.98
lncRNA#sense	0.06	0.1	0.05	0.06	0.04	0.03	0.06	0.09	0.07	0.05	0.06	0.05	0.04	0.7600000000000002
protein_coding#antisense	0.03	0.05	0.04	0.04	0.03	0.03	0.04	0.05	0.05	0.03	0.04	0.03	0.03	0.49
antisense_RNA#antisense	0.04	0.06	0.04	0.03	0.03	0.02	0.04	0.07	0.04	0.03	0.04	0.03	0.02	0.49
retained_intron#sense	0.02	0.03	0.03	0.02	0.01	0.02	0.01	0.08	0.03	0.08	0.02	0.01	0.01	0.37000000000000005
processed_transcript#sense	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.12999999999999998
retained_intron#antisense	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.12999999999999998
processed_transcript#antisense	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.10999999999999999
processed_pseudogene#antisense	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.09999999999999999
sense_intronic#sense	0.01	0.01	0.01	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.09
piRNA#sense	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.03	0.01	0.02	0.01	0.0	0.0	0.09
guide_RNA #sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.02
nonsense_mediated_decay#sense	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.02
scaRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.02
hairpin#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.01
nonsense_mediated_decay#antisense	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01
	sumtRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ribozyme#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_C_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mt_tRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hairpin#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sense_overlapping#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
piRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcribed_unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
asRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
unprocessed_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vaultRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_V_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
misc_RNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ribozyme#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mt_rRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcribed_unitary_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TEC#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_C_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mt_tRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vault_RNA #sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
microRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
otherRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
non_coding#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
polymorphic_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
non_stop_decay#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
processed_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mt_rRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_C_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sense_overlapping#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcribed_unprocessed_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
non_coding#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
macro_lncRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
