name	SRX387062	SRX387063	SRX387064
hsa-miR-22-3p	790036	447223	9995	1247254.0
hsa-miR-486-5p	444376	215475	260741	920592.0
hsa-miR-191-5p	688771	148033	2748	839552.0
hsa-miR-142-5p	270508	438571	552	709631.0
hsa-miR-126-5p	322243	110712	277	433232.0
hsa-miR-26a-5p	398856	18695	563	418114.34
hsa-let-7i-5p	120703	157138	1190	279030.5
hsa-miR-92a-3p	213738	29670	14983	258391.0
hsa-miR-181a-5p	153405	67622	3773	224800.0
hsa-miR-21-5p	196011	8897	332	205240.0
hsa-miR-151a-3p	140992	44233	421	185646.0
hsa-miR-127-3p	84019	96104	510	180633.0
hsa-miR-221-3p	94109	73298	232	167639.0
hsa-miR-103a-3p	126264	38399	943	165606.0
hsa-let-7a-5p	114894	37442	548	152884.34
hsa-let-7f-5p	124510	14687	341	139538.0
hsa-miR-30d-5p	110421	10197	682	121300.0
hsa-miR-16-5p	106516	2554	913	109983.0
hsa-miR-451a	81943	4628	3106	89677.0
hsa-miR-148a-3p	77737	9007	141	86885.0
hsa-miR-320a-3p	27067	56753	1866	85685.46
hsa-miR-423-5p	26595	37333	20474	84402.0
hsa-miR-143-3p	77112	5088	189	82389.0
hsa-miR-26b-5p	74086	3264	83	77432.67
hsa-miR-28-3p	44362	30922	293	75577.0
hsa-miR-30e-5p	67596	3413	323	71332.0
hsa-miR-151a-5p	58885	10209	246	69339.5
hsa-let-7g-5p	54949	6938	155	62041.43
hsa-miR-148b-3p	45906	12807	72	58785.0
hsa-miR-146a-5p	51349	5580	127	57055.0
hsa-miR-27b-3p	46839	8190	204	55232.67
hsa-miR-126-3p	42669	7705	67	50441.0
hsa-miR-25-3p	42230	4575	1133	47938.0
hsa-miR-199a-3p	41007	5986	55	47046.82000000001
hsa-miR-409-3p	30241	16344	143	46728.0
hsa-miR-140-3p	33850	11840	287	45977.0
hsa-miR-186-5p	33416	6061	256	39733.0
hsa-miR-142-3p	31841	6079	31	37951.0
hsa-let-7b-5p	24215	9412	2267	35893.899999999994
hsa-miR-425-5p	29350	5135	277	34762.0
hsa-miR-223-3p	29867	1007	51	30925.0
hsa-miR-101-3p	29694	859	166	30719.0
hsa-miR-93-5p	24587	3906	282	28775.0
hsa-miR-21-3p	19643	8289	47	27979.0
hsa-miR-378a-3p	8715	17820	404	26938.92
hsa-let-7d-5p	21524	5150	224	26897.5
hsa-miR-423-3p	19029	6201	1309	26539.0
hsa-miR-199b-3p	20369	2976	27	23372.160000000003
hsa-miR-1307-5p	20317	1893	132	22342.0
hsa-miR-130a-3p	19841	1866	54	21761.0
hsa-miR-10a-5p	18216	644	91	18950.5
hsa-miR-98-5p	14644	3867	35	18546.75
hsa-miR-192-5p	15418	2047	480	17945.0
hsa-miR-19b-3p	13999	724	52	14775.68
hsa-miR-107	11008	3159	338	14505.0
hsa-miR-744-5p	7268	6318	617	14203.0
hsa-miR-222-3p	9567	4511	43	14121.0
hsa-miR-146b-5p	12834	698	27	13558.0
hsa-miR-410-3p	11933	1089	15	13037.0
hsa-miR-30b-5p	9434	3432	17	12882.34
hsa-miR-769-5p	4987	7399	37	12423.0
hsa-miR-99b-5p	10726	1108	47	11881.0
hsa-miR-182-5p	10675	545	78	11298.0
hsa-miR-381-3p	10198	1043	18	11259.0
hsa-miR-652-3p	6929	4252	74	11255.0
hsa-miR-134-5p	3752	7077	43	10872.0
hsa-miR-23a-3p	9652	988	39	10678.5
hsa-miR-30c-5p	7804	2797	46	10647.68
hsa-miR-15a-5p	9128	337	258	9723.0
hsa-miR-584-5p	8391	1194	103	9688.0
hsa-miR-1307-3p	4478	5006	162	9646.0
hsa-miR-654-3p	9340	250	13	9603.0
hsa-miR-106b-3p	5898	2939	231	9068.0
hsa-miR-30e-3p	6184	2843	10	9036.5
hsa-miR-199a-5p	7472	1288	5	8765.34
hsa-miR-130b-3p	6422	1814	62	8298.0
hsa-miR-431-5p	6278	1667	14	7959.0
hsa-miR-484	6297	725	559	7581.0
hsa-miR-340-5p	7372	104	5	7481.0
hsa-miR-301a-3p	7033	365	15	7413.0
hsa-miR-27a-3p	6802	356	24	7181.67
hsa-miR-411-5p	6846	227	10	7083.0
hsa-miR-181c-5p	5704	834	32	6570.0
hsa-miR-23b-3p	5612	849	25	6485.5
hsa-miR-125a-5p	5055	615	51	5721.0
hsa-miR-28-5p	4333	1089	22	5444.0
hsa-miR-144-3p	4684	209	111	5004.0
hsa-miR-136-3p	4572	314	6	4892.0
hsa-let-7e-5p	4121	693	12	4826.25
hsa-miR-30a-5p	4364	391	71	4826.0
hsa-miR-339-3p	3502	1274	40	4816.0
hsa-miR-181b-5p	3296	1313	129	4738.0
hsa-miR-432-5p	3420	1219	65	4704.0
hsa-miR-17-5p	4283	382	20	4685.17
hsa-let-7d-3p	2529	1803	105	4437.0
hsa-miR-326	3557	799	55	4411.0
hsa-miR-19a-3p	4173	81	11	4264.34
hsa-miR-6852-5p	2257	1740	24	4021.0
hsa-miR-374b-5p	3940	18	2	3960.0
hsa-miR-20a-5p	3898	55	0	3953.17
hsa-miR-15b-5p	3347	551	11	3909.0
hsa-miR-24-3p	3462	399	9	3870.0
hsa-miR-181a-2-3p	2906	893	10	3809.0
hsa-miR-941	2224	1524	49	3796.95
hsa-miR-223-5p	1351	2157	0	3508.0
hsa-miR-363-3p	2996	333	116	3445.0
hsa-miR-10b-5p	2501	633	239	3372.5
hsa-miR-11400	2979	290	4	3273.0
hsa-miR-17-3p	1641	1576	15	3232.0
hsa-miR-339-5p	2480	728	8	3216.0
hsa-miR-181c-3p	2476	629	7	3112.0
