name	SRX387062	SRX387063	SRX387064
tRNA#antisense	0.0	0.0	0.0
processed_transcript#sense	0.05	0.05	0.28
processed_pseudogene#antisense	0.03	0.03	0.31
ribozyme#antisense	0.0	0.0	0.0
Y_RNA #sense	36.76	50.46	21.77
retained_intron#sense	0.03	0.06	0.31
antisense_RNA#sense	0.09	0.48	2.69
Mt_tRNA#antisense	0.0	0.0	0.0
hairpin#antisense	0.0	0.0	0.01
sense_overlapping#sense	0.0	0.01	0.08
lncRNA#antisense	0.41	1.75	6.67
piRNA#antisense	0.0	0.0	0.0
transcribed_unitary_pseudogene#sense	0.0	0.0	0.0
processed_transcript#antisense	0.01	0.09	0.22
asRNA#sense	0.0	0.0	0.0
unprocessed_pseudogene#antisense	0.0	0.0	0.0
protein_coding#antisense	0.04	0.1	1.43
vaultRNA#sense	0.0	0.0	0.0
TR_V_gene#antisense	0.0	0.0	0.0
bidirectional_promoter_lncRNA#sense	0.0	0.0	0.01
unitary_pseudogene#sense	0.0	0.0	0.0
protein_coding#sense	0.67	0.6	2.86
pseudogene#sense	0.0	0.0	0.0
bidirectional_promoter_lncRNA#antisense	0.0	0.0	0.0
rRNA#sense	0.41	1.66	24.87
rRNA#antisense	0.0	0.01	0.05
tRNA#sense	0.91	0.79	1.23
guide_RNA #sense	0.0	0.0	0.0
misc_RNA#antisense	0.0	0.0	0.01
Mt_rRNA#sense	0.12	0.06	0.15
ribozyme#sense	0.0	0.0	0.0
transcribed_unitary_pseudogene#antisense	0.0	0.0	0.0
sense_intronic#sense	0.01	0.05	0.2
TEC#sense	0.0	0.0	0.0
IG_C_gene#sense	0.0	0.0	0.0
Mt_tRNA#sense	0.16	0.12	0.11
pseudogene#antisense	0.0	0.0	0.0
otherRNA#sense	0.08	0.06	0.82
mature#sense	58.53	40.15	12.8
gRNA#sense	0.0	0.0	0.0
microRNA#sense	0.0	0.0	0.01
otherRNA#antisense	0.0	0.0	0.0
non_coding#antisense	0.0	0.0	0.0
polymorphic_pseudogene#sense	0.0	0.0	0.0
non_stop_decay#sense	0.0	0.0	0.0
processed_pseudogene#sense	0.0	0.0	0.04
Mt_rRNA#antisense	0.0	0.0	0.0
lincRNA#sense	0.06	0.34	2.05
IG_C_gene#antisense	0.0	0.0	0.0
sense_overlapping#antisense	0.0	0.01	0.05
retained_intron#antisense	0.02	0.06	0.21
transcribed_unprocessed_pseudogene#sense	0.0	0.0	0.0
snRNA#sense	0.01	0.01	0.03
lncRNA#sense	0.05	0.28	1.67
hairpin#sense	0.02	0.01	0.0
non_coding#sense	0.0	0.0	0.0
antisense_RNA#antisense	0.03	0.13	0.99
macro_lncRNA#sense	0.0	0.0	0.02
miRNA#antisense	0.0	0.0	0.01
unitary_pseudogene#antisense	0.0	0.0	0.0
miRNA#sense	0.09	0.08	0.05
mature#antisense	0.0	0.01	0.0
snoRNA#sense	0.03	0.02	0.07
TR_V_gene#sense	0.0	0.0	0.0
3prime_overlapping_ncRNA#antisense	0.0	0.0	0.0
un-assigned	0.7184712207467757	1.750102434223249	14.53309844440283
nonsense_mediated_decay#sense	0.0	0.01	0.09
non_stop_decay#antisense	0.0	0.0	0.0
asRNA#antisense	0.0	0.0	0.0
scaRNA#antisense	0.0	0.0	0.0
srpRNA#antisense	0.0	0.0	0.0
piRNA#sense	0.0	0.01	0.05
transcribed_unprocessed_pseudogene#antisense	0.0	0.0	0.0
transcribed_processed_pseudogene#sense	0.0	0.0	0.0
nonsense_mediated_decay#antisense	0.0	0.01	0.1
sRNA#sense	0.0	0.0	0.0
snRNA#antisense	0.0	0.0	0.0
srpRNA#sense	0.0	0.0	0.0
unprocessed_pseudogene#sense	0.0	0.0	0.01
macro_lncRNA#antisense	0.0	0.0	0.0
transcribed_processed_pseudogene#antisense	0.0	0.0	0.0
3prime_overlapping_ncRNA#sense	0.0	0.0	0.0
lincRNA#antisense	0.07	0.3	2.6
sense_intronic#antisense	0.0	0.01	0.06
misc_RNA#sense	0.58	0.44	0.4
snoRNA#antisense	0.0	0.0	0.01
scaRNA#sense	0.01	0.01	0.0
polymorphic_pseudogene#antisense	0.0	0.0	0.0
IG_V_gene#sense	0.0	0.0	0.0
TEC#antisense	0.0	0.0	0.0
