name	SRX387062	SRX387063	SRX387064
mature#sense	58.53	40.15	12.8	111.48
Y_RNA #sense	36.76	50.46	21.77	108.99
rRNA#sense	0.41	1.66	24.87	26.94
un-assigned	0.7184712207467757	1.750102434223249	14.53309844440283	17.001672099372854
lncRNA#antisense	0.41	1.75	6.67	8.83
protein_coding#sense	0.67	0.6	2.86	4.13
antisense_RNA#sense	0.09	0.48	2.69	3.26
lincRNA#antisense	0.07	0.3	2.6	2.97
tRNA#sense	0.91	0.79	1.23	2.93
lincRNA#sense	0.06	0.34	2.05	2.4499999999999997
lncRNA#sense	0.05	0.28	1.67	2.0
protein_coding#antisense	0.04	0.1	1.43	1.5699999999999998
misc_RNA#sense	0.58	0.44	0.4	1.42
antisense_RNA#antisense	0.03	0.13	0.99	1.15
otherRNA#sense	0.08	0.06	0.82	0.96
retained_intron#sense	0.03	0.06	0.31	0.4
Mt_tRNA#sense	0.16	0.12	0.11	0.39
processed_transcript#sense	0.05	0.05	0.28	0.38
processed_pseudogene#antisense	0.03	0.03	0.31	0.37
Mt_rRNA#sense	0.12	0.06	0.15	0.32999999999999996
processed_transcript#antisense	0.01	0.09	0.22	0.32
retained_intron#antisense	0.02	0.06	0.21	0.29
sense_intronic#sense	0.01	0.05	0.2	0.26
miRNA#sense	0.09	0.08	0.05	0.21999999999999997
snoRNA#sense	0.03	0.02	0.07	0.12000000000000001
nonsense_mediated_decay#antisense	0.0	0.01	0.1	0.11
nonsense_mediated_decay#sense	0.0	0.01	0.09	0.09999999999999999
sense_overlapping#sense	0.0	0.01	0.08	0.09
sense_intronic#antisense	0.0	0.01	0.06	0.06999999999999999
rRNA#antisense	0.0	0.01	0.05	0.060000000000000005
sense_overlapping#antisense	0.0	0.01	0.05	0.060000000000000005
piRNA#sense	0.0	0.01	0.05	0.060000000000000005
snRNA#sense	0.01	0.01	0.03	0.05
processed_pseudogene#sense	0.0	0.0	0.04	0.04
hairpin#sense	0.02	0.01	0.0	0.03
macro_lncRNA#sense	0.0	0.0	0.02	0.02
scaRNA#sense	0.01	0.01	0.0	0.02
hairpin#antisense	0.0	0.0	0.01	0.01
bidirectional_promoter_lncRNA#sense	0.0	0.0	0.01	0.01
misc_RNA#antisense	0.0	0.0	0.01	0.01
microRNA#sense	0.0	0.0	0.01	0.01
miRNA#antisense	0.0	0.0	0.01	0.01
mature#antisense	0.0	0.01	0.0	0.01
unprocessed_pseudogene#sense	0.0	0.0	0.01	0.01
snoRNA#antisense	0.0	0.0	0.01	0.01
	sumtRNA#antisense	0.0	0.0	0.0	0.0
ribozyme#antisense	0.0	0.0	0.0	0.0
Mt_tRNA#antisense	0.0	0.0	0.0	0.0
piRNA#antisense	0.0	0.0	0.0	0.0
transcribed_unitary_pseudogene#sense	0.0	0.0	0.0	0.0
asRNA#sense	0.0	0.0	0.0	0.0
unprocessed_pseudogene#antisense	0.0	0.0	0.0	0.0
vaultRNA#sense	0.0	0.0	0.0	0.0
TR_V_gene#antisense	0.0	0.0	0.0	0.0
unitary_pseudogene#sense	0.0	0.0	0.0	0.0
pseudogene#sense	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#antisense	0.0	0.0	0.0	0.0
guide_RNA #sense	0.0	0.0	0.0	0.0
ribozyme#sense	0.0	0.0	0.0	0.0
transcribed_unitary_pseudogene#antisense	0.0	0.0	0.0	0.0
TEC#sense	0.0	0.0	0.0	0.0
IG_C_gene#sense	0.0	0.0	0.0	0.0
pseudogene#antisense	0.0	0.0	0.0	0.0
gRNA#sense	0.0	0.0	0.0	0.0
otherRNA#antisense	0.0	0.0	0.0	0.0
non_coding#antisense	0.0	0.0	0.0	0.0
polymorphic_pseudogene#sense	0.0	0.0	0.0	0.0
non_stop_decay#sense	0.0	0.0	0.0	0.0
Mt_rRNA#antisense	0.0	0.0	0.0	0.0
IG_C_gene#antisense	0.0	0.0	0.0	0.0
transcribed_unprocessed_pseudogene#sense	0.0	0.0	0.0	0.0
non_coding#sense	0.0	0.0	0.0	0.0
unitary_pseudogene#antisense	0.0	0.0	0.0	0.0
TR_V_gene#sense	0.0	0.0	0.0	0.0
3prime_overlapping_ncRNA#antisense	0.0	0.0	0.0	0.0
non_stop_decay#antisense	0.0	0.0	0.0	0.0
asRNA#antisense	0.0	0.0	0.0	0.0
scaRNA#antisense	0.0	0.0	0.0	0.0
srpRNA#antisense	0.0	0.0	0.0	0.0
transcribed_unprocessed_pseudogene#antisense	0.0	0.0	0.0	0.0
transcribed_processed_pseudogene#sense	0.0	0.0	0.0	0.0
sRNA#sense	0.0	0.0	0.0	0.0
snRNA#antisense	0.0	0.0	0.0	0.0
srpRNA#sense	0.0	0.0	0.0	0.0
macro_lncRNA#antisense	0.0	0.0	0.0	0.0
transcribed_processed_pseudogene#antisense	0.0	0.0	0.0	0.0
3prime_overlapping_ncRNA#sense	0.0	0.0	0.0	0.0
polymorphic_pseudogene#antisense	0.0	0.0	0.0	0.0
IG_V_gene#sense	0.0	0.0	0.0	0.0
TEC#antisense	0.0	0.0	0.0	0.0
