name	SRX387062	SRX387063	SRX387064
hsa-miR-486-5p	70768.20616000117	89318.28356352902	761463.228014637	921549.7177381671
hsa-miR-22-3p	125815.59427561947	185382.01986370643	29189.214446543876	340386.8285858698
hsa-miR-142-5p	43079.207499796554	181795.6094244831	1612.0506627806124	226486.86758706026
hsa-miR-191-5p	109688.84036273372	61362.35512593059	8025.208734277396	179076.40422294172
hsa-miR-126-5p	51318.16087641379	45892.12581452803	808.9457130257782	98019.2324039676
hsa-miR-92a-3p	34038.415324469206	12298.751471539188	43756.07804427883	90093.24484028723
hsa-let-7i-5p	19222.31350957437	65136.5422559732	3473.793955394091	87832.64972094167
hsa-miR-423-5p	4235.3332376753715	15475.203528377908	59791.89360465626	79502.43037070954
hsa-miR-26a-5p	63519.063193231574	7749.415529505397	1644.1748607708057	72912.65358350777
hsa-miR-181a-5p	24430.204749975197	28030.541692228613	11018.599910636323	63479.34635284013
hsa-miR-127-3p	13380.276867691184	39836.845683208696	1489.394634090783	54706.51718499066
hsa-miR-221-3p	14987.139524887818	30383.346321566543	677.5285394295327	46048.0143858839
hsa-miR-151a-3p	22453.39739974905	18335.378289200973	1229.4806685337642	42018.256357483784
hsa-miR-103a-3p	20107.97246473354	15917.079803021015	2752.9464217050554	38777.99868945961
hsa-miR-21-5p	31215.337591652085	3687.9673691366415	969.5667029767451	35872.87166376547
hsa-let-7a-5p	18297.17308427012	15520.489628757596	1601.391269811139	35419.05398283886
hsa-miR-320a-3p	4310.429363727359	23525.079528254726	5449.626823900014	33285.1357158821
hsa-let-7f-5p	19828.62148861094	6087.944156124091	995.8501376959941	26912.415782431028
hsa-miR-451a	13049.667662900281	1918.3896801578483	9070.705359776417	24038.762702834545
hsa-miR-30d-5p	17584.874278524243	4226.840874798959	1991.7002753919883	23803.41542871519
hsa-miR-28-3p	7064.781090045303	12817.728109300127	855.6718191933322	20738.181018538762
hsa-miR-16-5p	16962.991357181043	1058.6791795858135	2666.308433186049	20687.978969952903
hsa-miR-148a-3p	12379.849591922179	3733.564358077299	411.77381060156944	16525.187760601046
hsa-miR-143-3p	12280.316473909503	2109.067997546053	551.9521291042314	14941.336600559787
hsa-let-7b-5p	3856.263348386457	3901.444180995175	6621.089243942399	14378.796773324031
hsa-miR-151a-5p	9377.612246682243	4231.815091774303	716.9536915084063	14326.381029964952
hsa-miR-26b-5p	11798.363845409727	1352.9870172936942	242.39167574418627	13393.742538447606
hsa-miR-30e-5p	10764.865032295711	1414.7502114042213	943.2832682574959	13122.898511957428
hsa-miR-148b-3p	7310.667704783817	5308.733066936379	210.26747775399292	12829.668249474189
hsa-let-7g-5p	8750.821679066901	2875.8228183913384	451.1989626804431	12077.843460138682
hsa-miR-409-3p	4815.969634914116	6774.88352041916	417.6145738725137	12008.46772920579
hsa-miR-25-3p	6725.253717880464	1896.420221850077	3308.792392989916	11930.466332720458
hsa-miR-27b-3p	7459.277285517942	3394.6958266319575	595.7578536363133	11449.730965786212
hsa-miR-140-3p	5390.71367156651	4907.894082339872	838.1495293804995	11136.757283286881
hsa-miR-146a-5p	8177.402096438195	2312.8036344945367	370.88846770495974	10861.094198637691
hsa-miR-126-3p	6795.165779972567	3193.861816252425	195.6655695766323	10184.693165801626
hsa-miR-378a-3p	1387.9561529807568	7386.608578866209	1179.10408532187	9953.668817168835
hsa-miR-423-3p	3030.425124261126	2570.426622009252	3822.77956083301	9423.631307103387
hsa-miR-199a-3p	6530.407686058863	2481.167061840568	159.64752940580945	9171.22227730524
hsa-miR-186-5p	5321.597874418508	2512.394090630233	747.6176986808637	8581.609663729605
hsa-miR-142-3p	5070.774417026565	2519.85541609325	90.53183069963583	7681.161663819451
hsa-miR-425-5p	4674.075221875246	2128.550347366152	808.9457130257782	7611.571282267176
hsa-miR-21-3p	3128.2064593967784	3435.9403757191885	137.2579368671898	6701.404771983157
hsa-miR-93-5p	3915.553236124247	1619.107625474623	823.5476212031389	6358.208482802009
hsa-let-7d-5p	3427.721518120522	2134.6644890650127	654.1654863457558	6216.55149353129
hsa-miR-744-5p	1157.4507227458018	2618.9252375188603	1801.8754690863004	5578.251429350963
hsa-miR-101-3p	4728.858250029422	356.0710318184079	484.78335148837255	5569.712633336203
hsa-miR-223-3p	4756.4090170953305	417.4197078476563	148.93946340907831	5322.768188352065
hsa-miR-192-5p	2455.3625816310914	848.5185123775099	1401.7831850266193	4705.664279035221
hsa-miR-199b-3p	3243.7445027858985	1233.7439825791853	79.82376470290473	4557.312250067988
hsa-miR-1307-5p	3235.5429738616476	784.6827278605892	385.49037588232034	4405.7160776045575
hsa-miR-130a-3p	3159.738551183194	773.4907396660642	157.7006083154947	4090.929899164753
hsa-miR-107	1753.0038166040429	1309.46261875943	988.0624533347353	4050.528888698208
hsa-miR-98-5p	2332.164469479722	1603.086501633201	102.21335724152433	4037.464328354447
hsa-miR-769-5p	794.194655246741	3067.019283381141	108.05412051246857	3969.268059140351
hsa-miR-134-5p	597.517214053694	2933.544461209398	125.57641032530132	3656.6380855883936
hsa-miR-222-3p	1523.5733440436277	1869.8910646482398	125.57641032530132	3519.040819017169
hsa-miR-10a-5p	2900.872817855827	266.9496443434862	265.7547288279633	3433.577191027277
hsa-miR-1307-3p	713.134883937218	2075.077514881199	473.10182494648404	3261.3142237649013
hsa-miR-652-3p	1103.4639595357266	1762.5308815970552	216.10824102493714	3082.103082157719
hsa-miR-30b-5p	1502.3396122009237	1422.487882254757	49.646487803026105	2974.4739822587067
hsa-miR-484	1002.8160706013091	300.5256089270614	1632.493334228917	2935.835013757288
hsa-miR-106b-3p	939.274128062017	1218.268640878115	674.6081577940606	2832.1509267341926
hsa-miR-19b-3p	2229.4356748247196	300.24926353954226	151.85984504455044	2681.5447834088127
hsa-miR-30c-5p	1242.8634090830792	1159.5452460302986	134.3375552317177	2536.7462103450953
hsa-miR-146b-5p	2043.7732320250755	289.126361691897	78.85030415774735	2411.74989787472
hsa-miR-410-3p	1900.3659155924124	451.41019051251016	43.805724532081854	2395.5818306370047
hsa-miR-15a-5p	1453.6612819515244	139.6925933909237	753.4584619518079	2346.812337294256
hsa-miR-99b-5p	1708.1475580863332	459.28603405680553	137.2579368671898	2304.691529010329
hsa-miR-30e-3p	984.7408563702072	1178.4749050753594	29.203816354721237	2192.4195778002877
hsa-miR-182-5p	1700.0256556564989	225.91235429689442	227.78976756682565	2153.7277775202188
hsa-miR-584-5p	1336.2918291909773	494.9345890467742	300.7993084536287	2132.02572669138
hsa-miR-381-3p	1624.061979989225	432.3423587736897	52.56686943849823	2108.9712082014125
hsa-miR-23a-3p	1537.1098480933515	409.54386430336086	112.43469296567676	2059.088405362389
hsa-miR-130b-3p	1022.7226942038442	751.9357994395715	181.06366139927167	1955.7221550426873
hsa-miR-199a-5p	1189.9914167947459	533.8992886869725	14.601908177360619	1738.4926136590789
hsa-miR-431-5p	999.7902638137238	691.0016414916018	40.885342896609735	1731.6772482019353
hsa-miR-654-3p	1487.422915581424	103.62952031967635	37.96496126113761	1629.017397162238
hsa-miR-320b	71.52127562675396	735.224799077164	731.4582536312513	1538.2043283351693
hsa-let-7d-3p	402.7508087264905	747.3761005455058	306.640071724573	1456.7669809965691
hsa-miR-181b-5p	524.897851151646	544.2622407189401	376.729230975904	1445.8893228464904
hsa-miR-10b-5p	398.2120985451125	262.3899454494205	697.9712108778376	1358.5732548723706
hsa-miR-181c-5p	908.3790482308825	345.70807978644024	93.45221233510796	1347.5393403524308
hsa-miR-23b-3p	893.7277732594166	351.92585100562087	71.54935006906703	1317.2029743341045
hsa-miR-301a-3p	1120.026270373036	151.29909966672744	43.805724532081854	1315.131094571845
hsa-miR-27a-3p	1083.1857456259443	147.5684369352191	70.08915925133097	1300.8433418124944
hsa-miR-432-5p	544.6452217653608	505.2975410787418	189.82480630568804	1239.7675691497907
hsa-miR-340-5p	1174.013033583111	43.10988045298536	14.601908177360619	1231.7248222134572
hsa-miR-411-5p	1090.2459614636432	94.09560445026611	29.203816354721237	1213.5453822686306
hsa-miR-125a-5p	805.0238584865201	254.9286199864038	148.93946340907831	1208.8919418820024
hsa-miR-28-5p	690.0432005582772	451.41019051251016	64.24839598038672	1205.701787051174
hsa-miR-339-3p	557.7039668486238	528.0960355490706	116.81526541888495	1202.6152678165795
hsa-miR-150-5p	88.38540879525593	42.69536237170665	1030.8947173216598	1161.9754884886224
hsa-miR-144-3p	745.9409996341959	86.63427898724942	324.16236153740573	1156.737640158851
hsa-miR-6852-5p	359.4339957673741	721.2614614249474	70.08915925133097	1150.7846164436526
hsa-miR-941	354.17864713630513	631.7255558687477	143.0987001381341	1129.002903143187
hsa-miR-223-5p	215.15078789619955	894.1155013181675	0.0	1109.2662892143671
hsa-miR-30a-5p	694.9800432117061	162.0765697799738	207.3470961185208	1064.4037091102007
hsa-miR-326	566.4628812337393	331.1999469416856	160.62098995096682	1058.2838181263917
hsa-let-7e-5p	656.3213801755828	287.2610303261428	35.044579625665484	978.6269901273912
hsa-miR-17-3p	261.33415465408103	653.2804960952396	43.805724532081854	958.4203752814025
hsa-miR-363-3p	477.1219545055617	138.0345210658089	338.76426971476633	953.9207452861369
hsa-let-7c-5p	118.84519712361498	716.9504733796489	97.68676570654254	933.4824362098065
hsa-miR-17-5p	682.1070932820667	158.34590704846545	58.407632709442474	898.8606330399747
hsa-miR-136-3p	728.1046648863245	130.15867752151348	17.522289812832742	875.7856322206707
hsa-miR-210-3p	168.33040918303695	542.6041683938253	160.62098995096682	871.555567527829
hsa-miR-181a-2-3p	462.7891855117364	370.16464658188386	29.203816354721237	862.1576484483414
hsa-miR-486-3p	80.42275935424188	165.39271443020343	613.280143449146	859.0956172335913
hsa-miR-3615	197.47370613714835	215.9639203462055	435.13686368534644	848.5744901687003
hsa-miR-328-3p	316.27643579707797	289.33362073253636	207.3470961185208	812.9571526481351
