name	SRX395539	SRX395538	SRX395537	SRX395536	SRX395535	SRX395548	SRX395542	SRX395543	SRX395540	SRX395541	SRX395546	SRX395547	SRX395544	SRX395545
hsa-miR-25-3p	173	155	250	44	67	29	48	51	117	105	82	102	89	89
hsa-miR-181c-5p	33	28	50	14	17	11	13	9	27	32	14	15	14	13
hsa-miR-191-3p	20	11	11	2	3	0	3	0	26	10	2	2	6	7
hsa-miR-133b	0	1	0	0	1	0	0	0	0	0	1	1	0	1
hsa-let-7d-3p	388	172	257	73	74	74	46	19	424	198	152	222	33	77
hsa-miR-148b-3p	667	437	689	183	238	186	204	163	501	538	343	469	325	296
hsa-miR-301a-5p	7	7	7	2	0	0	0	0	2	5	2	5	2	4
hsa-miR-337-5p	14	4	16	8	2	0	2	2	4	9	3	2	2	3
hsa-miR-532-3p	0	0	0	0	0	0	0	0	6	0	0	0	0	0
hsa-miR-383-5p	11	10	19	2	6	0	7	0	5	10	8	0	7	2
hsa-miR-187-3p	17	16	21	7	8	2	4	2	11	8	7	8	6	6
hsa-miR-551b-3p	2	0	0	0	3	0	0	0	3	2	0	0	0	3
hsa-miR-20a-5p	26	19	25	8	12	3	12	4	13	19	12	11	15	19
hsa-miR-205-5p	0	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-206	106	73	108	14	39	14	52	30	79	91	52	52	42	39
hsa-miR-150-5p	3	4	4	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-539-5p	0	0	6	0	4	0	0	0	0	2	2	0	0	4
hsa-miR-663b	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-4497	58	33	57	31	40	10	13	15	47	31	22	21	6	25
hsa-miR-654-3p	5	0	2	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-379-5p	239	145	262	50	66	32	68	57	197	185	92	130	101	80
hsa-miR-411-5p	195	129	227	52	65	44	47	45	111	156	86	99	79	61
hsa-miR-574-3p	0	0	0	0	0	0	0	0	2	0	0	0	0	0
