name	SRX395539	SRX395538	SRX395537	SRX395536	SRX395535	SRX395548	SRX395542	SRX395543	SRX395540	SRX395541	SRX395546	SRX395547	SRX395544	SRX395545
human_virus-hsa-bacteria_collection	0.16	0.16	0.15	0.16	0.14	0.17	0.07	0.07	0.14	0.16	0.16	0.15	0.08	0.15
hsa-bacteria_collection	9.55	10.65	9.31	10.07	8.93	9.81	5.0	5.15	9.17	9.55	9.39	8.81	5.65	8.93
human_virus-bacteria_collection	0.32	0.33	0.33	0.41	0.4	0.4	0.26	0.26	0.24	0.34	0.36	0.28	0.22	0.36
unmapped	6.945674807281306	7.510493378790546	7.825282526166902	5.501548499839574	5.801005302599946	5.960647415814431	3.8817418312490966	3.7816371160957774	7.124326697789086	7.55548012372611	7.552352190569847	5.456961723628391	4.333339850507362	6.984300664873864
hsa	58.21	56.28	56.62	58.22	58.36	59.33	63.17	63.65	59.73	57.47	58.48	62.25	63.28	58.91
bacteria_collection	10.5	10.94	10.85	9.83	9.5	10.45	8.01	8.05	10.52	10.81	11.0	10.24	9.09	10.39
human_virus-hsa	0.27	0.31	0.25	0.32	0.29	0.3	0.14	0.13	0.22	0.29	0.27	0.19	0.11	0.26
hsa_HR	12.79	12.44	13.39	14.53	15.75	12.31	19.05	18.49	11.43	12.53	11.49	11.21	16.62	12.91
bacteria_collection_HR-hsa_HR	0.5	0.53	0.55	0.44	0.4	0.67	0.2	0.2	0.59	0.56	0.59	0.69	0.28	0.56
bacteria_collection_HR	0.37	0.37	0.34	0.14	0.1	0.25	0.06	0.07	0.37	0.36	0.34	0.3	0.17	0.19
human_virus	0.4	0.46	0.37	0.38	0.32	0.35	0.15	0.14	0.46	0.38	0.37	0.42	0.16	0.37
