name	SRX395539	SRX395538	SRX395537	SRX395536	SRX395535	SRX395548	SRX395542	SRX395543	SRX395540	SRX395541	SRX395546	SRX395547	SRX395544	SRX395545
tRNA#sense	37.93	37.9	40.83	41.86	45.58	41.56	55.22	55.02	35.59	39.31	37.99	38.06	52.66	41.69	601.2
un-assigned	22.682088301237894	22.26950538196268	22.016519263720586	22.298234137783528	21.913058383228122	21.332933630724007	23.265702276067856	22.995631650111395	22.47982770458907	22.43005265931333	22.105166923300395	20.809752374459762	21.110086608062687	21.63753516671619	309.34609446127746
antisense_RNA#sense	9.0	8.89	8.13	5.57	5.1	7.87	4.21	4.41	13.82	7.62	9.25	14.58	7.96	8.42	114.83
rRNA#sense	4.47	5.19	4.91	4.09	3.89	3.83	1.77	1.82	3.88	4.98	5.03	3.14	2.05	4.82	53.87
lincRNA#antisense	3.38	3.53	3.34	5.05	4.43	3.22	3.51	3.87	2.93	3.41	3.42	2.93	2.5	3.32	48.84
protein_coding#sense	3.21	3.47	3.02	3.84	3.25	3.12	1.91	1.92	2.93	3.16	3.09	2.66	1.68	2.91	40.17
mature#sense	3.9	3.11	3.3	1.48	1.54	3.69	1.29	1.2	3.59	3.52	3.28	3.73	3.08	3.08	39.78999999999999
lincRNA#sense	2.7	2.91	2.45	2.65	2.26	2.67	1.14	1.15	2.86	2.71	2.69	2.59	1.19	2.43	32.400000000000006
protein_coding#antisense	1.72	1.75	1.68	2.11	1.95	1.73	1.4	1.44	1.34	1.79	1.76	1.27	1.16	1.69	22.790000000000003
snRNA#sense	1.14	1.13	1.19	1.58	1.47	1.39	0.99	0.96	0.97	1.25	1.33	1.18	0.97	1.22	16.77
lncRNA#sense	1.29	1.18	1.12	0.88	0.79	1.26	0.33	0.32	1.37	1.33	1.32	1.16	0.49	0.95	13.79
processed_pseudogene#antisense	0.84	0.89	0.85	1.57	1.46	0.83	1.22	1.35	0.48	0.87	0.85	0.5	0.76	0.86	13.329999999999998
antisense_RNA#antisense	1.01	1.12	0.93	1.22	1.01	0.97	0.48	0.49	0.95	1.01	1.0	0.83	0.41	0.9	12.33
lncRNA#antisense	0.99	0.94	0.87	0.73	0.64	0.85	0.18	0.18	1.01	0.99	0.93	0.72	0.25	0.7	9.979999999999999
processed_transcript#antisense	0.62	0.71	0.61	0.67	0.6	0.7	0.31	0.32	0.65	0.76	0.67	0.68	0.34	0.7	8.34
Y_RNA #sense	0.82	0.57	0.7	0.24	0.27	0.46	0.28	0.23	0.78	0.48	0.73	0.73	0.81	0.55	7.650000000000001
processed_transcript#sense	0.55	0.59	0.5	0.61	0.54	0.54	0.33	0.31	0.6	0.56	0.57	0.52	0.28	0.52	7.020000000000001
retained_intron#sense	0.54	0.6	0.51	0.54	0.47	0.55	0.28	0.28	0.62	0.53	0.56	0.61	0.29	0.53	6.910000000000001
nonsense_mediated_decay#antisense	0.4	0.41	0.43	0.5	0.49	0.45	0.29	0.31	0.34	0.42	0.44	0.37	0.3	0.43	5.58
misc_RNA#sense	0.39	0.46	0.41	0.49	0.45	0.41	0.29	0.29	0.31	0.37	0.4	0.33	0.27	0.43	5.300000000000001
retained_intron#antisense	0.37	0.37	0.33	0.4	0.32	0.32	0.2	0.23	0.32	0.34	0.36	0.29	0.19	0.3	4.34
sense_overlapping#antisense	0.34	0.28	0.37	0.21	0.24	0.38	0.16	0.11	0.32	0.38	0.41	0.35	0.24	0.32	4.11
