name	SRX395539	SRX395538	SRX395537	SRX395536	SRX395535	SRX395548	SRX395542	SRX395543	SRX395540	SRX395541	SRX395546	SRX395547	SRX395544	SRX395545
hsa-miR-99a-5p	120161.89689399637	110386.08991983891	112556.16575137294	113923.90814948222	126390.4968037449	94704.31410567135	104978.55252350096	102155.03562876843	99235.17831321103	99076.43502212974	107615.09711761707	96793.82864809132	92644.27127211458	109827.02181751716	1490448.291967057
hsa-miR-128-3p	114702.6547144918	109350.19168957906	84454.56814777834	95745.15983791085	85585.81231858526	96309.98545807076	85082.59560098567	70161.26705709257	148347.53218697192	94292.31726972702	81219.20833569285	124545.03670761854	62552.65374894692	99483.225602765	1351832.2086762167
hsa-miR-22-3p	55344.570350550544	44311.27289625528	48957.813280079885	40724.89869428185	42264.39153705475	74890.9355307804	47572.328192023364	45062.45852926752	54957.40343908431	66073.69758576874	62489.38218472167	53055.24154979441	60815.0800336984	45761.951446469815	742281.4252498308
hsa-miR-181b-5p	41056.83037200527	38512.17906517446	46869.27941421202	35614.58802341288	40038.47810159785	39535.870092098885	50325.51489154575	52375.73204858206	41812.57513197094	38439.23488227318	42284.85946731601	40533.65796698177	57342.857811476184	38539.295347922656	603280.9526165698
hsa-miR-181a-5p	42838.5593272586	43720.71409208845	44102.59610584124	46465.556055830704	49210.58371503834	38748.18225884634	47732.04344254814	50413.986094683096	34155.64731092876	39547.85396928272	41289.144345659435	33825.66676190358	44852.218477955634	39763.38046891876	596666.1324267838
hsa-miR-9-3p	40505.04925956523	28705.03039925647	33406.1407888168	37303.01665916253	34496.06550225666	37899.90305380515	24710.230902619354	30407.062285434047	29730.48310946188	40976.26702369888	36907.52590746926	27291.586439919985	29415.894411682122	24542.629733636877	456296.88547678525
hsa-let-7i-5p	24682.18640953872	31120.51272121752	32432.601098352472	23896.89329131022	28598.513447760943	27129.786718371302	42495.66487177147	43749.81969246747	28423.840136587747	28743.0817905051	26445.43858655643	28993.428653060208	45642.02471215951	35459.6965819777	447813.4887116368
hsa-miR-27b-3p	21259.49947185197	26089.46804528263	26027.62522882343	24122.017109410175	21730.61973233111	26700.597834868313	24801.496760062062	29974.32420736809	27544.03386818586	25223.92684251071	23267.172546576814	29937.51630414529	28517.85547130956	26107.353926765372	361303.50734949135
hsa-miR-101-3p	20955.35196853306	22189.520969678197	25087.36894658013	24493.471409275102	21157.36313149108	37930.19873969947	17272.063521036784	24608.372039350317	23650.237809021062	31476.25423194017	27691.262245880287	27701.51923578589	24677.05700645886	23229.923065419316	352119.9643201497
hsa-miR-138-5p	21121.81107507922	24106.41676025249	29306.040938592112	23615.488518685277	24311.67262294257	22388.51187590887	25736.971798850052	28243.37189510429	25061.412219725084	25702.907140359704	24463.446401268477	24285.41260357014	27467.705700645885	24326.61471228461	350137.78426326875
hsv2-miR-H10	16417.80002712667	20611.470394609456	15264.603095356964	61098.60423232778	44646.901897619166	22358.21619001454	35137.35511545131	32368.808239333008	17578.703461732784	18019.32408347049	17314.117447194065	17179.910808561384	9091.547318169054	18510.825675877768	345598.1879868444
hsa-miR-129-5p	18384.48354520906	17958.796421794526	20388.167748377433	14047.72624943719	18103.72309189443	19207.46485700436	31486.720817742083	27637.538585811963	18763.39309047196	16654.869822535667	21462.143949260997	19850.685084657332	29608.958157820838	24492.780113324803	298047.45153534267
hsa-miR-9-5p	14790.199874230897	14676.838477326419	19938.84173739393	15938.76632147681	15838.660425160655	21903.78090159961	21972.255179337422	25993.133889161363	20427.185142598297	20662.95421403169	20910.017554787933	25838.18834548638	26519.938219601238	22814.509562818836	288225.2698450115
hsa-miR-127-3p	17922.097138136396	20572.74522712311	19090.114827758363	18707.789284106257	19177.530578346	21206.980126030052	20648.900246417816	18665.435767244613	15880.067596996463	19818.698140078286	26176.453932838776	21304.083179090943	21675.793316484134	24575.862813844902	285422.5521744961
