name	SRX590714	SRX590715	SRX590712	SRX590713	SRX590710	SRX590711	SRX590705	SRX590704	SRX590707	SRX590706	SRX590701	SRX590700	SRX590703	SRX590702	SRX590709	SRX590708	SRX590693	SRX590697	SRX590696	SRX590695	SRX590694	SRX590699	SRX590698
hsa-miR-214-5p	2	3	0	2	3	2	3	0	2	0	2	2	0	2	2	2	0	0	5	0	6	2	3
hsa-miR-98-5p	348	344	177	114	509	486	412	422	356	301	284	165	263	352	383	263	286	412	92	354	225	511	429
hsa-miR-767-5p	661	863	978	526	1014	1057	1307	899	746	793	940	713	648	845	984	1029	1067	1190	1206	1110	1240	944	1165
hsa-miR-6132	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-651-5p	3	3	0	2	0	8	3	3	12	0	2	0	6	0	0	2	0	4	0	5	2	0	2
hsa-miR-6131	15	13	13	6	10	16	34	13	16	13	12	19	8	27	27	10	26	28	19	50	21	21	56
hsa-miR-6866-5p	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6130	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	1	0
hsa-miR-656-3p	3646	3781	1861	1054	3958	4683	3126	3276	3715	2652	2612	2575	2797	3512	4435	2828	2790	3628	1655	2873	3163	5051	2964
hsa-miR-376a-3p	30	42	33	12	75	66	74	66	29	55	53	17	31	64	50	48	36	39	30	53	44	50	46
hsa-miR-148a-5p	16	17	41	33	53	25	34	24	31	17	32	27	10	26	18	30	30	55	52	48	40	24	40
hsa-miR-618	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	3	0	0	2
hsa-miR-185-5p	2500	3000	4826	2369	4627	4342	6031	5182	5648	4053	4565	2635	4233	4210	3901	4416	5051	4282	5731	5634	6173	3922	4148
hsa-miR-377-5p	142	144	285	150	169	171	280	193	137	183	202	127	178	167	201	205	244	235	365	219	286	165	196
hsa-miR-30b-3p	2	6	3	0	0	2	2	2	2	4	0	2	5	2	4	4	2	8	8	2	6	4	3
hsa-miR-1468-5p	0	0	0	0	4	0	0	0	2	0	0	2	0	0	0	2	0	0	2	0	2	4	0
hsa-miR-610	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-150-3p	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	4	0	5	4	0	2	4
