name	SRX590714	SRX590715	SRX590712	SRX590713	SRX590710	SRX590711	SRX590705	SRX590704	SRX590707	SRX590706	SRX590701	SRX590700	SRX590703	SRX590702	SRX590709	SRX590708	SRX590693	SRX590697	SRX590696	SRX590695	SRX590694	SRX590699	SRX590698
human_virus-hsa-bacteria_collection	0.09	0.11	0.12	0.17	0.03	0.06	0.06	0.05	0.13	0.06	0.04	0.1	0.05	0.05	0.05	0.05	0.12	0.06	0.12	0.09	0.1	0.12	0.06
hsa-bacteria_collection	3.33	3.96	4.5	5.98	1.5	2.62	2.79	2.51	4.67	2.82	2.14	4.17	2.22	2.65	2.33	2.28	4.5	3.33	4.12	3.18	3.78	4.74	2.86
human_virus-bacteria_collection	0.12	0.12	0.14	0.21	0.04	0.08	0.08	0.08	0.19	0.08	0.06	0.12	0.07	0.08	0.06	0.07	0.13	0.1	0.11	0.07	0.1	0.15	0.08
unmapped	4.904453230968475	3.8726650383065957	2.3082144441386196	6.148716775156657	1.365746745127895	1.296965782311504	1.8090546380460237	1.6339333531052653	2.3341471926695245	2.0157179531932057	2.318474984757666	2.274977759708923	2.0655404725954294	1.757378421175	1.212673763929571	1.3957377857903466	2.2389704919963878	2.4044965302376595	1.161449780766096	1.0046546754712877	1.1992079564393807	2.3608025984011514	2.078661407942568
hsa_HR-human_virus_HR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa	72.59	75.37	75.62	70.61	80.13	78.68	78.62	79.24	77.21	77.96	77.78	74.33	77.83	77.25	79.47	79.12	77.16	78.15	78.8	78.08	79.17	76.42	80.29
bacteria_collection	4.0	4.06	4.08	6.41	1.78	2.53	2.86	2.61	4.21	2.84	2.49	3.78	2.52	2.61	2.3	2.29	4.16	3.37	2.96	2.66	2.83	4.28	2.83
human_virus-hsa	0.05	0.06	0.07	0.09	0.02	0.03	0.04	0.03	0.07	0.04	0.03	0.06	0.03	0.03	0.03	0.03	0.07	0.04	0.07	0.05	0.06	0.07	0.04
bacteria_collection_HR-hsa_HR-human_virus_HR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa_HR	14.62	12.13	12.76	9.72	14.99	14.44	13.48	13.58	10.74	13.91	14.92	14.77	15.0	15.32	14.32	14.56	11.2	12.22	12.37	14.62	12.5	11.4	11.52
bacteria_collection_HR-hsa_HR	0.08	0.1	0.13	0.17	0.03	0.07	0.08	0.07	0.15	0.08	0.05	0.12	0.06	0.08	0.06	0.06	0.12	0.1	0.07	0.06	0.06	0.15	0.08
bacteria_collection_HR	0.11	0.08	0.1	0.29	0.03	0.04	0.06	0.05	0.08	0.05	0.06	0.08	0.05	0.04	0.03	0.03	0.09	0.08	0.02	0.02	0.02	0.09	0.06
human_virus	0.11	0.14	0.19	0.2	0.08	0.16	0.13	0.15	0.21	0.14	0.11	0.19	0.12	0.13	0.13	0.12	0.19	0.15	0.19	0.17	0.18	0.22	0.12
