name	SRX590714	SRX590715	SRX590712	SRX590713	SRX590710	SRX590711	SRX590705	SRX590704	SRX590707	SRX590706	SRX590701	SRX590700	SRX590703	SRX590702	SRX590709	SRX590708	SRX590693	SRX590697	SRX590696	SRX590695	SRX590694	SRX590699	SRX590698
mature#sense	33.72	39.12	32.94	30.54	25.81	31.88	35.56	26.63	42.54	28.89	25.85	31.47	24.01	29.69	28.79	26.66	40.89	33.18	36.21	38.17	43.78	42.09	32.1	760.5200000000001
tRNA#sense	24.47	22.94	23.76	17.88	50.12	41.87	34.23	43.3	18.58	39.48	45.26	30.41	47.47	41.42	45.6	46.33	17.79	34.96	25.01	26.78	21.98	19.46	38.92	758.02
un-assigned	17.966454401080636	14.597515730296122	16.873856465131738	21.03932769238558	9.689869403411201	10.171057794528249	12.1481267177781	12.226728976669108	13.921221809360928	12.778036235439862	12.252869340726921	14.408762351567672	11.977267100312135	11.095288454941045	10.449094844363726	11.455860988580705	16.1860248418885	12.691356829982974	16.820540630426574	14.71980950474936	14.27539711657281	13.454189026355662	10.733945548439928	311.93260180498953
rRNA#sense	8.58	7.92	8.34	9.22	3.86	4.71	5.61	5.44	7.68	5.91	5.14	8.26	5.39	5.86	4.31	4.42	7.44	6.38	5.32	5.81	5.17	8.27	5.88	144.92
lincRNA#antisense	3.07	3.03	3.9	3.92	1.86	2.44	2.73	2.88	3.37	2.95	2.27	2.95	2.37	2.51	2.5	2.51	3.87	2.43	3.55	3.12	3.07	3.5	2.03	66.82999999999998
protein_coding#sense	1.61	1.84	2.29	2.56	0.9	1.29	1.41	1.34	2.07	1.47	1.22	1.97	1.19	1.37	1.27	1.28	2.32	1.62	2.68	2.07	2.44	2.13	1.31	39.650000000000006
Y_RNA #sense	1.29	1.61	1.31	1.77	2.58	1.16	1.11	1.11	2.01	1.1	1.69	1.69	1.22	1.2	0.95	1.03	1.22	1.49	1.18	1.35	1.19	1.18	2.84	33.28
processed_pseudogene#antisense	1.63	1.26	1.77	1.5	1.26	1.22	1.56	1.69	1.34	1.58	1.4	1.13	1.41	1.39	1.34	1.44	1.72	1.04	1.44	1.38	1.33	1.39	0.77	31.99
antisense_RNA#sense	1.24	1.35	1.62	2.03	0.53	0.84	0.94	0.87	1.61	0.98	0.71	1.41	0.75	0.89	0.76	0.75	1.54	1.09	1.16	0.94	0.99	1.65	0.91	25.56
lincRNA#sense	1.0	1.18	1.52	1.93	0.48	0.92	0.89	0.83	1.52	0.92	0.7	1.48	0.74	0.86	0.77	0.78	1.44	1.04	1.56	1.15	1.25	1.51	0.92	25.389999999999997
protein_coding#antisense	0.89	0.79	1.03	1.16	0.42	0.52	0.63	0.62	0.87	0.66	0.61	0.87	0.59	0.59	0.51	0.54	1.03	0.76	1.04	0.88	0.86	0.87	0.58	17.319999999999997
sense_intronic#sense	0.51	0.38	0.45	0.4	0.85	0.64	0.53	0.62	0.35	0.63	0.73	0.35	0.71	0.72	0.61	0.7	0.29	0.35	0.35	0.31	0.32	0.33	0.28	11.409999999999997
lncRNA#sense	0.78	0.64	0.58	1.31	0.18	0.28	0.34	0.28	0.58	0.37	0.26	0.52	0.26	0.29	0.24	0.24	0.56	0.43	0.39	0.33	0.36	0.58	0.37	10.17
snRNA#sense	0.57	0.67	0.67	0.78	0.26	0.24	0.35	0.32	0.66	0.33	0.29	0.38	0.25	0.29	0.24	0.25	0.71	0.35	0.42	0.41	0.43	0.63	0.44	9.940000000000001
antisense_RNA#antisense	0.33	0.35	0.4	0.61	0.11	0.21	0.23	0.2	0.4	0.24	0.16	0.37	0.18	0.22	0.18	0.18	0.37	0.26	0.31	0.25	0.26	0.4	0.23	6.45
retained_intron#sense	0.29	0.29	0.38	0.43	0.15	0.22	0.24	0.23	0.35	0.24	0.19	0.31	0.2	0.22	0.2	0.2	0.38	0.25	0.38	0.32	0.33	0.35	0.21	6.36
processed_transcript#sense	0.24	0.26	0.35	0.39	0.12	0.18	0.2	0.19	0.31	0.2	0.17	0.3	0.18	0.18	0.17	0.17	0.35	0.24	0.38	0.31	0.31	0.32	0.2	5.72
lncRNA#antisense	0.4	0.34	0.25	0.64	0.08	0.12	0.14	0.12	0.24	0.16	0.12	0.22	0.11	0.12	0.1	0.1	0.24	0.18	0.16	0.13	0.15	0.24	0.15	4.510000000000002
miRNA#sense	0.17	0.18	0.2	0.18	0.11	0.14	0.18	0.14	0.21	0.14	0.14	0.18	0.13	0.15	0.15	0.13	0.22	0.18	0.23	0.22	0.24	0.23	0.16	4.01
