name	SRX732315	SRX732316	SRX732317
hsa-miR-214-5p	3	27	26
hsa-miR-767-5p	0	4	2
hsa-miR-4645-3p	0	5	0
hsa-miR-98-5p	1718	440	1379
hsa-miR-516a-5p	2	18	5
hsa-miR-651-5p	6	24	16
hsa-miR-6131	31	34	38
hsa-miR-656-3p	4	0	0
hsa-miR-376a-3p	3	0	5
hsa-miR-148a-5p	48	28	17
hsa-miR-6750-5p	2	0	2
hsa-miR-618	6	0	7
hsa-miR-185-5p	6583	3703	13888
hsa-miR-377-5p	3	3	0
hsa-miR-30b-3p	2	7	0
hsa-miR-1468-5p	54	0	7
hsa-miR-150-3p	37	33	62
hsa-miR-342-3p	166	101	111
hsa-miR-7-5p	167	198	208
hsa-miR-548a-3p	3	0	2
hsa-miR-4797-5p	0	3	0
hsa-miR-3689a-5p	1	1	0
hsa-miR-144-3p	4939	4039	20007
hsa-miR-331-5p	24	56	56
hsa-miR-523-5p	0	3	0
hsa-miR-26b-5p	15226	3531	7028
hsa-miR-889-3p	16	10	14
hsa-miR-5189-5p	0	2	7
hsa-miR-15a-3p	3	0	0
hsa-miR-3120-3p	24	0	0
hsa-miR-181c-5p	167	66	102
hsa-miR-1224-5p	6	0	5
hsa-miR-191-3p	11	12	8
hsa-miR-517-5p	0	2	0
hsa-miR-214-3p	35	45	70
hsa-miR-93-5p	4555	1730	5662
hsa-miR-98-3p	4	0	0
hsa-miR-33b-5p	18	18	55
hsa-miR-296-5p	0	2	2
hsa-miR-148a-3p	23312	15302	6896
hsa-miR-127-5p	0	2	0
hsa-miR-185-3p	33	16	42
hsa-miR-1271-5p	38	5	14
hsa-miR-377-3p	0	0	2
hsa-miR-3659	0	2	0
hsa-miR-19b-3p	408	300	174
hsa-miR-4797-3p	0	0	4
hsa-miR-1260b	75	51	47
hsa-miR-1260a	65	34	35
hsa-miR-3074-5p	4	0	0
hsa-miR-18a-5p	146	148	222
hsa-miR-331-3p	32	16	14
hsa-miR-499a-5p	45	132	74
hsa-miR-26b-3p	29	26	8
hsa-miR-4786-5p	0	2	0
hsa-miR-3648	0	11	3
hsa-miR-941	264	178	167
hsa-miR-940	6	5	2
hsa-miR-519a-5p	0	7	0
hsa-miR-628-5p	3	0	2
hsa-miR-181c-3p	98	26	33
hsa-miR-494-3p	24	7	2
hsa-miR-512-5p	0	2	0
hsa-miR-3144-5p	0	2	0
hsa-miR-873-5p	8	23	40
hsa-miR-570-3p	6	0	0
hsa-miR-93-3p	33	11	34
hsa-let-7c-5p	5645	627	928
hsa-miR-33b-3p	3	10	5
hsa-miR-6500-3p	2	4	0
hsa-miR-1295a	0	4	0
hsa-miR-518e-5p	0	3	0
hsa-miR-483-5p	166	63	102
hsa-miR-296-3p	6	6	0
hsa-miR-122-5p	751062	253073	90428
hsa-miR-675-5p	0	6	0
hsa-miR-127-3p	193	326	114
hsa-miR-323b-3p	18	17	9
hsa-miR-372-3p	0	2	0
hsa-miR-4286	15	0	4
hsa-miR-4285	4	0	0
hsa-miR-933	0	2	0
hsa-miR-450b-5p	54	66	40
hsa-miR-200b-5p	21	26	10
hsa-miR-130a-3p	283	330	376
hsa-miR-496	2	0	0
hsa-miR-361-5p	149	120	96
hsa-miR-3196	0	4	5
hsa-miR-3195	0	2	0
hsa-miR-3074-3p	9	0	0
hsa-miR-4710	2	6	0
hsa-miR-18a-3p	24	33	61
hsv2-miR-H10	93	73	322
hsa-miR-302c-5p	0	3	0
hsa-miR-5010-5p	17	3	18
hsa-miR-3913-5p	4	0	2
hsa-miR-4804-5p	0	0	6
hsa-miR-4670-3p	0	3	0
hsa-miR-513c-5p	0	5	0
hsa-miR-431-5p	51	20	13
hsa-miR-6891-5p	0	7	13
hsa-miR-628-3p	131	32	75
hsa-miR-873-3p	0	2	0
hsa-miR-3144-3p	0	2	0
hsa-miR-512-3p	0	305	2
hsa-miR-484	1196	893	2673
hsa-miR-99a-5p	12963	4823	3850
hsa-miR-4705	0	0	3
hsa-miR-3188	0	3	2
hsa-miR-425-5p	968	689	1374
hsa-miR-3182	21	7	26
hsa-miR-483-3p	36	0	3
hsa-miR-122-3p	606	33	13
hsa-miR-6885-5p	0	3	0
hsa-miR-3180	0	0	0
hsa-miR-675-3p	0	0	3
hsa-miR-501-5p	0	0	2
hsa-miR-3191-3p	3	0	0
hsa-miR-133a-5p	0	2	0
hsa-miR-200b-3p	134	173	170
hsa-miR-3615	117	235	353
hsa-miR-3180-5p	2	2	0
hsa-miR-361-3p	123	130	119
hsa-miR-450a-2-3p	3	0	0
hsa-miR-3178	2	7	5
hsa-miR-29b-3p	151	63	139
hsa-miR-3176	2	2	18
hsa-miR-3175	5	0	0
hsa-miR-105-5p	0	2	0
hsa-miR-125b-1-3p	2	6	0
hsa-miR-542-5p	0	0	2
hsa-miR-365b-3p	14	3	0
hsa-miR-431-3p	5	0	0
hsa-miR-6833-5p	0	2	0
hsa-miR-30d-5p	9525	17218	7918
