name	SRX1158749	SRX1158748	SRX1158761	SRX1158760	SRX1158767	SRX1158766	SRX1158765	SRX1158764	SRX1158769	SRX1158768	SRX1158747	SRX1158746	SRX1158763	SRX1158824	SRX1158810	SRX1158816	SRX1158822	SRX1158811	SRX1158798	SRX1158799	SRX1158796	SRX1158797	SRX1158794	SRX1158795	SRX1158792	SRX1158793	SRX1158790	SRX1158791	SRX1158762	SRX1158774	SRX1158813	SRX1158812	SRX1158815	SRX1158814	SRX1158817	SRX1158775	SRX1158819	SRX1158818	SRX1158823	SRX1158776	SRX1158821	SRX1158758	SRX1158759	SRX1158778	SRX1158779	SRX1158752	SRX1158753	SRX1158750	SRX1158751	SRX1158756	SRX1158757	SRX1158754	SRX1158755	SRX1158772	SRX1158777	SRX1158773	SRX1158771	SRX1158820	SRX1158803	SRX1158789	SRX1158788	SRX1158770	SRX1158784	SRX1158787	SRX1158786	SRX1158781	SRX1158780	SRX1158783	SRX1158782	SRX1158802	SRX1158785	SRX1158800	SRX1158801	SRX1158806	SRX1158807	SRX1158804	SRX1158805	SRX1158808	SRX1158809
human_virus-hsa-bacteria_collection	0.39	0.06	0.05	0.15	0.04	0.04	0.04	0.03	0.09	0.02	0.02	0.03	0.04	0.06	0.01	0.14	0.1	0.2	0.1	0.0	0.01	0.0	0.01	0.01	0.02	0.06	0.0	0.34	0.03	0.02	0.15	0.04	0.16	0.03	0.02	0.06	0.11	0.3	0.0	0.03	0.06	0.11	0.12	0.16	0.08	0.08	0.12	0.05	0.39	0.02	0.06	0.1	0.17	0.02	0.28	0.11	0.28	0.26	0.0	0.01	0.09	0.01	0.08	0.0	0.0	0.03	0.03	0.05	0.09	0.01	0.02	0.0	0.01	0.63	0.0	0.09	0.02	0.05	0.39
hsa-bacteria_collection	2.75	1.84	2.61	2.38	4.95	0.76	3.43	3.43	3.1	2.13	2.83	1.09	2.55	3.62	5.58	7.66	4.64	4.68	0.8	3.28	2.93	2.67	1.64	1.46	1.32	3.78	0.96	4.53	2.13	1.82	4.0	3.66	2.82	4.1	6.28	2.19	7.1	2.99	3.15	2.96	2.29	2.03	2.35	3.1	5.17	2.62	3.29	1.35	6.94	2.94	2.54	1.56	2.86	2.77	3.46	3.76	3.83	2.3	1.61	2.46	1.86	2.67	6.62	1.0	0.21	2.69	3.4	4.51	4.0	2.38	3.66	0.37	1.87	1.41	2.38	4.08	4.21	2.27	2.91
human_virus-bacteria_collection	0.07	0.08	0.06	0.07	0.08	0.01	0.06	0.15	0.04	0.03	0.08	0.04	0.02	0.72	1.09	0.6	2.03	0.24	0.01	2.47	0.2	1.04	0.11	1.64	0.37	0.2	0.06	0.01	0.01	0.04	0.85	1.71	5.87	1.03	7.7	0.23	2.15	2.26	8.33	0.01	5.69	0.0	0.03	0.16	0.1	0.13	0.14	0.04	0.02	0.06	0.35	0.06	0.18	0.04	0.37	0.07	0.03	0.9	0.27	0.71	0.08	0.03	0.05	0.04	0.03	0.1	0.03	0.1	0.07	0.09	0.06	4.67	0.1	0.97	0.38	0.15	0.29	0.46	1.73
unmapped	20.96409268026983	10.79318622172862	14.977461614311874	35.62723640331998	19.067142439444215	63.68861740930674	11.053560056906713	25.93159015983719	11.723349178226972	11.306340207606445	20.55244228179665	51.447196654111266	28.345473510650628	27.938552842871736	22.630209024992695	35.45298546537216	33.54753759599816	56.38783257821754	26.081305280510616	40.6336661120355	12.860382453142634	40.0062013327015	20.08794449414432	51.53112738321212	19.70853722368727	33.350988897734396	23.36599245896584	29.372466143967195	17.883551556070675	7.250244388494409	57.38448821036933	36.371436270037485	51.267965800685154	36.22495059183543	20.157654137218735	28.632267449930872	35.47574630673584	39.281806934489424	28.803364290195958	9.698961629306119	20.701165559659454	39.05402731050861	42.97208447094222	12.936590401293047	17.096154924051344	15.418336461556672	25.871004674542267	22.817114729269218	31.802481734237585	11.779712332578272	38.19420860784713	11.21393195756418	37.36053192176102	10.487668297908602	24.352980028853008	15.66593220994163	14.18627555857215	65.51407645477302	56.30964693658737	20.54771082161376	21.477499239839183	14.285172562533477	14.703661034306196	56.18833143018805	84.6046982190012	9.031954954121257	19.917567518710005	19.955150129377706	19.63017604897222	26.76145607201326	11.774541508504033	37.950796324276126	19.763373084275443	72.47359775828777	60.56273437711708	20.834784014324438	16.712761226841135	38.95799019705118	42.04113442822384
hsa_HR-human_virus_HR	0.22	0.09	0.01	0.17	0.0	0.03	0.04	0.51	0.01	0.04	0.0	0.06	0.08	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.15	0.02	0.64	0.0	0.0	0.0	0.0	0.0	0.12	0.11	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.01	0.0	0.02	0.0	1.01	0.75	0.67	0.55	0.08	0.15	0.02	0.02	0.01	0.54	0.21	0.07	0.0	0.3	0.15	0.09	0.0	0.0	0.03	0.0	0.16	0.03	0.0	0.0	0.06	0.3	0.03	0.6	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa	59.81	69.6	62.11	45.32	46.97	27.08	73.94	47.31	66.97	62.76	49.49	37.5	52.15	53.93	27.22	31.55	33.59	21.46	65.48	34.07	57.89	39.85	66.08	26.77	57.08	49.94	67.42	45.44	58.54	66.29	22.11	32.74	16.27	38.61	23.27	46.56	16.2	36.25	35.88	58.93	48.82	40.55	32.0	65.66	31.36	55.89	49.51	60.66	31.42	57.88	36.9	70.74	28.73	58.2	50.52	58.22	58.0	15.21	32.87	70.6	63.14	60.78	41.87	31.48	12.82	72.13	58.83	43.13	55.13	52.24	71.28	44.74	50.71	17.31	23.03	58.25	66.79	43.73	37.51
bacteria_collection	10.81	10.46	14.51	14.58	24.8	5.72	8.58	19.49	12.01	17.08	22.59	7.45	14.18	11.03	41.35	22.84	22.97	15.75	7.1	19.23	22.46	13.99	7.97	17.61	17.19	9.63	6.57	18.92	17.48	9.47	13.4	20.62	20.04	17.13	18.89	19.46	37.53	16.79	17.86	25.07	18.18	14.55	19.52	14.43	43.4	20.05	15.67	11.0	26.45	24.55	17.53	8.64	26.43	25.43	15.44	16.2	19.25	14.14	7.68	4.95	9.54	17.32	32.77	9.24	2.18	10.54	14.18	29.4	18.09	17.41	9.77	11.13	19.18	5.99	11.53	15.69	10.83	9.67	14.12
human_virus-hsa	0.31	0.06	0.05	0.03	0.05	0.0	0.03	0.02	0.04	0.01	0.04	0.04	0.05	0.0	0.0	0.02	0.14	0.12	0.0	0.0	0.04	0.0	0.01	0.14	0.01	0.24	0.0	0.04	0.0	0.04	0.04	0.0	0.06	0.0	0.02	0.18	0.1	0.0	0.0	0.03	0.03	0.09	0.01	0.01	0.05	0.04	0.05	0.04	0.09	0.03	0.0	0.01	0.1	0.03	0.13	0.15	0.07	0.09	0.04	0.13	0.13	0.04	0.06	0.0	0.0	0.02	0.11	0.18	0.02	0.0	0.04	0.0	0.0	0.01	0.0	0.0	0.16	0.0	0.14
bacteria_collection_HR-hsa_HR-human_virus_HR	0.57	0.19	0.03	0.14	0.02	0.03	0.05	0.0	0.06	0.01	0.08	0.05	0.04	0.0	0.0	0.01	0.04	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.02	0.01	0.02	0.03	0.0	0.0	0.56	0.0	0.0	0.0	0.01	0.01	0.1	0.06	0.02	0.02	0.09	0.07	0.07	0.07	0.02	0.05	0.03	0.23	0.03	0.02	0.04	0.05	0.04	0.0	0.01	0.0	0.04	0.01	0.0	0.0	0.03	0.01	0.05	0.03	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0
hsa_HR	3.56	3.98	4.21	0.76	2.44	2.29	2.32	2.23	5.15	5.03	2.81	1.85	1.79	2.37	1.29	1.13	1.54	0.87	0.04	0.17	2.58	1.8	3.42	0.08	2.55	1.3	1.3	1.11	2.69	14.64	0.8	3.93	1.61	1.97	19.77	1.4	0.71	1.1	2.74	2.43	2.31	1.91	1.96	1.78	1.33	3.98	4.37	3.6	2.43	1.75	3.14	6.88	2.55	2.08	4.24	4.57	3.8	0.67	0.61	0.22	1.95	4.01	1.61	1.48	0.08	4.74	2.51	1.18	1.74	0.72	2.95	0.35	7.02	0.68	1.15	0.17	0.49	3.74	0.67
