name	SRX1158749	SRX1158748	SRX1158761	SRX1158760	SRX1158767	SRX1158766	SRX1158765	SRX1158764	SRX1158769	SRX1158768	SRX1158747	SRX1158746	SRX1158763	SRX1158824	SRX1158810	SRX1158816	SRX1158822	SRX1158811	SRX1158798	SRX1158799	SRX1158796	SRX1158797	SRX1158794	SRX1158795	SRX1158792	SRX1158793	SRX1158790	SRX1158791	SRX1158762	SRX1158774	SRX1158813	SRX1158812	SRX1158815	SRX1158814	SRX1158817	SRX1158775	SRX1158819	SRX1158818	SRX1158823	SRX1158776	SRX1158821	SRX1158758	SRX1158759	SRX1158778	SRX1158779	SRX1158752	SRX1158753	SRX1158750	SRX1158751	SRX1158756	SRX1158757	SRX1158754	SRX1158755	SRX1158772	SRX1158777	SRX1158773	SRX1158771	SRX1158820	SRX1158803	SRX1158789	SRX1158788	SRX1158770	SRX1158784	SRX1158787	SRX1158786	SRX1158781	SRX1158780	SRX1158783	SRX1158782	SRX1158802	SRX1158785	SRX1158800	SRX1158801	SRX1158806	SRX1158807	SRX1158804	SRX1158805	SRX1158808	SRX1158809
hsa-miR-320a-3p	12624.359079612203	50889.67004439159	351728.2490988294	130277.48056209428	238083.30414704705	18484.635933559184	471533.3304446013	129123.86562268037	54513.4795252692	69245.3362343366	254448.63022475078	16376.010208421949	71340.03779843963	198932.19538096557	8122.86878655984	157880.76175879428	108007.26509778133	1356.0993650989337	32417.536378955596	812.3336444398354	137467.55038515019	113621.5313128149	413.4909124571851	256.278831368529	55016.14849876272	6412.731847171025	18513.714995497576	388.1435803238539	412448.832608557	53203.49463513712	13379.295486372941	136958.94149117608	142.673705236125	108.18162148796092	29236.022193768673	65111.205645909016	1181.0558639423643	857.9673972389048	1606.8158887933935	212057.96583458292	99363.66070141477	25714.58376799499	12261.878694985768	179224.15775554787	75505.57550557551	284152.4704653744	81931.32728589687	31800.73987270513	42168.34274693483	210617.9935163432	112381.77069481666	12995.19299372146	62247.49364058058	400346.264222669	46162.00919702865	67230.0486101279	89707.47795073428	3042.486145822015	23758.349477783468	587.3337799517285	8912.07322966711	39484.93184750004	433351.23477312055	78755.46685219409	316.15260872395226	358851.18405946845	130649.12444402969	38516.494906420274	158445.7464686379	254661.10331762658	361213.3206827368	16155.452063594026	168777.59715929403	497.1068382016663	65863.15023237583	83560.39240055875	179034.0352284672	15236.194278110446	10960.615611778403	7899020.0261008935
hsa-miR-21-5p	67577.4515438065	86642.72046728658	118365.16758488459	16820.029959340893	140732.38121181462	61933.82780903488	22177.81504808464	35378.205588678975	101302.75878330582	158926.6287924574	122903.05220266011	18736.707783921735	39131.86451825058	72281.4093851842	36705.38659865266	89116.0989775546	71915.07351214242	62544.946475169	174348.9959128953	2333.2987659442083	104529.05722852373	201621.11363458374	56765.513623599836	7679.527739974195	30018.00271052046	95594.17237142356	104945.49641598602	43422.87969735734	107581.43478379783	33299.6398115061	92297.74857265971	67687.29466257339	31245.541446711373	39779.92767285878	96927.0166453265	41984.35812690206	448683.1227117042	115474.61196474533	15769.216396995627	150405.39598217397	148190.86060256595	146672.23033590653	67002.40858331509	83175.23283890997	169438.66943866946	76715.43259951327	94657.2283318586	45150.61694354449	15543.922487027598	126728.13279767238	113275.09666332522	32213.18493150685	10811.013018105641	129087.76616641786	285550.0530597807	58365.33696729436	39930.38770182732	88014.77778985114	45871.82975014869	73132.23269430194	28676.40788014896	39143.00368349886	61197.35058691149	62763.09409193447	58874.12476869717	38779.77911517566	36017.54222263693	57680.348258706465	83435.5270927011	80320.85176792202	92715.03543155335	663.7760291204968	87752.91391415626	12606.629416794256	51374.65703566829	86354.14840899313	66349.14670742296	65890.44133954313	73004.51486497998	6318710.5994391
hsa-miR-124-3p	69693.3284572384	27627.647789452487	5043.322088197465	60004.279905842086	14491.964042495227	42294.08867730235	14499.735341171989	48703.39774441493	42575.453902381494	17007.1316330231	23541.17013915585	54338.579327945496	91644.95484784868	55577.47672702301	98805.13431842763	21648.81924698004	106064.16459204297	73291.00659557422	132072.13413896182	424660.3754018455	7356.015071940554	147074.94713759897	79211.28151325358	131197.08725852368	24399.741084612753	63349.13112164293	56800.136654371905	68449.94041176028	24327.87243935124	59993.451118292796	125950.66250134665	42966.01497280123	132008.84576972487	176846.04209810498	229321.38284250972	66690.66396151703	178811.85780087402	75579.12799313624	23055.93961361683	3657.7557734853885	29119.215799336904	55288.96307114544	246770.3087365887	35831.321145222486	102910.60291060293	20532.042854345586	79130.32486411338	64382.71179430614	41006.566561050626	2252.7947178948675	59286.83946727766	107020.54794520563	80577.5849169534	5649.406773002282	139281.92430137953	41408.572844400376	36175.83550871762	40095.62099315439	57807.92717037344	72003.45058595744	24646.786252380844	57420.61826828927	10229.394164130632	42193.4404801226	68209.9253321928	18661.697828989156	66343.19305775873	64629.97512437818	42171.95803242948	96453.36498687093	27455.74762060072	27932.123547989922	47729.395081797	52076.912370006525	101489.44509771	55673.28988670935	108503.47562492697	4723.885562208916	90041.74120453201	5463750.994540841
hsa-miR-29a-3p	53262.62995663759	68280.23767162375	12474.819794675144	50631.28611170554	21084.1732497957	25549.569447968122	4365.383814774505	63842.39637957043	76058.12308417827	15991.780490753052	21357.73045283309	36112.29264142918	63301.54554422887	17025.443173016498	37426.187241828615	35392.34073446669	60077.97454084269	40004.93127041854	26808.241241586056	77880.32769884891	10968.961879950499	51491.89443182708	35245.47165735798	80427.36704430974	169179.9664219107	44567.31613129717	77377.37484420769	47990.40027990072	15370.729972923447	44005.637732947995	49660.67004201228	75887.32697797166	89741.76059352262	67551.69536055389	123943.66197183098	50361.59560195033	25038.384315578125	165275.71952265812	130469.71338888681	8420.656705568621	43163.98607879075	60426.66388483204	89336.54477775346	34095.808899620555	95161.59516159516	44945.31315561274	24080.394387561624	43082.64975529055	42705.606832897094	6516.726559213337	22769.583273664615	41965.4323630137	73694.44860092773	27482.910348078887	78793.77431906614	41935.08424182359	55101.679074414256	56974.17508783368	87094.64671624829	72492.13064505768	37076.78312533758	23919.4292908099	13264.114432822716	50278.64255746783	42600.01425786274	20903.386091537985	104086.96463562563	103591.41791044775	88545.21506108917	21851.731952088056	16878.168826163015	119297.68213693057	39860.96219693564	26545.50515996898	133070.16070328685	60122.85090584618	19868.692972078214	49656.24306941673	80287.92912513843	4263428.767992497
hsa-miR-9-5p	107752.9909618098	55960.25378495419	5756.862364390945	82174.19216777223	26018.601393158722	73246.07876789	11942.357901998903	60663.745420587606	74628.62532421609	51456.54538861365	49665.564695933055	76775.8400680563	78921.40743176585	17785.377117219818	43802.50062376977	12795.69241938412	7351.214242096859	50319.50522920131	36281.20024950893	3111.0650212589444	26157.181181668882	95152.32202991622	89110.37738760166	1122.3245373725235	46564.314177640124	8735.591831958342	103117.11153147815	6368.834803905492	9203.292946421247	88822.76732962232	61251.75051168801	17625.356815856092	18832.929091168502	57104.44162828802	83290.6530089629	102097.58172715071	55627.73119168535	63450.58887762264	117409.66331601967	4739.656961252298	10193.784880248768	43970.37346129775	176483.46835997375	27789.755087961377	19656.019656019656	28322.47055861703	24733.493447941695	96574.06769145919	8150.801304128208	1679.560424032809	76041.81583846483	59931.506849314996	58057.758491695335	10316.649642492333	29978.77608772551	64931.24380574832	32372.94144187693	99315.44061719005	71233.82856066088	77541.82458909602	79597.46425221015	117172.5649274958	18779.462786316468	120663.12009388838	108765.79600717875	24044.605312943997	61164.5049920687	72512.43781094532	40014.53422355451	60996.00733786552	16470.483588816063	129339.97109362441	55442.18863487011	13958.760016702785	21809.731787894067	67743.2718813238	35416.33873760419	46152.14016411619	34542.97640344148	4124056.032309673
hsa-miR-26a-5p	61412.67436393083	27594.078351069187	9557.556488605198	72373.20778942863	26298.78974199323	45875.80402047547	12140.604215113108	64435.026219380794	67790.6154208913	48652.242233772515	22418.69762435612	48745.21480221183	19831.533149520656	21161.237523199907	33877.63022927005	18845.665194506626	9253.605148198601	51716.69851445479	64099.58011749262	95665.24940371253	23128.396654494314	64452.9720416634	94868.39263122164	85685.50168790542	68299.04727228594	79574.04481891054	2910.2319961028197	72905.39136899881	30098.733692530703	77248.33074699962	19584.18614671981	21651.316852480206	99086.8882864888	51200.815998516366	640.2048655569782	163356.1307634412	17715.837959135464	23594.103424069883	13003.9983558163	7239.4403697059215	7949.092856113182	65094.93010640517	59119.772279395664	46524.66367713004	108013.60801360801	39217.880220425744	66321.15619601398	64934.16971117391	44289.84708637553	5372.666518942423	73893.7419447229	93964.04109589041	103770.7616339967	11180.953877583092	66766.89069685178	53069.25173439049	59234.90927841696	65033.141366945565	35231.21404302177	58040.50767663605	24021.37760468488	82598.96489019443	22939.416413062936	34097.6970702123	57553.72269696772	16734.131488580955	101101.0543995521	53995.64676616915	72602.9885997184	55996.18718751124	10921.022721657228	66227.71800224828	42160.96565558745	53269.96878169056	80911.5851951397	24386.940518491374	18142.30513397277	18496.340652029274	69724.84879461623	3870895.759070755
hsa-miR-22-3p	13896.870591923098	3121.957769646514	72538.4073975196	81361.01005777872	32680.857687667823	41279.26933007	118335.20676099225	22771.35263271317	5585.3572270690875	35428.502357065154	21603.75182593988	30582.73075287112	24384.69127058407	32764.84428661201	11837.764409082089	45163.04676628955	30414.768190145147	25848.075777188766	21990.29894517321	4977.70403401431	83770.53219675472	1135.562690892004	160.45916005801215	326.9764400219163	26645.022958512855	321.80679890000584	69.59250425463264	21019.888258383355	28526.105625905973	19646.645121794965	8187.0085101798995	52795.281951850055	12376.943929233843	92.72710413253795	3649.1677336747757	17768.90605059066	590.5279319711822	6746.743623742297	22943.836179514965	49651.23478312318	77328.61055623057	4850.824118506154	3503.3939128530765	38138.15108658158	16915.516915516917	37273.76989566141	35667.635781401426	25849.58985317433	68237.13091794094	64910.35386379183	20191.89460117428	1123.7157534246576	16459.67379919198	33538.93297713523	9550.76052352317	16306.367690782954	63698.47561958168	814.9516462023254	31073.895454625752	160.59908045555076	13659.493418995366	10397.724623490465	23936.782344065672	302.18486686296967	251.06236575137387	102967.73825076924	22161.052533358215	15096.393034825871	35404.4601898533	179.849645696198	46624.366234767396	25855.146940741928	56507.45339466676	6422.620349565528	27073.184388823563	13081.789066110041	73782.76963385344	33000.66533599468	681.4890535820768	2105971.9073433676
hsa-let-7f-5p	39731.46648555457	39656.69654346683	5318.382965641661	30201.868892217706	14381.445304899406	28812.91009397028	3207.625346187624	31642.841749874293	37746.60064450208	16370.522583504573	10266.266881935368	39415.8514107472	21180.617037243148	17475.557893813846	32192.065648304735	14486.323700432236	28178.87171778853	842.4253631675194	32166.165476534057	2195.0292094438105	21928.603003129378	352.4160075182081	58935.003754332916	71867.65407660085	12835.190916385165	46576.365728551085	72417.32726824115	51015.551254997576	9911.659327735688	20301.53329252146	31741.175625695712	12145.203856304195	44732.96238169972	32925.334075150175	768.2458386683738	19666.873916031283	1299.1614503366009	45121.285391155136	41665.109674526364	10387.660128067233	16255.139795575144	41797.06516447597	4817.16663017298	13575.083362078876	21199.5211995212	29744.421755387095	8897.596876360622	48413.40961834516	22676.830294959513	5090.59885053411	2720.8935987397967	48560.573630136976	39665.319966083094	13580.052905895602	1061.1956137247967	30625.412950115628	21858.046773448492	81350.28432757434	9488.422122901959	60254.17481133432	28080.37448711753	48087.53360998431	14335.359321677506	28733.330053807644	17370.416174615428	13821.364574186318	979.7517962116264	25777.3631840796	20116.27378843621	42599.187079601455	9431.11849062571	192.70916974466036	5264.068066267769	51125.11847712978	923.9039139929447	31193.40121204396	298.5635437664705	113637.90936645231	25013.48780418548	2050676.2962781698
hsa-let-7c-5p	22821.865802901277	15626.573567424217	6165.085066621362	75075.25501105643	14079.46452893334	38252.222404624394	2292.7186111656288	22430.141512822356	13801.285074274936	21865.909182481166	23347.94085236155	27938.465901035022	37431.175642290415	12777.120142633754	20729.94926672396	2565.356511451254	9723.331297853352	37847.500462306605	34118.32431811764	43822.80756334474	21061.77262336852	2897.6427284830447	17093.11774205161	15492.055356227576	42683.53325107375	25092.64135119849	55041.133387742004	20354.668474358834	604.8920128727585	45296.43180858283	43114.65402707458	19671.998707384068	18547.58168069625	26802.254298931577	0.0	14594.718413560653	708.6335183654186	34529.28788706029	58256.41792160233	5069.791783326747	411.87009617166746	20467.348216148548	3284.431793299759	6510.865815798551	44604.044604044604	4303.150670881237	18732.70692004101	27090.370166126697	15259.21844147495	4057.974272431338	4868.967492481742	30701.51969178082	35586.562920843935	6695.214897462089	32366.466218606296	15947.875371655104	15455.971295669642	19432.069252779893	10187.982247974827	23675.74586801509	25589.992514048	29376.680499215116	12692.973258658756	17758.63159448196	24591.558725347066	7535.7135208070085	52160.11943640944	24033.737562189053	5813.68942181042	17886.04726448689	17736.2844802878	15342.861731170708	20598.000899249473	25909.208407070848	10414.916848647741	99978.09079175896	35401.190530593456	731.8695941450433	30532.129369338676	1763349.7723977894
hsa-let-7a-5p	17782.50875084896	24119.64147839806	9824.770041016423	9154.718596190887	13010.857298517334	30668.43762591966	2215.4025490510944	56910.423101788634	14029.709974062727	24744.95346307264	14704.38994387638	33772.86261165461	23955.93554751727	61764.36202083979	79511.24171772337	9929.517817169828	1085.0674057024755	36815.015718424445	20531.41670778597	5081.406201389609	15648.627772348369	1527.136032578902	21205.91230289753	39978.17211332829	22480.379068309176	17137.967351237487	11937.645116187845	43996.894851357385	16941.990536881545	17379.450748138563	13721.857158246257	21180.050627457313	61142.81637894134	17660.649707909623	256.0819462227913	23340.096207336628	31297.98039447266	32893.30005459794	37722.80557527746	12559.140057602795	1019.378488024877	29689.129981222606	875.8484782132691	14476.974818903069	15592.515592515592	12007.32887633221	8258.542957064004	46219.066657475705	31295.633007301294	4191.193708231773	2291.2788199914085	16173.480308219172	16418.524614693993	19276.341635892215	1945.5252918287938	13968.811942517354	20407.52199555255	60007.606215364576	61624.59295375715	27815.990162159185	67044.8730704721	31746.864363314235	9564.483543462144	588.5577348784583	21551.146983067258	15896.35404396278	2146.122982177848	18929.570895522396	867.5114684107735	12987.842163950936	16617.250274260972	33796.905947219115	3723.2386815619257	30730.1505239506	30019.87793269501	14148.568332828763	50222.39937443824	17656.90840541141	27351.13723485818	1758766.6430339841
hsa-miR-128-3p	52269.9963429288	36053.576823659736	2329.9274324685093	2653.5416220843144	3782.5427092656737	18744.31029593923	2545.482660386223	23848.861432368365	55160.92902617307	7131.633023087152	18067.194587529793	17630.795406210123	18111.451192674474	87.68468586961286	27750.824762274402	6755.802932220138	23791.629480013155	10684.419240173416	19281.079219074396	518.5108368764907	13156.109756063799	3876.5760827002896	107421.23615268305	30452.99492744658	34549.021987580156	6734.538646071031	208.7775127638979	20522.408458249964	2023.903946612696	44048.34783103885	452.439943983626	27144.934561318467	9701.8119560565	12533.613575248044	320.1024327784891	1472.5612749108282	0.0	16652.367210046017	8333.021934905273	678.3013306116757	6837.043596449681	43292.301272689336	2627.5454346398074	13927.21628147637	1039.5010395010395	6615.569666284371	3286.5630135254705	15406.3555524919	41373.92661982826	1013.1956286469423	1288.844336245167	34808.433219178085	18180.457878198413	3343.28592755559	530.5978068623983	5590.312190287414	6203.873795481646	0.0	6471.520012248191	54447.676819587585	11463.456235608493	15130.321257052268	4901.584703645926	351.3777521662438	36748.09146108998	6696.508249270023	32285.15442754502	12608.830845771143	295.2264159513104	44.9624114240495	12215.732202686275	22472.03040522456	8999.412029191022	53031.35749935376	50674.72982809788	29493.777784859543	11973.007418390092	19871.368374362388	39015.2483175739	1322039.6609427878
hsa-miR-103a-3p	50502.41192553505	32439.267291058222	5082.154212071937	8303.01733361866	8358.952406895745	16530.611229672522	8205.4148997964	28194.81359097766	25583.58877623202	6732.745074338209	5268.957740703724	17347.228129873813	9291.815276688674	24873.22255834685	15580.38313326495	13309.940105269527	29811.95296475488	11924.08583150123	19510.726710175557	1088.8727574406305	9147.261497061194	76905.00430730675	28030.9809609035	11738.748770156177	14090.323711659958	15739.277982563923	10333.4324499303	11658.88557235689	17039.083226212293	34429.08462768658	13487.019282559519	7109.387623202456	40626.33756598659	24763.28830917277	1088.348271446863	861.7210423552253	3779.378764615566	20591.217533733718	14610.814244609694	4698.099558857608	151.01903526294475	11040.40614785451	3065.469673746442	6453.374726917328	13986.013986013986	12746.277285145505	24796.696582817174	4928.655132005239	2150.5870107605883	2377.5039526939863	30073.03451238723	42522.831050228306	8155.020200508755	6025.24816007962	2033.9582596391933	7985.422860918403	19594.572818975783	116320.76496794524	21679.690183585462	39664.91384241712	36006.00771337333	13451.764815591923	878.022999087879	20642.271680592945	9593.062000006199	6218.186231465022	4012.316879723803	19206.053067993365	431.4847617749921	107.90978741771879	1381.1881677390024	68743.64327391465	23477.328537336165	12712.678875610613	485.2828639154862	106.2264641990259	86.31939190527208	11088.933244621869	15354.80023852117	1318402.7986352867
