miRNA_name	SRX1169949	SRX1169948	SRX1169947	SRX1169946	SRX1169945	SRX1169944	SRX1169943	SRX1169942	SRX1169941	SRX1169940	SRX1169929	SRX1169921	SRX1169920	SRX1169923	SRX1169922	SRX1169925	SRX1169924	SRX1169927	SRX1169926	SRX1169958	SRX1169950	SRX1169951	SRX1169952	SRX1169953	SRX1169954	SRX1169955	SRX1169956	SRX1169957	SRX1169938	SRX1169939	SRX1169919	SRX1169932	SRX1169933	SRX1169930	SRX1169936	SRX1169937	SRX1169935
hsa-miR-486-5p	16326943	8275680	4018874	6774983	5247248	9834737	8189136	8982108	6372104	10515398	2749888	8834772	5269468	12499389	8971100	724010	1608157	21151809	302435	4476098	5096539	3367313	10172132	4920366	3661100	3742993	5079275	1271867	5993949	2929085	10229752	2380111	2644723	2775248	3202817	5226519	6510096	2.30328222E8
hsa-miR-451a	773316	630500	1874734	1145650	518015	1813564	723535	1428478	2566252	1298336	1536487	1816278	712664	1245942	1846752	248111	219376	2854008	82507	1009248	625115	894969	1635135	1573887	688477	1238088	761253	270719	2104982	232986	546194	1020583	2151780	1419786	2273174	2447742	1180063	4.5408686E7
hsa-miR-92a-3p	386839	454411	583733	417490	318372	706885	804392	75945	710368	1096624	389280	1030360	884727	2046306	1215097	154641	262640	2006008	46216	657541	401694	270760	245687	688692	488322	511219	55963	250921	1269130	94719	1548107	435957	536029	442415	676533	949459	726238	2.383972238E7
hsa-miR-191-5p	174501	114905	296322	189062	145898	227984	207066	230057	177254	310711	87346	372759	331784	427414	360343	31384	69767	248924	20914	476292	172021	128702	304860	225109	184938	222946	362594	96927	289977	39316	342090	130524	231873	119730	184618	446110	202168	8185190.0
hsa-miR-484	47312	90737	84802	157256	37629	116819	108867	55131	126110	87233	37449	83799	22884	47739	64989	8849	6988	95999	2943	53661	44203	34649	89364	53606	48455	45552	68196	21121	114137	45007	199067	30046	38263	36773	45966	74895	51287	2377783.0
hsa-miR-16-5p	6195	11785	37823	8446	8452	51549	43040	76296	59443	75776	45831	75770	48101	33964	43654	6197	12000	78761	3319	15102	12002	10268	50561	70614	36115	24176	22549	3054	47072	2647	14421	37468	39230	30754	53138	58156	17591	1271320.0
hsa-miR-30d-5p	19517	12694	21413	12228	18442	15135	18430	21922	29234	43937	30158	48410	18713	27564	30750	6727	4601	58425	1765	61774	28042	24333	62798	45789	30437	25045	32330	11017	30667	3191	26635	23324	42339	31544	36910	36031	25406	1017666.5
hsa-miR-140-3p	17929	10721	18436	9788	13092	14536	11692	12571	20828	29287	28127	61076	22114	31595	32911	6089	8896	74291	1556	39210	20264	24893	64973	36571	23152	24966	21569	8369	20216	2505	11140	16214	37053	23486	44384	25049	16855	886404.0
hsa-miR-25-3p	12684	15198	19698	17934	9833	22423	24297	11238	39940	39589	21380	65555	26088	45772	42598	6061	3367	70046	1644	22389	16033	13279	42676	44201	21099	11717	10168	5843	30795	5317	19755	20464	26578	17926	28323	34692	15462	882060.3500000001
hsa-miR-22-3p	9925	9089	22983	22998	8476	19446	16922	8048	23583	26967	24663	44483	26961	74674	45648	3643	8496	53189	1286	27874	17573	12071	42655	53932	20470	25204	9235	8374	23786	7976	33352	11088	26872	18207	34624	31575	14490	870838.0
