name	SRX1169949	SRX1169948	SRX1169947	SRX1169946	SRX1169945	SRX1169944	SRX1169943	SRX1169942	SRX1169941	SRX1169940	SRX1169929	SRX1169921	SRX1169920	SRX1169923	SRX1169922	SRX1169925	SRX1169924	SRX1169927	SRX1169926	SRX1169958	SRX1169950	SRX1169951	SRX1169952	SRX1169953	SRX1169954	SRX1169955	SRX1169956	SRX1169957	SRX1169938	SRX1169939	SRX1169919	SRX1169932	SRX1169933	SRX1169930	SRX1169936	SRX1169937	SRX1169935
mature#sense	98.58	96.26	94.12	95.32	96.41	92.04	94.35	98.37	96.0	94.69	94.83	93.21	92.18	94.21	93.46	93.11	94.1	94.68	92.85	92.1	94.44	96.31	96.35	91.31	91.91	94.72	94.79	93.5	94.89	97.61	93.86	94.47	95.54	95.4	95.46	93.32	96.77	3501.5199999999995
tRNA#sense	0.35	1.07	1.69	1.87	1.31	5.91	1.42	0.55	1.69	1.84	1.38	3.45	1.22	0.76	1.17	1.6	1.83	1.42	3.38	1.84	1.39	1.29	0.59	0.87	1.06	0.6	0.38	1.87	2.5	1.26	1.72	2.02	1.15	1.24	1.9	3.87	1.45	60.91000000000001
Y_RNA #sense	0.24	0.6	1.12	0.4	0.45	0.36	1.88	0.21	0.66	1.85	1.76	1.8	4.48	1.85	3.36	0.4	2.15	1.61	1.88	1.49	1.27	0.29	0.74	3.59	2.86	1.54	0.73	0.6	0.75	0.22	2.14	1.35	1.32	1.59	0.93	0.74	0.47	49.67999999999999
un-assigned	0.4103998608999088	0.8274802946505327	1.4822270822768344	1.150888747315616	0.9357720371056789	0.5609981732466972	0.5007239452234564	0.3622202438528183	0.5727703138641587	0.4950889085208882	0.6575686783799503	0.5255431636393231	0.7509111066451599	1.2774403300647021	0.696582745309395	1.8781070554478705	0.6715179515693114	0.8189742961464118	0.6486272052676166	2.101814132398172	1.3354582947114826	1.0954179019007892	1.1395586829889075	1.8543079814503072	1.9075145363914896	1.4121940233636123	2.1274130723006692	1.725168120942252	0.7081022915371271	0.3803177413558142	0.5379398849934581	0.6756433894353395	0.651294152771682	0.5648888871798787	0.5584924303336314	0.7332987382596267	0.4503000361283261	35.18296643786889
misc_RNA#sense	0.23	0.57	0.69	0.65	0.5	0.18	0.85	0.19	0.29	0.53	0.56	0.28	0.32	0.17	0.27	0.06	0.21	0.14	0.18	1.13	0.86	0.37	0.67	1.37	1.54	0.51	1.26	0.7	0.32	0.19	0.3	0.55	0.48	0.53	0.44	0.21	0.32	18.62
rRNA#sense	0.04	0.12	0.22	0.09	0.07	0.17	0.14	0.05	0.12	0.12	0.15	0.14	0.16	0.37	0.27	0.4	0.32	0.37	0.14	0.33	0.16	0.13	0.08	0.2	0.13	0.33	0.17	0.52	0.23	0.07	0.61	0.13	0.18	0.12	0.16	0.19	0.15	7.350000000000001
lincRNA#sense	0.01	0.2	0.16	0.13	0.06	0.37	0.32	0.02	0.23	0.05	0.09	0.05	0.08	0.17	0.12	0.12	0.07	0.18	0.39	0.17	0.07	0.15	0.03	0.1	0.05	0.08	0.06	0.15	0.15	0.03	0.2	0.19	0.09	0.09	0.08	0.41	0.07	4.99
miRNA#sense	0.04	0.06	0.08	0.06	0.06	0.06	0.07	0.06	0.1	0.08	0.11	0.06	0.09	0.1	0.06	1.76	0.08	0.09	0.07	0.09	0.07	0.09	0.09	0.11	0.1	0.08	0.08	0.08	0.09	0.07	0.12	0.12	0.11	0.09	0.11	0.1	0.06	4.749999999999999
snoRNA#sense	0.02	0.03	0.06	0.03	0.02	0.03	0.06	0.01	0.03	0.04	0.05	0.14	0.18	0.22	0.15	0.02	0.17	0.2	0.11	0.21	0.04	0.02	0.03	0.09	0.05	0.27	0.04	0.25	0.03	0.0	0.07	0.04	0.12	0.05	0.04	0.04	0.03	2.9899999999999993
protein_coding#sense	0.01	0.03	0.05	0.04	0.02	0.03	0.03	0.02	0.04	0.04	0.05	0.05	0.08	0.13	0.07	0.17	0.07	0.08	0.04	0.05	0.03	0.03	0.05	0.06	0.06	0.05	0.05	0.05	0.05	0.03	0.07	0.04	0.04	0.05	0.04	0.05	0.03	1.8800000000000008
