name	SRX1704767	SRX1704760	SRX1704761	SRX1704762	SRX1704763	SRX1704764	SRX1704765	SRX1704748	SRX1704749	SRX1704746	SRX1704747	SRX1704744	SRX1704745	SRX1704742	SRX1704743	SRX1704740	SRX1704741	SRX1704766	SRX1704775	SRX1704773	SRX1704772	SRX1704739	SRX1704774	SRX1704759	SRX1704758	SRX1704771	SRX1704770	SRX1704755	SRX1704754	SRX1704757	SRX1704756	SRX1704751	SRX1704750	SRX1704753	SRX1704752	SRX1704768	SRX1704769
hsa-miR-92b-3p	0	0	2	5	5	7	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3
hsa-miR-421	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-326	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-484	0	0	0	0	0	10	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-182-5p	23	2	16	37	15	15	5	0	0	0	0	0	0	0	0	0	0	8	11	0	13	0	0	0	0	64	21	0	0	0	0	0	0	0	0	2	35
hsa-miR-130a-3p	0	0	0	0	4	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-340-5p	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-140-3p	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	2	0	3
hsa-miR-183-5p	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	2	4
hsa-miR-130b-3p	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-363-3p	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-136-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-323b-3p	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-12136	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-141-3p	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-30a-5p	34	8	18	53	26	25	3	5	3	8	6	2	8	9	8	5	0	4	21	0	18	2	0	0	2	37	18	0	0	0	0	0	3	0	0	2	25
hsa-miR-410-3p	5	0	0	6	7	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	4
hsa-miR-93-5p	0	0	0	0	3	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-30b-5p	0	0	2	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-301a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-103a-3p	1	1	0	3	84	116	29	0	0	0	0	0	0	0	4	0	0	0	3	1	0	0	0	0	0	5	7	0	0	0	0	0	0	0	0	0	0
hsa-miR-138-5p	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-186-5p	0	0	0	0	4	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-30c-5p	2	0	2	7	6	3	0	0	2	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4
hsa-miR-143-3p	22	2	7	21	23	11	2	8	6	2	5	0	0	0	2	0	2	6	8	0	9	0	0	3	0	28	12	0	0	0	0	0	0	0	0	0	9
hsa-miR-139-5p	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-144-3p	0	0	0	0	10	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-30d-5p	4	0	2	6	20	37	4	0	0	0	0	0	2	2	0	0	0	0	10	0	2	0	0	0	0	2	5	0	0	0	0	0	3	0	0	0	7
hsa-miR-122-5p	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-151a-3p	4	0	3	0	8	37	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	8
hsa-miR-30e-5p	0	0	0	8	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	6	0	0	0	0	0	0	0	0	0	10
hsa-miR-32-5p	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-98-5p	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7a-5p	18	2	5	11	36	41	19	3	4	8	3	0	6	2	5	0	0	5	2	0	2	0	0	0	0	21	3	0	0	0	0	0	0	2	0	0	7
hsa-let-7b-5p	3	0	0	1	7	8	0	0	0	0	0	0	2	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-126-5p	21	0	0	8	18	134	20	2	3	0	0	0	0	0	4	0	0	2	10	0	2	2	0	0	0	4	7	0	0	0	0	0	0	0	0	2	3
hsa-miR-129-2-3p	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-199a-3p	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7c-5p	15	0	14	21	10	6	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	2	22	13	0	0	0	0	0	0	0	0	0	7
hsa-miR-197-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-132-3p	3	0	2	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	3	0	0	0	0	0	0	0	0	0	7
hsa-miR-199b-3p	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-181a-5p	110	15	47	148	125	157	67	11	3	0	2	0	7	2	3	6	9	16	42	0	48	6	0	3	10	179	104	0	0	6	0	0	0	2	2	7	115
hsa-let-7d-5p	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-451a	6	0	0	2	53	104	26	0	0	0	2	0	0	2	0	0	0	0	7	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	4
hsa-miR-99a-5p	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-181b-5p	2	0	0	6	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	12	8	0	0	0	0	0	0	0	0	0	5
hsa-let-7e-5p	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-99b-5p	6	0	4	8	9	6	0	0	2	0	0	0	2	0	0	0	0	0	4	0	2	0	0	0	0	10	8	0	0	0	0	0	0	0	0	2	9
hsa-miR-4732-3p	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-181c-5p	6	0	0	8	4	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4
hsa-miR-335-5p	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-21-5p	4	0	0	0	14	42	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7f-5p	27	5	14	32	68	104	53	3	0	5	0	5	3	2	2	0	0	5	13	2	7	0	0	0	2	35	17	0	0	0	0	2	0	0	0	2	20
hsa-miR-383-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7g-5p	9	0	0	8	5	3	0	0	0	0	0	0	0	0	0	0	0	3	3	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	5
hsa-miR-136-3p	3	0	0	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	3
hsa-miR-30a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-107	1	1	0	1	39	53	15	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
