name	SRX1704767	SRX1704760	SRX1704761	SRX1704762	SRX1704763	SRX1704764	SRX1704765	SRX1704748	SRX1704749	SRX1704746	SRX1704747	SRX1704744	SRX1704745	SRX1704742	SRX1704743	SRX1704740	SRX1704741	SRX1704766	SRX1704775	SRX1704773	SRX1704772	SRX1704739	SRX1704774	SRX1704759	SRX1704758	SRX1704771	SRX1704770	SRX1704755	SRX1704754	SRX1704757	SRX1704756	SRX1704751	SRX1704750	SRX1704753	SRX1704752	SRX1704768	SRX1704769
bacteria_collection	17.93	40.35	37.11	38.51	36.41	33.86	33.13	20.36	23.54	40.14	36.17	56.97	37.12	51.98	46.47	74.89	75.71	43.12	25.34	42.67	21.7	74.94	29.1	71.92	64.56	21.59	18.74	30.93	34.35	74.84	28.37	73.88	27.01	43.2	42.04	43.08	19.25	1531.2799999999997
unmapped	37.55152109911678	10.717905777621084	16.053638989008036	22.618679763860204	29.43403097209445	15.23382847617063	11.421103817165086	36.56199142324277	41.53151646881793	31.59678102498941	28.23173935890699	7.6388469208920045	18.141708053805164	8.136775994417306	17.65685113939035	3.249562558886304	3.423062264443911	28.64236247223311	15.23246141048156	16.0090474993717	40.08475262015416	3.407441806466593	19.761668321747766	3.6113103165659255	6.763469621704242	39.83093453746339	49.12220857324632	46.55355249204666	18.129770992366414	2.2443546906554066	48.98684678279417	10.454659005745691	39.79388898933285	4.736444971434731	2.1007910241062837	28.42453176643408	46.675874159731315	809.7659161569105
hsa	30.83	3.78	5.06	7.65	15.55	37.11	41.93	33.3	24.63	8.18	16.2	4.71	21.46	4.24	4.86	1.4	2.46	17.0	39.73	22.87	25.31	1.73	35.85	2.32	7.24	25.4	23.45	14.35	43.7	1.47	15.96	3.27	21.14	11.47	4.88	18.4	24.52	623.4100000000001
hsa-bacteria_collection	8.62	42.81	40.0	29.45	16.15	7.82	8.01	7.51	7.25	17.36	16.26	28.69	17.38	33.38	28.71	19.9	17.86	9.34	4.29	9.15	10.04	19.34	3.97	21.5	20.59	10.17	7.11	4.95	1.72	21.06	4.62	11.14	8.71	27.73	39.69	8.37	7.74	598.39
hsa_HR	3.2	0.61	0.2	0.38	0.74	2.18	1.37	0.15	0.45	1.16	1.69	0.4	0.42	0.86	0.73	0.05	0.09	0.97	13.13	5.65	0.11	0.08	7.35	0.09	0.12	0.12	0.11	0.0	0.38	0.06	0.0	0.65	0.31	0.04	0.03	1.21	0.1	45.190000000000005
bacteria_collection_HR	0.36	0.0	0.0	0.0	0.91	3.11	3.13	0.05	0.12	0.62	0.76	0.12	3.7	0.16	0.21	0.0	0.0	0.25	1.77	2.54	0.09	0.0	3.28	0.01	0.01	0.09	0.06	2.86	1.72	0.0	1.78	0.02	0.09	4.22	0.09	0.11	0.07	32.31
bacteria_collection_HR-hsa_HR	0.43	0.64	0.67	0.48	0.31	0.24	0.29	0.24	0.24	0.62	0.5	1.13	0.49	1.03	1.09	0.2	0.15	0.14	0.04	0.55	0.28	0.2	0.2	0.21	0.23	0.25	0.15	0.0	0.0	0.12	0.07	0.42	0.4	6.42	8.34	0.11	0.18	27.06
human_virus	0.39	0.89	0.7	0.54	0.24	0.18	0.32	1.22	1.7	0.12	0.03	0.19	0.98	0.17	0.12	0.06	0.06	0.08	0.27	0.33	0.36	0.03	0.2	0.08	0.14	0.33	0.33	0.0	0.0	0.06	0.07	0.0	2.07	1.85	2.47	0.0	0.33	16.909999999999997
human_virus-bacteria_collection	0.4	0.07	0.06	0.09	0.05	0.07	0.17	0.13	0.12	0.04	0.11	0.06	0.09	0.01	0.04	0.17	0.11	0.08	0.0	0.05	0.39	0.13	0.0	0.11	0.1	0.39	0.15	0.0	0.0	0.04	0.0	0.07	0.11	0.09	0.11	0.0	0.18	3.79
human_virus-hsa	0.14	0.0	0.02	0.05	0.05	0.11	0.13	0.2	0.16	0.0	0.03	0.0	0.1	0.02	0.02	0.03	0.04	0.0	0.08	0.05	0.59	0.04	0.0	0.04	0.11	0.62	0.23	0.07	0.0	0.02	0.0	0.04	0.15	0.05	0.04	0.07	0.26	3.5599999999999996
	sumhuman_virus-hsa-bacteria_collection	0.15	0.13	0.13	0.23	0.14	0.09	0.09	0.27	0.26	0.16	0.03	0.09	0.12	0.0	0.09	0.06	0.09	0.38	0.13	0.13	1.05	0.09	0.3	0.12	0.15	1.2	0.55	0.28	0.0	0.09	0.14	0.04	0.22	0.17	0.21	0.22	0.69	8.29
