name	SRX1704767	SRX1704760	SRX1704761	SRX1704762	SRX1704763	SRX1704764	SRX1704765	SRX1704748	SRX1704749	SRX1704746	SRX1704747	SRX1704744	SRX1704745	SRX1704742	SRX1704743	SRX1704740	SRX1704741	SRX1704766	SRX1704775	SRX1704773	SRX1704772	SRX1704739	SRX1704774	SRX1704759	SRX1704758	SRX1704771	SRX1704770	SRX1704755	SRX1704754	SRX1704757	SRX1704756	SRX1704751	SRX1704750	SRX1704753	SRX1704752	SRX1704768	SRX1704769
tRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.06	0.08	0.0	0.01	0.04	0.01	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.04	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03
processed_transcript#sense	0.26	0.11	0.08	0.22	0.16	0.27	0.43	0.57	0.84	0.16	0.19	0.18	0.4	0.2	0.18	0.05	0.06	0.27	0.42	0.07	0.19	0.06	0.0	0.09	0.14	0.19	0.17	0.04	0.0	0.09	0.03	0.07	0.79	0.14	0.13	0.09	0.17
processed_pseudogene#antisense	0.1	0.03	0.01	0.01	0.02	0.03	0.06	0.03	0.01	0.0	0.0	0.01	0.01	0.0	0.04	0.0	0.0	0.0	0.14	0.07	0.03	0.0	0.0	0.0	0.06	0.03	0.04	0.0	0.0	0.0	0.0	0.0	0.02	0.01	0.0	0.0	0.04
Y_RNA #sense	0.29	0.07	0.04	0.04	5.63	11.82	8.55	0.06	0.04	0.87	1.72	0.93	0.34	0.07	0.11	0.0	0.02	0.41	3.07	4.61	0.0	0.06	3.72	0.3	1.1	0.0	0.0	0.0	0.0	0.05	0.0	0.49	0.0	0.12	0.03	0.1	0.0
TR_C_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
retained_intron#sense	0.51	0.12	0.1	0.13	0.42	0.73	1.2	0.65	0.78	0.25	0.23	0.1	0.57	0.11	0.15	0.09	0.09	0.18	0.35	0.22	0.31	0.11	0.0	0.13	0.22	0.31	0.23	0.58	0.0	0.12	0.51	0.08	0.84	0.28	0.15	0.16	0.24
antisense_RNA#sense	2.15	0.18	0.18	0.4	0.79	1.73	3.14	3.64	4.75	0.67	0.6	0.13	2.34	0.27	0.24	0.07	0.07	0.9	3.12	1.84	4.23	0.08	3.15	0.1	0.69	4.04	2.89	0.0	0.0	0.08	0.0	0.14	4.7	1.27	1.18	0.85	3.03
Mt_tRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hairpin#antisense	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sense_overlapping#sense	0.04	0.0	0.0	0.01	0.03	0.08	0.19	0.02	0.01	0.14	0.16	0.0	0.09	0.0	0.0	0.0	0.0	0.04	0.03	0.03	0.14	0.0	0.0	0.0	0.02	0.12	0.13	0.0	0.0	0.0	0.0	0.0	0.02	0.09	0.01	0.0	0.14
lncRNA#antisense	2.56	74.17	61.7	51.9	32.98	8.9	4.44	2.66	2.98	40.26	26.86	77.41	16.94	71.79	67.12	85.86	83.52	2.35	3.07	19.1	5.01	85.74	5.58	83.14	71.82	4.84	5.24	0.91	0.48	81.71	1.23	77.5	3.54	39.59	48.12	1.15	5.46
piRNA#antisense	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcribed_unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
processed_transcript#antisense	0.06	0.04	0.04	0.06	0.06	0.06	0.1	0.13	0.15	0.01	0.02	0.07	0.13	0.0	0.03	0.16	0.13	0.04	0.07	0.0	0.17	0.14	0.0	0.12	0.12	0.18	0.23	0.0	0.0	0.04	0.0	0.09	0.28	0.15	0.16	0.0	0.21
asRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
unprocessed_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.01	0.03	0.01	0.01	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.16	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.05
protein_coding#antisense	2.25	0.9	1.84	2.18	2.08	1.49	1.43	1.55	1.91	1.34	1.26	0.78	1.76	0.45	0.83	0.36	0.38	4.58	1.8	2.05	2.35	0.36	2.84	0.36	0.62	2.37	2.9	4.89	2.15	0.34	4.92	0.22	2.57	0.79	0.98	5.58	2.63
