name	SRX1704767	SRX1704760	SRX1704761	SRX1704762	SRX1704763	SRX1704764	SRX1704765	SRX1704748	SRX1704749	SRX1704746	SRX1704747	SRX1704744	SRX1704745	SRX1704742	SRX1704743	SRX1704740	SRX1704741	SRX1704766	SRX1704775	SRX1704773	SRX1704772	SRX1704739	SRX1704774	SRX1704759	SRX1704758	SRX1704771	SRX1704770	SRX1704755	SRX1704754	SRX1704757	SRX1704756	SRX1704751	SRX1704750	SRX1704753	SRX1704752	SRX1704768	SRX1704769
hsa-miR-486-5p	664227.6422764228	418918.91891891893	588059.7014925373	491610.7382550335	451061.1992581908	445883.134130146	582799.3254637436	607427.0557029177	611888.1118881119	682389.9371069183	778409.0909090909	500000.0	612820.5128205129	689320.3883495146	609625.6684491979	723880.5970149254	941095.890410959	615384.6153846154	525387.8702397743	789610.3896103896	446866.485013624	788359.7883597882	931818.1818181819	762820.5128205128	581947.7434679335	438217.4206617151	374176.54808959155	942598.1873111782	920000.0	661971.8309859155	931216.9312169312	938053.0973451328	734265.7342657342	927801.7241379311	928955.8665231431	701492.5373134328	460243.21796071087	2.480060659497338E7
hsa-miR-92a-3p	7317.073170731707	33783.78378378379	22388.059701492537	20693.51230425056	84483.82443849166	141544.93138556884	31871.838111298483	100795.75596816976	111888.11188811189	66037.73584905661	79545.45454545454	104395.60439560439	102564.10256410256	38834.95145631068	77540.10695187165	82089.55223880596	12328.767123287671	6688.963210702341	42313.11706629055	96103.89610389611	13623.978201634878	52910.05291005291	34090.90909090909	25641.02564102564	49881.2351543943	10803.511141120865	15810.276679841896	33232.62839879154	65000.0	0.0	60846.560846560846	0.0	76923.07692307692	53879.31034482759	62970.93649085038	0.0	14031.80542563143	1832854.4495060008
hsa-miR-423-5p	13821.138211382115	27027.027027027027	2985.0746268656717	3914.988814317673	153719.3488563775	124280.65515714917	222259.69645868463	18567.639257294428	13986.013986013986	9433.962264150943	14204.545454545454	269230.76923076925	23076.923076923078	58252.42718446602	18716.57754010695	0.0	4109.589041095891	23411.371237458192	39492.242595204516	31168.83116883117	0.0	21164.021164021164	22727.272727272728	76923.07692307692	187648.45605700713	0.0	0.0	0.0	0.0	126760.56338028169	0.0	0.0	0.0	3771.551724137931	0.0	14925.373134328358	0.0	1525579.1362987896
hsa-miR-181a-5p	44715.44715447155	101351.35135135136	70149.25373134328	82774.04921700223	25757.26354832063	17374.944665781317	11298.48229342327	29177.718832891245	10489.510489510489	0.0	5681.818181818182	0.0	17948.71794871795	9708.73786407767	8021.390374331551	44776.119402985074	12328.767123287671	53511.70568561873	29619.181946403387	0.0	130790.19073569484	31746.031746031746	0.0	19230.76923076923	23752.969121140144	120864.28089128967	137022.3978919631	0.0	0.0	84507.04225352113	0.0	0.0	0.0	1077.5862068965516	1076.4262648008612	52238.80597014925	107577.17492984097	1284568.135053433
hsa-miR-127-3p	32520.325203252032	101351.35135135136	70149.25373134328	67114.09395973154	16072.532454152071	4316.069057104914	2529.510961214165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29850.746268656716	12328.767123287671	43478.260869565216	20451.339915373766	5194.805194805195	59945.50408719346	31746.031746031746	0.0	19230.76923076923	40380.047505938244	70898.04186360567	77733.860342556	0.0	15000.0	98591.54929577465	0.0	0.0	0.0	0.0	0.0	59701.49253731343	68288.11973807296	946872.4724370934
hsa-miR-26a-5p	6504.065040650406	27027.027027027027	23880.597014925374	20134.228187919463	8860.498660622296	8410.801239486498	4384.485666104553	50397.87798408488	45454.545454545456	40880.50314465409	22727.272727272728	32967.03296703297	43589.74358974359	33980.58252427185	53475.93582887701	0.0	5479.452054794521	10033.444816053512	6346.967559943582	0.0	16348.773841961854	10582.010582010582	0.0	12820.51282051282	21377.67220902613	26333.55840648211	27667.98418972332	0.0	0.0	0.0	0.0	0.0	48951.04895104895	0.0	0.0	29850.746268656716	29934.51824134705	668401.8869987793
hsa-miR-191-5p	16666.666666666668	20270.27027027027	16417.910447761195	5033.557046979866	4533.2783845044305	14054.891544931384	9612.141652613827	31830.238726790452	27972.027972027972	34591.194968553464	28409.090909090908	10989.010989010989	51282.05128205128	29126.21359223301	42780.74866310161	14925.373134328358	6849.315068493151	13377.926421404682	47249.64739069111	18181.818181818184	24523.16076294278	31746.031746031746	0.0	32051.28205128205	14251.781472684086	14854.82781904119	17127.799736495388	9063.444108761329	0.0	0.0	7936.507936507936	0.0	0.0	6465.517241379311	2691.0656620021527	37313.432835820895	13096.351730589335	655274.5764168611
hsa-miR-30a-5p	13821.138211382115	54054.05405405405	26865.671641791043	29642.058165548096	5357.51081805069	2766.710934041611	505.902192242833	13262.59946949602	10489.510489510489	25157.23270440252	17045.454545454544	10989.010989010989	20512.82051282051	43689.320388349515	21390.374331550804	37313.432835820895	0.0	13377.926421404682	14809.590973201693	0.0	49046.32152588556	10582.010582010582	0.0	0.0	4750.593824228029	24983.119513842	23715.415019762844	0.0	0.0	0.0	0.0	0.0	20979.020979020977	0.0	0.0	14925.373134328358	23386.342376052384	533418.5166332638
hsa-miR-10b-5p	43495.93495934959	40540.54054054054	0.0	1677.8523489932886	17927.055429631157	30101.81496237273	15345.699831365935	7957.559681697613	0.0	6289.30817610063	0.0	0.0	12820.51282051282	0.0	10695.187165775402	0.0	0.0	26755.852842809363	122002.82087447109	25974.025974025975	8174.386920980927	10582.010582010582	0.0	0.0	11876.484560570072	6076.975016880487	35573.122529644264	0.0	0.0	0.0	0.0	26548.672566371682	0.0	0.0	0.0	0.0	1870.9073900841906	462286.7251741883
hsa-miR-22-3p	9349.59349593496	27027.027027027027	17910.44776119403	13982.102908277404	54811.4568308263	43271.3590084108	40472.17537942664	5305.039787798409	0.0	6289.30817610063	0.0	10989.010989010989	7692.307692307692	0.0	0.0	14925.373134328358	0.0	6688.963210702341	15514.809590973202	7792.207792207792	35422.34332425069	0.0	0.0	0.0	21377.67220902613	18906.144496961515	21080.368906455864	0.0	0.0	0.0	0.0	0.0	13986.013986013986	0.0	0.0	0.0	19644.527595884003	412438.25330311875
