name	SRX1733814	SRX1733815	SRX1733816	SRX1733810	SRX1733811	SRX1733812	SRX1733813	SRX1733809	SRX1733808
hsa-miR-485-5p	0	0	0	0	0	2	0	0	9
hsa-let-7b-5p	7	33	86	4	7	5	48	0	80
hsa-miR-136-3p	0	0	0	0	0	0	0	0	2
hsa-miR-193b-3p	0	0	0	0	3	0	0	0	0
hsa-miR-154-3p	0	3	0	0	0	0	0	0	0
hsa-miR-323a-3p	0	0	14	0	2	0	0	0	10
hsa-miR-532-5p	0	0	4	0	0	0	2	0	0
hsa-miR-339-5p	0	0	10	0	9	0	0	0	0
hsa-miR-6861-5p	0	0	0	0	5	0	0	0	0
hsa-miR-502-3p	0	0	0	0	0	0	0	0	1
hsa-miR-363-3p	3	0	0	0	0	0	0	0	2
hsa-miR-381-3p	0	0	11	0	2	0	0	0	25
hsa-miR-1249-3p	0	0	0	0	0	0	0	0	4
hsa-miR-584-5p	0	0	0	0	2	0	2	0	9
hsa-miR-1253	0	0	2	0	0	0	0	0	0
hsa-miR-590-3p	0	0	0	0	0	0	0	0	11
hsa-miR-32-5p	0	0	0	0	0	0	0	0	10
hsa-miR-330-5p	0	0	0	0	0	0	3	0	18
hsa-miR-629-5p	0	0	0	0	2	0	0	0	28
hsa-miR-191-5p	4	7	6	4	20	2	0	0	38
hsa-miR-374b-5p	0	13	0	0	0	0	0	5	1
hsa-miR-143-3p	48	33	124	5	31	2	13	4	125
hsa-miR-130a-3p	0	0	0	0	0	0	0	0	2
hsa-let-7g-5p	7	28	26	12	3	3	14	2	128
hsa-miR-148a-3p	10	0	3	6	0	0	0	0	29
hsa-miR-2110	0	0	0	0	17	0	0	0	6
hsa-miR-370-3p	0	39	0	0	0	0	5	0	19
hsa-miR-181a-3p	0	0	2	0	2	0	0	0	0
hsa-miR-199a-3p	0	0	0	10	0	0	2	0	0
hsa-miR-411-5p	0	0	6	0	7	0	0	0	0
hsa-miR-218-5p	0	32	44	0	3	0	0	10	28
hsa-miR-595	0	0	0	0	2	0	0	0	0
hsa-miR-1248	0	0	8	0	0	0	0	0	0
hsa-miR-29b-3p	2	2	3	7	2	0	0	0	11
hsa-miR-3065-3p	0	0	0	0	0	4	0	0	0
hsa-miR-21-5p	2	63	45	0	18	0	2	3	49
hsa-miR-663a	0	0	0	0	3	0	0	0	0
hsa-miR-126-5p	0	5	14	9	0	3	0	0	2
hsa-miR-4755-3p	0	14	0	0	0	0	0	0	0
hsa-miR-433-3p	0	2	0	0	0	2	5	0	0
hsa-miR-132-3p	0	0	0	0	0	0	0	0	4
hsa-miR-497-5p	3	0	0	0	0	0	0	0	0
hsv2-miR-H10	25	274	26	87	5	12	4	18	140
hsa-miR-25-3p	0	0	0	0	0	0	0	0	12
hsa-miR-181b-5p	0	40	15	0	17	0	9	0	37
hsa-miR-9-5p	77	231	195	99	202	24	32	30	420
hsa-miR-151a-5p	0	11	0	0	0	0	0	0	0
hsa-miR-29c-5p	0	2	0	0	0	0	0	0	0
hsa-miR-429	0	0	0	0	0	0	2	0	0
hsa-miR-532-3p	0	0	0	0	0	0	0	0	2
hsa-miR-339-3p	0	0	4	0	0	0	0	0	0
hsa-miR-95-3p	5	0	4	0	0	0	0	0	10
hsa-miR-30d-5p	10	2	35	2	41	0	13	0	78
hsa-miR-375-3p	0	39	0	2	0	0	0	0	0
hsa-miR-452-5p	0	0	0	0	0	0	0	0	2
hsa-miR-7704	0	22	0	0	0	3	0	0	10
hsa-miR-3912-3p	12	0	0	0	0	0	0	0	0
hsa-miR-769-5p	0	0	5	3	5	0	0	2	7
hsa-miR-324-5p	0	0	0	0	12	0	0	0	0
hsa-miR-486-5p	18	5	11	0	14	7	7	0	88
hsa-miR-149-5p	0	0	0	0	2	0	2	2	4
hsa-miR-3928-3p	0	0	0	0	0	0	0	0	2
hsa-miR-3675-5p	0	0	0	0	0	0	0	0	7
hsa-miR-185-5p	22	0	11	15	7	0	4	0	86
hsa-miR-1228-5p	0	10	0	0	2	0	0	0	18
hsa-let-7c-5p	0	10	7	0	0	0	6	0	9
hsa-miR-184	0	0	0	9	0	0	0	0	4
hsa-miR-330-3p	12	0	0	0	0	0	0	0	7
hsa-miR-137-3p	0	2	0	0	0	0	0	0	7
hsa-miR-3200-3p	0	0	0	0	2	0	0	0	2
hsa-miR-328-3p	0	0	4	3	13	0	9	0	11
hsa-miR-133a-3p	0	0	6	0	0	0	0	0	0
hsa-miR-423-5p	4	19	30	41	27	4	0	4	1836
hsa-miR-874-3p	0	2	12	0	2	0	2	0	10
hsa-miR-125a-5p	2	10	62	0	38	0	11	0	30
hsa-miR-577	0	0	0	0	2	0	0	0	0
hsa-miR-122-5p	110	15	205	6	107	0	2	3	137
hsa-miR-140-5p	0	0	6	0	9	0	0	0	20
hsa-miR-20a-5p	2	0	0	0	0	0	0	0	17
hsa-miR-500a-3p	0	0	0	0	0	0	0	0	1
hsa-miR-138-5p	0	0	0	0	19	0	0	0	6
hsa-miR-192-5p	0	0	0	0	0	0	0	0	4
hsa-miR-126-3p	9	30	42	4	35	13	2	2	102
hsa-miR-144-3p	0	0	0	0	0	0	0	0	9
hsa-miR-504-5p	0	0	0	0	0	0	0	0	10
hsa-miR-376a-5p	0	0	13	0	0	0	0	0	0
hsa-miR-3158-3p	0	0	0	0	5	0	0	0	0
hsa-miR-148b-3p	0	0	0	0	0	0	0	0	4
hsa-miR-335-3p	0	0	0	3	0	0	0	11	0
hsa-miR-199b-3p	0	0	0	5	0	0	1	0	0
hsa-miR-4535	0	0	5	0	0	0	0	0	0
hsa-miR-9-3p	0	2	17	0	4	0	2	0	11
hsa-miR-10396a-5p	0	10	0	0	0	2	0	0	1
hsa-miR-151a-3p	0	3	2	0	9	0	0	0	27
hsa-miR-29c-3p	0	0	0	0	3	0	0	0	2
hsa-miR-200a-3p	2	0	0	0	2	0	0	0	0
hsa-miR-369-3p	0	0	12	0	0	0	10	0	0
hsa-miR-4497	0	26	0	15	3	0	0	0	35
hsa-miR-127-5p	0	0	0	0	0	0	0	0	4
hsa-miR-145-5p	0	0	32	0	0	0	0	0	2
hsa-miR-4492	0	10	0	2	0	0	0	0	8
hsa-miR-4676-5p	0	8	0	0	0	0	0	0	5
hsa-miR-625-3p	0	6	0	0	0	0	2	0	2
hsa-miR-451a	58	46	91	53	75	7	17	22	388
hsa-miR-324-3p	0	0	0	0	0	0	3	0	0
hsa-miR-486-3p	0	9	0	11	3	0	6	0	6
hsa-miR-342-3p	19	0	6	0	2	5	0	0	4
hsa-miR-185-3p	0	0	0	3	0	0	0	0	0
hsa-miR-6856-5p	0	0	2	0	0	0	0	0	0
hsa-miR-100-5p	40	57	82	14	65	21	22	38	279
hsa-miR-30e-5p	1	4	12	3	0	0	0	4	24
hsa-miR-450a-5p	0	0	2	0	0	0	0	0	0
hsa-miR-134-5p	0	3	3	2	9	0	0	0	90
hsa-miR-423-3p	3	20	12	8	92	0	10	0	70
hsa-miR-4488	0	116	0	12	11	8	0	0	23
hsa-miR-23a-5p	0	0	0	0	0	0	0	0	13
hsa-miR-4484	0	0	0	2	0	0	0	0	0
hsa-miR-140-3p	0	0	23	2	11	0	0	0	18
hsa-miR-4665-5p	0	0	0	0	0	0	0	0	2
hsa-miR-361-5p	0	3	2	2	2	0	0	0	0
hsa-miR-186-5p	28	0	23	0	8	0	0	0	8
hsa-let-7d-5p	0	0	8	3	1	0	0	0	11
hsa-miR-29b-2-5p	0	0	0	0	3	0	0	0	0
hsa-miR-329-3p	0	37	2	0	0	0	0	0	33
hsa-miR-27a-3p	3	6	24	15	28	2	2	0	29
hsa-miR-221-3p	0	13	5	0	3	0	0	0	5
hsa-miR-944	0	0	2	0	0	0	0	0	0
hsa-miR-125b-5p	38	132	79	15	63	2	26	10	246
hsa-miR-3613-5p	0	0	0	0	0	0	0	0	2
hsa-miR-4515	0	0	0	0	0	0	0	0	2
hsa-miR-574-3p	0	0	0	5	8	0	0	0	0
hsa-miR-203a-3p	0	0	3	0	13	0	0	9	7
hsa-miR-941	0	0	8	0	6	0	0	0	0
hsa-miR-122b-3p	0	0	5	4	0	0	0	4	0
hsa-miR-20b-5p	2	0	0	0	0	0	0	0	0
hsa-miR-519d-5p	0	0	3	2	0	0	0	1	1
hsa-miR-16-5p	3	0	11	0	0	0	0	0	26
hsa-miR-146a-5p	0	0	8	0	8	2	3	0	15
hsa-miR-139-5p	5	29	4	0	66	0	4	0	88
hsa-miR-22-3p	34	133	296	116	379	0	18	10	526
hsa-miR-551b-3p	0	0	0	0	4	0	0	0	14
hsa-miR-127-3p	2	0	21	17	2	4	2	2	34
hsa-miR-543	0	13	0	0	0	0	0	0	9
hsa-miR-135a-5p	0	6	0	0	0	0	0	0	2
hsa-miR-204-5p	0	2	4	0	2	0	2	11	4
hsa-let-7i-5p	6	3	10	13	24	0	11	0	29
hsa-miR-16-2-3p	0	0	0	0	0	0	0	0	5
hsa-miR-30a-5p	18	19	10	0	25	0	0	2	39
hsa-miR-210-3p	0	0	0	6	0	0	0	0	2
hsa-miR-197-3p	0	0	16	0	4	0	7	0	9
hsa-miR-6724-5p	0	4	0	0	0	0	0	0	0
hsa-miR-10396b-5p	0	19	0	0	0	5	0	0	3
hsa-miR-99a-5p	52	126	123	8	73	2	19	12	291
hsa-miR-200b-3p	0	3	6	15	0	0	0	0	0
hsa-miR-106a-5p	0	0	0	0	0	0	0	0	2
hsa-miR-378g	0	0	0	0	0	0	0	0	9
hsa-miR-378e	0	0	0	0	0	0	0	0	22
hsa-miR-4508	14	511	25	179	11	7	0	2	854
hsa-miR-103a-3p	0	15	38	9	8	0	0	0	73
hsa-miR-378d	0	2	6	9	10	0	0	0	104
hsa-miR-378c	7	16	10	46	37	0	0	7	462
hsa-miR-378b	0	0	0	0	0	0	0	0	6
hsa-miR-483-5p	3	13	110	34	450	7	6	24	70
hsa-miR-939-5p	0	2	0	0	0	0	0	0	0
hsa-miR-182-5p	0	0	5	0	0	0	0	0	0
hsa-miR-6511b-3p	0	0	0	0	0	0	2	0	0
hsa-miR-296-3p	0	0	3	0	6	0	0	0	0
hsa-miR-4306	0	0	0	0	7	0	0	0	0
hsa-miR-152-3p	0	0	8	0	3	0	0	0	3
hsa-miR-26a-5p	64	412	162	45	206	27	25	31	414
hsa-miR-487b-3p	13	13	8	0	0	0	0	0	54
hsa-miR-4466	0	8	2	0	0	0	0	0	0
hsa-miR-93-5p	4	11	2	0	0	0	0	0	2
hsa-miR-23a-3p	0	0	3	0	0	0	0	0	0
hsa-miR-1-3p	0	0	0	0	2	0	0	0	0
hsa-miR-1908-5p	0	9	0	0	0	2	0	0	18
hsa-miR-361-3p	0	0	2	0	0	0	0	0	15
hsa-let-7d-3p	0	13	6	0	0	0	4	0	18
hsa-miR-7975	0	0	0	6	0	0	0	0	0
hsa-miR-1306-5p	0	0	2	0	0	0	0	0	0
hsa-miR-377-3p	0	0	0	3	0	0	0	0	2
hsa-miR-450b-5p	0	16	0	0	0	0	0	0	0
hsa-miR-492	0	0	0	0	2	0	0	0	0
hsa-miR-219a-2-3p	0	53	16	0	28	8	0	4	28
hsa-miR-887-3p	0	0	0	0	4	0	0	0	0
hsa-miR-193a-5p	0	0	0	0	13	0	0	0	46
hsa-miR-141-3p	0	0	0	9	0	0	0	0	0
hsa-let-7e-5p	0	16	2	21	0	0	0	0	6
hsa-miR-494-3p	0	0	0	0	5	0	0	0	0
hsa-miR-139-3p	0	0	11	0	8	0	0	0	0
hsa-miR-98-5p	0	0	6	0	0	0	0	0	4
hsa-miR-505-3p	0	0	0	0	3	0	0	0	0
hsa-miR-27b-3p	24	80	138	4	45	9	22	0	189
hsa-miR-708-5p	0	0	0	0	0	0	2	0	2
hsa-miR-92a-3p	11	3	14	20	38	0	2	0	126
hsa-miR-204-3p	0	0	0	0	9	0	0	0	9
hsa-miR-10395-3p	0	11	0	0	0	0	0	0	2
hsa-miR-222-3p	0	0	7	4	0	0	2	0	4
hsa-miR-744-5p	0	29	12	12	0	0	9	3	0
hsa-miR-33a-5p	9	0	0	0	0	0	0	0	0
hsa-miR-326	0	0	0	0	0	3	0	0	2
hsa-miR-425-5p	0	0	5	0	0	0	0	0	4
hsa-miR-539-3p	0	0	0	0	0	0	0	0	2
hsa-miR-142-5p	0	0	2	0	2	0	0	2	0
hsa-miR-484	0	0	12	0	0	0	0	0	2
hsa-miR-1180-3p	3	2	0	9	0	0	13	0	2
hsa-miR-17-5p	0	4	0	0	0	0	0	0	2
hsa-miR-146b-5p	0	0	20	3	0	0	0	0	0
hsa-miR-151b	0	2	0	0	0	0	0	0	0
hsa-miR-520f-5p	0	0	3	4	0	0	0	1	1
hsa-miR-128-3p	122	308	170	65	152	35	33	36	306
hsa-miR-7-5p	95	100	73	31	44	7	17	2	42
hsa-miR-125b-1-3p	0	0	0	0	8	0	0	0	0
hsa-miR-656-3p	4	5	0	0	4	0	0	0	0
hsa-miR-877-5p	0	0	0	0	0	0	0	2	0
hsa-miR-30b-5p	0	2	21	0	0	0	2	0	7
hsa-miR-320e	0	0	0	2	0	0	0	0	13
hsa-miR-320d	0	1	8	5	21	0	0	0	92
hsa-miR-4443	0	0	2	0	0	0	0	0	0
hsa-miR-320c	0	9	63	41	85	0	0	4	300
hsa-miR-432-5p	0	0	0	0	0	0	3	0	3
hsa-miR-3615	0	0	0	0	4	0	0	0	0
hsa-miR-320b	0	33	123	93	133	0	1	9	1020
hsa-miR-99b-5p	0	4	33	0	11	0	4	2	37
hsa-miR-106b-5p	0	2	0	0	0	0	0	0	0
hsa-miR-101-3p	11	22	29	11	3	0	2	0	82
hsa-miR-129-5p	0	37	12	0	0	7	0	2	4
hsa-miR-4433b-5p	0	0	0	0	0	0	0	0	2
hsa-miR-340-5p	3	9	0	0	4	2	2	11	43
hsa-miR-598-3p	5	0	0	0	0	0	0	0	0
hsa-miR-454-3p	0	0	0	0	5	0	0	0	0
hsa-miR-183-5p	4	6	0	2	0	0	0	0	0
hsa-let-7a-5p	59	23	89	7	56	9	20	21	128
hsa-miR-153-3p	0	0	20	0	0	0	0	0	2
hsa-miR-26b-5p	0	0	43	0	3	0	0	0	21
hsa-miR-1911-5p	2	0	0	0	0	0	0	0	0
hsa-miR-338-5p	0	0	3	0	3	4	0	0	9
hsa-miR-28-3p	0	0	0	0	0	0	0	2	0
hsa-miR-23b-3p	0	6	5	0	5	0	4	0	9
hsa-miR-3178	9	35	4	19	3	0	0	10	44
hsa-miR-1296-5p	0	0	0	0	0	0	2	0	0
hsa-miR-6858-5p	0	11	0	0	0	0	0	0	0
hsa-miR-1307-5p	0	3	0	0	2	0	0	0	6
hsa-miR-5100	0	0	0	0	2	0	0	0	0
hsa-miR-34c-5p	0	0	0	0	2	0	0	0	9
hsa-miR-31-5p	0	0	0	0	0	0	0	0	2
hsa-miR-193b-5p	0	0	0	0	3	0	0	0	0
hsa-miR-425-3p	0	0	6	0	0	0	0	0	0
hsa-miR-19b-3p	0	0	0	0	0	0	0	0	4
hsa-miR-320a-3p	73	1561	1434	2940	3073	28	38	156	29613
hsa-miR-124-3p	2	21	7	12	35	0	7	3	64
hsa-miR-142-3p	0	0	0	0	0	0	0	0	2
hsa-miR-374a-5p	0	0	0	0	0	0	0	0	14
hsa-miR-107	0	5	0	1	0	0	0	0	12
hsa-miR-345-5p	2	0	0	0	0	0	0	0	2
hsa-miR-3156-3p	0	0	0	2	0	0	0	0	0
hsa-let-7f-5p	27	31	59	12	3	0	0	6	71
hsa-miR-495-3p	0	0	3	0	0	0	0	4	19
hsa-miR-379-5p	0	0	8	0	2	0	0	0	2
hsa-miR-219a-5p	2	44	0	0	9	0	0	2	13
hsa-miR-3168	62	48	40	31	4	2	10	72	23
hsa-miR-378a-3p	10	63	80	222	435	0	0	22	3447
hsa-miR-29a-3p	31	49	38	0	70	2	4	18	76
hsa-miR-499a-5p	0	5	0	0	0	0	0	0	0
hsa-miR-92b-3p	0	28	3	0	0	3	6	0	8
hsa-miR-12136	0	0	0	0	0	0	0	0	2
hsa-miR-223-3p	0	0	0	0	0	0	0	0	5
hsa-miR-4429	0	0	0	2	0	0	0	0	8
hsa-miR-516b-5p	0	0	0	0	0	0	0	0	5
hsa-miR-129-2-3p	0	0	0	0	0	0	0	0	5
hsa-miR-658	0	16	9	3	0	0	0	0	11
hsa-miR-143-5p	0	0	6	0	0	0	0	0	0
hsa-miR-1469	0	0	0	12	6	0	0	0	0
hsa-miR-671-5p	2	9	5	4	0	2	0	3	39
hsa-miR-767-3p	0	0	0	0	0	0	0	0	4
hsa-miR-3667-5p	0	0	0	0	0	0	0	0	6
hsa-miR-24-3p	0	31	34	0	21	4	3	2	51
hsa-miR-195-5p	0	0	5	0	0	0	0	0	0
hsa-miR-181a-5p	60	99	95	4	21	18	27	4	122
hsa-miR-199a-5p	0	0	0	0	2	0	0	0	0
hsa-miR-4433b-3p	0	0	0	0	5	3	0	0	11
hsa-miR-125b-2-3p	0	0	0	2	0	0	0	0	0
hsa-let-7a-3p	0	0	2	0	0	0	0	0	2
hsa-miR-338-3p	0	2	4	0	8	0	7	0	25
hsa-miR-30c-5p	24	31	36	0	7	0	2	0	39
hsa-miR-132-5p	0	2	5	0	0	0	0	0	0
hsa-miR-1307-3p	0	0	11	5	21	0	0	0	32
