name	SRX1733814	SRX1733815	SRX1733816	SRX1733810	SRX1733811	SRX1733812	SRX1733813	SRX1733809	SRX1733808
hsa	40.74	55.41	36.92	52.14	39.12	64.0	48.13	38.12	54.77	429.34999999999997
bacteria_collection	21.22	12.26	22.73	15.75	22.17	9.73	18.49	22.5	14.63	159.48
hsa-bacteria_collection	10.85	17.47	20.71	15.8	19.46	6.99	7.69	19.84	14.2	133.01
unmapped	20.49206004963975	5.6612291936461165	14.402136733952402	8.007913832033848	13.261671254574825	5.8669364108694655	17.539220870791468	12.27638497780937	8.698493321396276	106.20604664471352
hsa_HR	3.79	5.03	0.83	5.03	1.42	11.53	5.44	2.15	4.76	39.98
human_virus	0.85	1.65	0.8	0.77	0.92	0.71	1.04	1.13	0.76	8.63
bacteria_collection_HR-hsa_HR	0.74	0.56	1.17	0.85	1.11	0.16	0.41	1.28	0.69	6.970000000000001
bacteria_collection_HR	0.57	0.28	1.25	0.61	1.38	0.24	0.37	1.21	0.64	6.55
human_virus-bacteria_collection	0.34	1.01	0.5	0.49	0.47	0.53	0.56	0.59	0.37	4.86
human_virus-hsa	0.17	0.35	0.29	0.25	0.3	0.08	0.12	0.37	0.21	2.14
	sumhuman_virus-hsa-bacteria_collection	0.24	0.31	0.4	0.3	0.39	0.15	0.19	0.52	0.27	2.77
bacteria_collection_HR-hsa_HR-human_virus_HR	0.01	0.01	0.0	0.01	0.0	0.0	0.01	0.01	0.01	0.060000000000000005
