name	SRX1733814	SRX1733815	SRX1733816	SRX1733810	SRX1733811	SRX1733812	SRX1733813	SRX1733809	SRX1733808
tRNA#antisense	0.03	0.01	0.02	0.02	0.03	0.01	0.01	0.08	0.01
IG_C_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
processed_transcript#sense	0.91	1.02	0.81	0.88	0.96	0.63	0.68	1.02	0.7
processed_pseudogene#antisense	0.19	0.15	0.26	0.15	0.27	0.12	0.4	0.21	0.2
rnase#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0
Y_RNA #sense	0.26	0.03	0.25	0.02	0.03	0.06	0.77	0.04	0.32
retained_intron#sense	1.04	2.32	1.06	1.44	1.15	1.68	1.04	1.26	1.25
antisense_RNA#sense	7.33	6.45	8.85	7.2	8.52	4.18	5.53	10.5	6.47
Mt_tRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hairpin#antisense	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.02	0.01
sense_overlapping#sense	0.32	0.28	0.37	0.37	0.38	0.37	0.28	0.5	0.31
lncRNA#antisense	3.58	2.79	2.44	3.6	2.88	4.81	3.76	3.58	2.97
piRNA#antisense	0.02	0.01	0.01	0.01	0.01	0.0	0.0	0.02	0.0
transcribed_unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
processed_transcript#antisense	0.48	0.42	0.42	0.4	0.47	0.44	0.4	0.4	0.29
asRNA#sense	0.0	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01
unprocessed_pseudogene#antisense	0.01	0.02	0.01	0.02	0.01	0.03	0.03	0.01	0.01
protein_coding#antisense	2.39	2.17	1.95	2.54	2.42	2.79	2.62	2.34	2.6
TR_V_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#sense	0.03	0.02	0.06	0.02	0.06	0.03	0.0	0.05	0.02
unitary_pseudogene#sense	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0
protein_coding#sense	3.71	5.25	4.3	4.23	4.25	3.98	3.56	4.34	4.25
pseudogene#sense	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.01
IG_C_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#antisense	0.01	0.01	0.01	0.01	0.01	0.03	0.02	0.01	0.01
rRNA#sense	6.69	3.66	25.17	8.2	18.9	1.57	6.86	12.14	11.12
rRNA#antisense	0.02	0.02	0.07	0.03	0.04	0.03	0.04	0.06	0.03
tRNA#sense	0.79	1.97	0.75	1.49	0.87	0.21	0.74	0.96	1.73
