name	SRX1733814	SRX1733815	SRX1733816	SRX1733810	SRX1733811	SRX1733812	SRX1733813	SRX1733809	SRX1733808
un-assigned	47.38222862787647	45.00759403416583	28.111957159461124	40.1910736836707	30.920137371346005	56.66256433206534	49.61729679731761	31.05171354600904	39.34003820164502	368.2846037535571
rRNA#sense	6.69	3.66	25.17	8.2	18.9	1.57	6.86	12.14	11.12	94.31
lincRNA#sense	8.79	12.67	8.32	11.23	8.88	6.92	6.73	10.45	7.16	81.15
antisense_RNA#sense	7.33	6.45	8.85	7.2	8.52	4.18	5.53	10.5	6.47	65.03
lncRNA#sense	5.62	4.41	5.53	6.09	6.26	6.08	5.37	7.4	5.37	52.129999999999995
protein_coding#sense	3.71	5.25	4.3	4.23	4.25	3.98	3.56	4.34	4.25	37.870000000000005
lincRNA#antisense	3.46	3.45	4.93	4.17	5.23	2.65	3.21	5.28	3.96	36.339999999999996
lncRNA#antisense	3.58	2.79	2.44	3.6	2.88	4.81	3.76	3.58	2.97	30.409999999999997
antisense_RNA#antisense	2.42	2.59	2.77	2.58	3.01	2.09	1.93	3.43	2.14	22.96
protein_coding#antisense	2.39	2.17	1.95	2.54	2.42	2.79	2.62	2.34	2.6	21.820000000000004
retained_intron#sense	1.04	2.32	1.06	1.44	1.15	1.68	1.04	1.26	1.25	12.24
mature#sense	0.79	0.7	0.42	0.99	0.73	0.62	1.5	0.38	5.9	12.030000000000001
tRNA#sense	0.79	1.97	0.75	1.49	0.87	0.21	0.74	0.96	1.73	9.51
retained_intron#antisense	1.0	0.53	0.6	0.82	0.74	1.06	1.32	1.2	0.73	8.0
processed_transcript#sense	0.91	1.02	0.81	0.88	0.96	0.63	0.68	1.02	0.7	7.61
sense_intronic#sense	0.48	0.57	0.49	0.48	0.52	0.45	0.46	0.53	0.33	4.31
processed_transcript#antisense	0.48	0.42	0.42	0.4	0.47	0.44	0.4	0.4	0.29	3.7199999999999993
nonsense_mediated_decay#sense	0.32	0.75	0.29	0.59	0.32	0.28	0.34	0.36	0.38	3.6299999999999994
sense_overlapping#sense	0.32	0.28	0.37	0.37	0.38	0.37	0.28	0.5	0.31	3.18
miRNA#sense	0.17	1.04	0.15	0.24	0.18	0.34	0.12	0.2	0.48	2.92
nonsense_mediated_decay#antisense	0.25	0.18	0.29	0.26	0.34	0.35	0.22	0.33	0.27	2.4899999999999998
sense_intronic#antisense	0.34	0.37	0.25	0.23	0.22	0.11	0.3	0.23	0.26	2.3100000000000005
misc_RNA#sense	0.18	0.15	0.23	0.35	0.32	0.11	0.32	0.39	0.25	2.3000000000000003
processed_pseudogene#antisense	0.19	0.15	0.26	0.15	0.27	0.12	0.4	0.21	0.2	1.95
Y_RNA #sense	0.26	0.03	0.25	0.02	0.03	0.06	0.77	0.04	0.32	1.7800000000000002
macro_lncRNA#sense	0.14	0.18	0.07	0.21	0.11	0.33	0.2	0.14	0.16	1.5399999999999998
sense_overlapping#antisense	0.11	0.13	0.13	0.17	0.21	0.15	0.12	0.18	0.11	1.31
processed_pseudogene#sense	0.09	0.11	0.09	0.12	0.1	0.13	0.09	0.12	0.1	0.95
otherRNA#sense	0.08	0.06	0.05	0.06	0.06	0.06	0.23	0.08	0.08	0.7599999999999999
Mt_rRNA#sense	0.07	0.05	0.02	0.04	0.04	0.06	0.32	0.06	0.06	0.7200000000000002
snoRNA#sense	0.05	0.03	0.04	0.02	0.04	0.03	0.25	0.03	0.08	0.57
snRNA#sense	0.04	0.03	0.04	0.05	0.06	0.02	0.05	0.09	0.09	0.47
misc_RNA#antisense	0.02	0.04	0.03	0.04	0.03	0.09	0.06	0.06	0.03	0.4
macro_lncRNA#antisense	0.06	0.04	0.03	0.03	0.04	0.07	0.05	0.04	0.03	0.39
rRNA#antisense	0.02	0.02	0.07	0.03	0.04	0.03	0.04	0.06	0.03	0.33999999999999997
unprocessed_pseudogene#sense	0.04	0.03	0.04	0.03	0.04	0.05	0.03	0.03	0.03	0.32000000000000006
piRNA#sense	0.02	0.02	0.04	0.08	0.05	0.01	0.02	0.04	0.03	0.31000000000000005
otherRNA#antisense	0.05	0.04	0.02	0.03	0.03	0.06	0.02	0.04	0.02	0.31
bidirectional_promoter_lncRNA#sense	0.03	0.02	0.06	0.02	0.06	0.03	0.0	0.05	0.02	0.29000000000000004
srpRNA#sense	0.03	0.01	0.02	0.03	0.03	0.05	0.05	0.04	0.03	0.2899999999999999
Mt_tRNA#sense	0.02	0.01	0.01	0.01	0.01	0.01	0.08	0.01	0.05	0.21000000000000002
snoRNA#antisense	0.01	0.01	0.03	0.02	0.04	0.01	0.03	0.03	0.02	0.2
3prime_overlapping_ncRNA#sense	0.01	0.02	0.01	0.02	0.03	0.03	0.03	0.03	0.01	0.19
unprocessed_pseudogene#antisense	0.01	0.02	0.01	0.02	0.01	0.03	0.03	0.01	0.01	0.15000000000000002
miRNA#antisense	0.01	0.01	0.02	0.02	0.02	0.01	0.02	0.03	0.01	0.15000000000000002
TEC#sense	0.02	0.02	0.02	0.01	0.01	0.01	0.0	0.03	0.01	0.12999999999999998
bidirectional_promoter_lncRNA#antisense	0.01	0.01	0.01	0.01	0.01	0.03	0.02	0.01	0.01	0.12
transcribed_unprocessed_pseudogene#sense	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.11
snRNA#antisense	0.02	0.0	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.11
transcribed_unprocessed_pseudogene#antisense	0.02	0.01	0.0	0.01	0.0	0.01	0.03	0.01	0.01	0.09999999999999999
asRNA#sense	0.0	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.09
piRNA#antisense	0.02	0.01	0.01	0.01	0.01	0.0	0.0	0.02	0.0	0.08
hairpin#sense	0.0	0.01	0.01	0.0	0.01	0.01	0.03	0.0	0.01	0.08
3prime_overlapping_ncRNA#antisense	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.07
hairpin#antisense	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.02	0.01	0.06999999999999999
IG_V_gene#antisense	0.0	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.02	0.06
scaRNA#sense	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.05
microRNA#sense	0.01	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.01	0.04
Mt_rRNA#antisense	0.01	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.04
srpRNA#antisense	0.0	0.0	0.0	0.01	0.01	0.02	0.0	0.0	0.0	0.04
TEC#antisense	0.01	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.0	0.04
unitary_pseudogene#sense	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.03
pseudogene#sense	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.03
polymorphic_pseudogene#sense	0.0	0.0	0.0	0.01	0.0	0.02	0.0	0.0	0.0	0.03
non_coding#sense	0.0	0.01	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.03
asRNA#antisense	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.03
