name	SRX1733814	SRX1733815	SRX1733816	SRX1733810	SRX1733811	SRX1733812	SRX1733813	SRX1733809	SRX1733808
hsa-miR-320a-3p	49727.52043596731	270798.33147482754	270564.97632077936	635464.7153869113	446130.47715820244	83832.33532934132	58038.007190549564	227559.4371664241	662078.0846769045	2704193.8851399072
hsa-miR-128-3p	83106.26702997276	53425.84562012142	32081.524816003017	14047.979252215258	22064.16025547975	104790.41916167666	50847.45762711865	52401.746724890836	6841.352173135397	419606.7526606138
hsa-miR-26a-5p	43596.73024523161	71465.74154379878	30571.80600113229	9725.524097687487	29902.74350413703	80838.32335329341	38520.801232665646	45123.72634643377	9255.947057771418	359001.34338215145
hsa-miR-9-5p	52452.316076294286	40069.384215091064	36799.396112474045	21396.15301491247	29322.107707940202	71856.2874251497	49306.625577812025	43668.12227074236	9390.091218028967	354260.4836184451
hsa-miR-378a-3p	6471.389645776567	10841.283607979185	15050.009435742593	47979.25221525827	63144.14283640587	0.0	0.0	31295.487627365357	77062.46646395994	251844.0318324878
hsa-miR-22-3p	23160.762942779293	23070.251517779703	55859.596150217025	25070.239896261075	55015.24168965017	0.0	27734.976887519264	14556.040756914119	11759.971382579146	236227.08122369982
hsa-miR-100-5p	27247.956403269756	9800.520381613183	15474.617852424986	3025.7186081694404	9435.331688198577	62874.25149700599	33898.30508474576	55312.95487627365	6226.524771954928	223296.18116365623
hsa-miR-3168	42234.332425068125	8326.105810928013	7548.594074353652	6699.805489518046	580.6357961968355	5988.023952095808	15408.320493066258	104803.49344978166	514.2192809873011	192103.53077199572
hsa-miR-4508	9536.784741144415	88638.33477883782	4717.871296471032	38577.912254160365	1596.7484395412978	20958.08383233533	0.0	2911.208151382824	19082.006796637455	186018.95029051055
hsa-miR-181a-5p	40871.934604904636	17172.59323503903	17927.910926589924	864.4910309055543	3048.3379300333863	53892.21556886228	41602.465331278894	5822.416302765648	2727.5979252369884	183929.96285561638
hsa-miR-451a	39509.53678474115	7979.18473547268	17173.051519154556	11454.506159498595	10886.921178690665	20958.08383233533	26194.144838212636	32023.28966521106	8674.65569665534	174853.374409972
hsa-miR-483-5p	2043.5967302452318	2254.9869904596703	20758.633704472544	7348.173762697212	65321.527072143996	20958.08383233533	9244.992295839755	34934.49781659389	1565.0152030048293	164429.50740779247
hsa-let-7a-5p	40190.7356948229	3989.5923677363403	16701.264389507458	1512.8593040847202	8201.480621280303	26946.107784431137	30816.640986132516	30567.68558951965	2872.920765516008	161799.28750303102
hsv2-miR-H10	17029.9727520436	47528.18733738075	4906.586148329874	18802.679922195806	725.7947452460444	35928.14371257485	6163.328197226503	26200.873362445414	3130.0304060096587	160415.5965834525
hsa-miR-7-5p	64713.89645776567	17346.053772766692	13776.18418569542	6699.805489518046	6386.99375816519	20958.08383233533	26194.14483821264	2911.208151382824	939.0091218028974	159925.37960764472
hsa-miR-99a-5p	35422.34332425069	21769.297484822204	23211.92677863748	1728.9820618111087	10596.603280592248	5988.023952095808	29275.808936825888	17467.248908296944	6494.813092470042	151955.04781980245
hsa-miR-122-5p	74931.88010899183	2601.908065915004	38686.54463106247	1296.7365463583315	15532.00754826535	0.0	3081.6640986132516	4366.812227074236	3062.9583258808802	143560.51155216133
hsa-miR-125b-5p	25885.558583106267	22896.79098005204	14908.473296848462	3241.841365895829	9145.01379010016	5988.023952095808	40061.63328197227	14556.040756914119	5499.910570559829	142183.2865775448
hsa-miR-27b-3p	16348.773841961854	13876.843018213356	26042.6495565201	864.4910309055543	6532.1527072144	25449.101796407187	33898.30508474576	0.0	4225.541048113039	127237.85808408126
hsa-let-7b-5p	4768.392370572207	5724.19774501301	16229.477259860352	864.4910309055543	1016.1126433444622	14970.059880239522	73959.93836671804	0.0	1788.5888034340906	119321.25810008725
hsa-miR-320b	0.0	5777.0619088919175	23296.399140898106	20010.909053485237	19275.034734462806	0.0	2054.442732408834	12615.235322658902	22801.313335207098	105830.3962280129
hsa-miR-143-3p	32697.54768392371	5724.19774501301	23400.64163049632	1080.613788631943	4499.927420525475	5988.023952095808	20030.816640986133	5822.416302765648	2794.6700053657664	102038.8551698038
hsa-miR-29a-3p	21117.166212534063	8499.56634865568	7171.164370635969	0.0	10161.126433444622	5988.023952095808	6163.328197226503	26200.873362445414	1699.159363262386	87000.40824030044
hsa-miR-423-5p	2724.7956403269754	3295.750216825672	5661.445555765239	8861.033066781933	3919.29162432864	11976.047904191617	0.0	5822.416302765648	41048.11303881238	83308.8933497981
hsa-miR-126-3p	6130.790190735695	5203.816131830008	7926.023778071334	864.4910309055543	5080.563216722311	38922.155688622755	3081.6640986132516	2911.208151382824	2280.4507243784656	72401.16301126221
hsa-let-7g-5p	4768.392370572207	4856.895056374675	4906.586148329874	2593.473092716663	435.47684714762664	8982.035928143712	21571.64869029276	2911.208151382824	2861.742085494545	53887.458370454886
hsa-miR-486-5p	12261.58038147139	867.3026886383348	2075.863370447254	0.0	2032.2252866889244	20958.08383233533	10785.82434514638	0.0	1967.4476837774996	50948.32758850511
hsa-miR-4488	0.0	20121.422376409366	0.0	2593.473092716663	1596.7484395412978	23952.095808383234	0.0	0.0	514.2192809873011	48777.95899803786
hsa-let-7f-5p	18392.370572207084	5377.276669557676	11134.176259671636	2593.473092716663	435.47684714762664	0.0	0.0	8733.624454148472	1587.3725630477554	48253.77045849691
hsa-miR-320c	0.0	1556.1888241853549	11910.603078748009	8916.607490197288	12307.405180100777	0.0	0.0	5822.416302765648	6704.014104300279	47217.23498029736
