name	SRX1936168	SRX1936162	SRX1936158	SRX1936159	SRX1936164	SRX1936154	SRX1936155	SRX1936149	SRX1936157	SRX1936150	SRX1936151	SRX1936152	SRX1936153	SRX1936165	SRX1936161	SRX1936163	SRX1936167	SRX1936160	SRX1936166	SRX1936156
hsa-miR-21-5p	169639	12571	15340	25964	3726812	195709	13630	177029	30168	97108	44487	146079	132504	154381	9569	10268	1553649	13732	3342429	12518	9883586.0
hsa-miR-24-3p	3366	1226	4413	4729	770795	43398	1217	64658	2856	51736	31709	36411	34627	5067	906	484	22638	3520	40032	1181	1124969.0
hsa-miR-205-5p	1491	2146	6517	6796	448379	33421	1808	61176	4313	40103	21685	25397	21675	1339	1990	1315	33535	4318	132187	1957	851548.0
hsa-miR-100-5p	146158	6967	1517	2570	241664	39879	468	27571	1187	14035	7977	24491	23430	29117	5076	5507	73473	1447	69819	556	722906.0
hsa-miR-22-3p	894	736	1560	1532	290103	54065	796	26601	1769	21654	10482	38150	34864	1677	577	338	8068	1368	32895	742	528871.0
hsa-let-7f-5p	6411	649	2436	3835	246859	17848	1122	30300	3713	15854	9467	13324	12137	5202	478	379	51289	1754	74267	1166	498489.37
hsa-miR-200c-3p	166	551	2109	2023	161793	23173	1670	51661	4768	27009	14280	16149	14152	997	342	272	15244	1290	73423	1872	412944.0
hsa-miR-30d-5p	1151	231	784	1168	137747	7533	941	11534	2791	7842	3846	5038	4798	1487	126	183	16878	711	91567	1096	297450.0
hsa-let-7a-5p	4020	3119	2011	3297	98500	12935	1145	24504	5102	15067	8447	10208	7841	3539	2121	1631	14825	1211	71458	1266	292246.81
hsa-miR-27a-3p	527	425	1007	1019	187964	7637	355	11366	742	9870	5390	7926	7229	284	373	232	5932	700	16968	339	266282.33
hsa-let-7i-5p	3857	427	1066	1330	83799	17351	846	9636	2326	6057	3125	11533	10644	3822	275	316	18072	818	76410	756	252462.0
hsa-miR-92a-3p	2523	743	2264	2491	86469	14554	938	16060	2674	11428	5862	9445	8790	1251	497	578	12151	1569	36486	895	217668.34
hsa-miR-26a-5p	276	309	1460	1764	115437	10643	844	16670	2210	8850	4707	8474	7681	288	174	174	3795	1124	19032	810	204722.34
hsa-miR-200b-3p	110	90	905	1073	98278	9243	287	16159	1003	8081	4331	7219	6274	1988	49	56	17153	742	24650	345	198036.0
hsa-miR-99b-5p	16200	269	139	184	92045	2357	183	6070	561	4256	2328	1361	1203	15142	251	275	8445	93	34326	204	185892.0
hsa-miR-7-5p	2417	51	352	498	50901	5131	233	2877	450	1775	1012	3775	3607	9168	64	56	35408	274	60913	223	179184.97999999998
hsa-let-7b-5p	1536	3990	1794	2374	22782	15505	1312	10574	6543	7044	3653	11491	8783	983	2665	2070	4749	1070	54883	1696	165495.93000000002
hsa-miR-10a-5p	312	12	147	225	111019	1584	124	10532	373	6122	3152	1039	950	3221	2	7	7161	116	18278	182	164558.0
hsa-miR-27b-3p	687	133	448	551	105883	8103	210	7843	504	5147	2626	6971	6480	1349	73	68	3326	356	5401	230	156386.82999999996
hsa-miR-200a-3p	10	23	486	480	96185	5595	207	5027	391	3586	1802	5514	5060	433	14	21	5152	379	14966	187	145515.5
hsa-miR-181a-5p	181	155	364	435	80388	12093	133	13941	368	7573	4572	9146	8720	470	123	78	456	280	795	144	140415.0
hsa-miR-30a-5p	911	41	970	1316	51601	8727	168	4480	291	2907	1475	7606	7335	3635	53	30	37126	804	7911	145	137529.5
hsa-miR-151a-3p	1719	92	331	289	53602	11854	217	9070	845	4778	2665	8347	7622	5224	55	43	4405	185	19000	269	130612.0
hsa-miR-222-3p	2775	843	1121	982	58330	7006	167	11936	498	10450	4870	4740	4142	613	470	412	8874	730	8189	177	127325.0
hsa-miR-23a-3p	39	98	1040	837	56532	6868	298	16134	1065	9613	6453	5768	5167	5	65	30	633	794	2832	330	114594.0
hsa-let-7g-5p	492	315	988	1593	45053	9127	708	5700	2011	3042	1757	6437	5955	375	253	185	5429	909	22368	702	113396.06000000001
hsa-miR-221-3p	88	256	1595	1354	54052	6983	248	14857	740	10497	7043	5224	4614	46	155	143	1183	928	2809	236	113051.0
hsa-miR-423-3p	2229	351	799	1226	30891	5514	596	3779	1679	2494	1681	3361	3104	1694	257	254	8266	589	43429	650	112843.0
hsa-miR-1307-3p	1073	358	494	1044	49012	1607	287	2534	687	2352	2244	1173	1103	696	268	261	9834	521	33058	326	108932.0
hsa-miR-378a-3p	2992	304	1404	1679	18524	12575	359	4750	812	2925	1893	9250	8517	3703	194	221	13561	1093	18794	266	103813.55
hsa-miR-103a-3p	111	65	355	369	49896	3117	261	5199	515	2899	1903	2532	2366	53	61	40	1714	197	5503	271	77426.32
hsa-miR-191-5p	123	136	1089	1380	26418	7792	673	6290	1660	4435	2007	5594	5167	128	101	79	1090	900	7725	659	73446.0
hsa-miR-128-3p	614	142	232	417	31308	1789	95	2625	343	1711	783	987	876	971	102	112	4963	223	20956	141	69390.0
hsa-miR-320a-3p	1167	762	645	764	19701	6353	381	7139	1008	5022	3497	4822	4360	488	611	592	1863	504	7366	432	67478.51
hsa-miR-93-5p	11	3	471	527	31743	6002	592	5329	1538	2816	1875	5390	4979	17	6	3	450	315	3604	556	66227.0
hsa-miR-20a-5p	45	63	441	409	33272	2878	313	3278	477	1782	1123	2802	2814	35	45	21	1967	255	9417	242	61677.01999999999
hsa-miR-29a-3p	346	313	659	600	25456	5274	332	3460	602	2137	1206	4765	4440	148	247	210	2024	469	7525	286	60499.0
hsa-miR-181b-5p	105	136	103	166	31900	5280	17	7005	56	3923	2462	3826	3309	248	97	67	332	99	471	23	59625.0
hsa-miR-148a-3p	2631	112	477	421	26911	3410	165	3706	598	1816	947	2491	2559	1088	58	55	4542	230	6491	143	58850.0
hsa-miR-25-3p	59	19	638	795	19455	6698	379	5383	1046	3370	1867	4772	4331	206	13	14	846	517	4217	379	55003.67
hsa-let-7d-5p	137	127	448	566	22411	4005	129	5949	505	3528	2135	3054	2470	227	134	89	1507	286	3938	126	51767.5
hsa-miR-126-3p	32	11	1412	1677	17538	4285	612	5800	2472	2926	1474	2022	2915	0	26	7	517	903	3898	677	49204.0
hsa-miR-101-3p	1107	30	247	317	9391	830	287	737	425	524	220	672	869	823	6	23	5334	171	26398	207	48618.0
hsa-miR-30e-5p	46	31	130	150	25533	1077	160	1333	361	998	442	986	988	59	14	13	883	78	10569	123	43972.5
hsa-miR-183-5p	946	44	185	208	19105	1351	55	3139	161	1681	897	1129	1095	3867	26	30	5166	116	4658	56	43915.0
hsa-miR-429	0	7	96	89	28342	1563	39	2458	81	1302	631	1430	1410	59	6	0	764	60	3082	36	41454.5
hsa-miR-224-5p	243	79	174	199	18672	5407	12	2606	73	1697	894	3914	3122	776	68	48	2160	128	810	28	41110.0
hsa-miR-30c-5p	8	38	529	424	17822	4305	244	3463	682	2519	1316	3215	2900	10	19	4	479	349	1924	246	40498.03999999999
hsa-miR-203a-3p	3	368	89	162	15332	773	348	2456	780	1371	732	538	587	50	224	141	468	161	15504	362	40449.0
hsa-miR-1260b	203	12	155	223	20805	295	82	141	211	116	80	223	220	60	12	9	4299	104	11104	107	38456.0
hsa-miR-1180-3p	99	51	91	138	19996	708	54	2474	151	1678	1112	425	424	111	44	32	953	80	7124	74	35819.0
hsa-miR-23b-3p	4	10	168	193	21980	1682	42	3788	173	1958	1323	1132	1048	7	10	3	186	78	408	43	34229.5
hsa-miR-486-5p	0	0	1683	2150	10742	2868	666	4294	1511	3051	1389	1375	1767	70	0	0	25	1112	779	600	34082.0
