name	SRX1936168	SRX1936162	SRX1936158	SRX1936159	SRX1936164	SRX1936154	SRX1936155	SRX1936149	SRX1936157	SRX1936150	SRX1936151	SRX1936152	SRX1936153	SRX1936165	SRX1936161	SRX1936163	SRX1936167	SRX1936160	SRX1936166	SRX1936156
human_virus-hsa-bacteria_collection	0.05	0.17	0.06	0.04	0.29	0.04	0.04	0.04	0.05	0.07	0.06	0.04	0.03	0.02	0.17	0.18	0.09	0.04	0.19	0.04
hsa-bacteria_collection	4.98	8.43	3.62	3.05	2.86	2.24	2.69	2.61	3.06	3.75	3.97	2.16	2.08	5.76	9.22	9.44	3.38	3.06	4.27	2.77
human_virus-bacteria_collection	0.06	0.2	0.16	0.09	0.17	0.07	0.12	0.05	0.11	0.1	0.1	0.07	0.07	0.05	0.26	0.29	0.08	0.09	0.19	0.12
unmapped	0.5739029370114456	12.497859792637687	3.229527502414306	1.2463657359344749	1.2473976128092867	1.7915855659791076	0.8134428442449795	1.4267786435049177	1.5264438828044558	3.6490828348663418	2.9089027881140628	1.80787663282219	1.639124542859699	0.4046299631841025	8.547042501436271	10.289220955062381	0.8004780411151483	1.4431222101421903	1.0911522478722973	1.056029548551592
hsa_HR-human_virus_HR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa	89.81	62.95	81.9	87.59	91.94	87.05	87.45	87.6	86.4	81.69	83.12	87.45	88.63	89.82	68.56	64.56	92.48	87.3	90.63	87.31
bacteria_collection	2.06	11.79	5.13	3.24	1.96	2.36	3.19	1.7	3.02	3.69	3.12	2.57	2.33	1.85	9.61	10.94	1.85	3.43	2.1	3.18
human_virus-hsa	0.11	0.1	0.05	0.04	0.36	0.04	0.04	0.03	0.06	0.04	0.04	0.04	0.04	0.04	0.09	0.15	0.2	0.04	0.34	0.04
bacteria_collection_HR-hsa_HR-human_virus_HR	0.0	0.0	0.01	0.0	0.0	0.01	0.01	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01
hsa_HR	2.25	2.68	5.39	4.46	1.06	6.16	5.4	6.37	5.51	6.58	6.33	5.63	4.96	1.94	2.56	2.71	0.99	4.35	1.02	5.19
bacteria_collection_HR-hsa_HR	0.02	0.32	0.1	0.05	0.04	0.03	0.05	0.03	0.05	0.09	0.1	0.04	0.03	0.02	0.41	0.4	0.04	0.06	0.05	0.06
bacteria_collection_HR	0.01	0.58	0.15	0.05	0.0	0.06	0.02	0.05	0.03	0.15	0.08	0.05	0.04	0.01	0.28	0.69	0.0	0.05	0.0	0.04
human_virus	0.09	0.27	0.2	0.13	0.07	0.15	0.17	0.1	0.15	0.17	0.16	0.14	0.14	0.08	0.29	0.33	0.08	0.14	0.09	0.2
