name	SRX1936168	SRX1936162	SRX1936158	SRX1936159	SRX1936164	SRX1936154	SRX1936155	SRX1936149	SRX1936157	SRX1936150	SRX1936151	SRX1936152	SRX1936153	SRX1936165	SRX1936161	SRX1936163	SRX1936167	SRX1936160	SRX1936166	SRX1936156
tRNA#antisense	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.01
IG_C_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
processed_transcript#sense	0.33	0.42	0.36	0.32	0.07	0.21	0.38	0.24	0.41	0.29	0.3	0.26	0.23	0.34	0.38	0.47	0.23	0.3	0.19	0.41
processed_pseudogene#antisense	0.71	0.45	1.32	1.38	0.06	0.59	1.85	0.58	1.29	0.77	1.47	1.01	1.35	0.88	0.51	0.37	0.23	2.32	0.22	1.78
IG_V_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rnase#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ribozyme#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y_RNA #sense	0.12	0.45	1.94	1.57	0.11	5.92	0.29	8.23	0.86	7.15	6.07	4.14	3.43	0.2	0.23	0.31	0.12	0.9	0.04	0.31
TR_C_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
retained_intron#sense	0.87	0.64	0.56	0.45	0.38	0.33	0.57	0.31	0.49	0.41	0.38	0.41	0.37	0.91	0.58	0.72	0.79	0.43	0.63	0.6
antisense_RNA#sense	3.41	4.85	2.26	1.82	0.41	1.19	2.02	1.12	1.81	1.7	2.03	1.39	1.27	2.35	5.34	5.22	1.61	1.99	1.04	2.12
Mt_tRNA#antisense	0.01	0.0	0.0	0.0	0.01	0.01	0.0	0.01	0.0	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0
hairpin#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sense_overlapping#sense	0.04	0.13	0.27	0.17	0.06	0.09	0.27	0.04	0.19	0.09	0.1	0.14	0.15	0.03	0.13	0.17	0.04	0.19	0.07	0.24
lncRNA#antisense	1.61	0.93	1.88	1.24	2.6	0.63	1.95	0.31	1.37	0.68	0.62	1.2	1.06	1.13	0.64	1.13	2.47	1.13	2.57	2.07
piRNA#antisense	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01
transcribed_unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
processed_transcript#antisense	0.11	0.27	0.24	0.17	0.03	0.1	0.25	0.08	0.19	0.13	0.14	0.14	0.14	0.1	0.26	0.29	0.06	0.17	0.04	0.25
sRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
asRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01
TR_J_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
unprocessed_pseudogene#antisense	0.0	0.02	0.02	0.02	0.0	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.02	0.0	0.01	0.0	0.02
protein_coding#antisense	1.49	2.49	1.85	1.72	0.32	1.02	1.76	0.84	1.45	1.12	1.12	1.3	1.18	1.45	2.66	2.42	0.62	1.67	0.82	1.8
vaultRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_V_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
