name	SRX1936168	SRX1936162	SRX1936158	SRX1936159	SRX1936164	SRX1936154	SRX1936155	SRX1936149	SRX1936157	SRX1936150	SRX1936151	SRX1936152	SRX1936153	SRX1936165	SRX1936161	SRX1936163	SRX1936167	SRX1936160	SRX1936166	SRX1936156
hsa-miR-21-5p	422244.9004990604	276431.5243205207	189123.54674458457	248238.4098362223	420190.35910442966	247977.12177308794	299395.93629873695	205575.4065255435	251767.1604423117	183574.5504589931	155257.4362124263	251390.07202044452	248532.29696931047	541625.0048240029	284444.5765583663	336027.7514153876	738660.4974105384	222661.8238422623	696323.1274603592	276469.808737135	6495911.311453724
hsa-miR-100-5p	363797.588082289	153201.68880288504	18702.7653462539	24571.43403478244	27247.06071769473	50529.5088074078	10280.06589785832	32016.317923122748	9906.1130815773	26531.993406227786	27839.336630173417	42147.01807825017	43945.748444141005	102151.32984601783	150887.31012752297	180220.57139117058	34931.70125700495	23462.835646646778	14545.181445766264	12279.694332788551	1349195.2632995816
hsa-miR-205-5p	3711.2170352578064	47189.72644911602	80346.68540641836	64975.66758769707	50553.80658452454	42346.766815927585	39714.44261394838	71040.79596905959	35994.15814729814	75811.366695401	75679.58064752545	43706.17035373483	40654.905035393684	4697.701669631236	59154.00850153087	43034.32928625192	15943.742621829258	70015.56622129978	27538.31577263197	43221.87375767481	935330.8271721525
hsa-miR-24-3p	8378.240469938148	26959.27522209517	54406.923845101155	45213.35079785454	86905.5449660189	54988.33027969317	26732.56452498627	75084.27791564428	23834.75902357605	97802.58004022806	110662.84633398132	62660.368104494184	64948.43813889628	17776.88899180095	26931.422966023605	15839.251235396145	10762.917712031332	57076.14476585809	8339.805404540559	26083.307566588628	901387.2383047467
hsa-let-7a-5p	10005.144096941338	68576.8317354209	24793.801087398737	31519.31773636861	11105.650979144408	16390.06515277071	25157.605711147724	28455.85904250072	42574.58794074694	28483.186637024937	29478.042975252727	17567.65361349888	14707.014052971814	12417.684969810514	63054.011474094106	53380.567464083506	7048.3133198594915	19634.51809573227	14886.64222834802	27965.016122620276	547201.5144357367
hsa-let-7b-5p	3823.7234135231674	87731.99050048378	22119.071395988212	22701.32800474219	2568.6159506909685	19645.929789083428	28810.543657331134	12278.911999108157	54601.29355309827	13316.659861167822	12748.789859599285	19774.21547622121	16472.973631988236	3448.72348114078	79230.70063315597	67735.7070393036	2257.8925923760053	17346.607860941756	11433.639465079148	37466.31918370953	535513.6373487327
hsa-miR-22-3p	2225.236773655586	16184.360981616675	19232.903058771313	14647.251728127121	32708.514340748166	68504.1724635147	17484.898407468423	30890.483417891886	14763.196327978301	40935.07554103716	36581.663101100385	65653.04559573901	65392.96928045976	5883.529275557567	17151.68990220267	11061.295284222928	3835.816772712642	22181.86535218576	6852.965097481058	16387.649631167456	508558.58233363857
hsa-miR-200c-3p	413.1871414170328	12116.281115313572	26001.40548137737	19341.638541776218	18241.826733031605	29361.827217183505	36683.141131246564	59991.47640508675	39791.36240350511	51058.25507009664	49836.495810314205	27791.11489713209	26544.32369369741	3497.840600912877	10166.166285187719	8901.39738848709	7247.544730197263	20917.109871578676	15296.1014243001	41344.582357878	504543.0782997198
hsa-let-7f-5p	15956.988712025985	14271.26396340927	30032.917853312127	36665.93366668897	27832.818188015903	22615.014110943004	24645.799011532123	35185.802369497454	30986.85583142082	29971.41690485913	33037.73451014471	22929.863961382594	22763.97799012617	18251.68781626455	14208.852293332542	12403.050037634584	24384.568048267516	28440.783499805424	15471.888989256913	25752.02084897743	485809.23860689724
hsa-miR-92a-3p	6279.946733705867	16338.288327909228	27912.36700324247	23816.12536211792	9749.201237250745	18441.367997006335	20604.06370126304	18649.71857040501	22315.877321093263	21603.67799404141	20458.090927175203	16254.076425996198	16487.04107317695	4388.96548820663	14773.639309176304	18915.469450535064	5777.0215177530135	25441.042936827085	7601.072641638361	19766.774150801713	335573.82816932176
hsa-let-7i-5p	9600.378340033105	9389.568123845544	13142.483756827063	12715.956134731769	9448.164249388512	21984.308597580908	18583.196046128498	11189.831142243007	19411.641977884414	11449.306595284545	10906.095896864977	19846.494058528442	19963.57470561535	13408.973697782363	8174.548913528136	10341.329318977649	8591.839713445279	13255.610325593463	15918.274406930504	16685.807677017536	274007.3836782311
hsa-miR-26a-5p	686.9858495849461	6794.792857771132	18000.024657568025	16865.373399749507	13015.283433652688	13485.432489210894	18539.264140582098	19358.082725320768	18443.56353014813	16730.18465586861	16427.1978836939	14583.064439797967	14406.935436071919	1010.4093210259865	5172.2600398323475	5694.2762705763	1804.2792082851358	18225.45077182514	3964.9769283161168	17889.482751004904	241097.3207898865
hsa-miR-30d-5p	2864.9301191024383	5079.602427654147	9665.766665433788	11167.095312305793	15530.689875303038	9544.842895915219	20669.961559582647	13393.308165116201	23292.30127268934	14823.699771637705	13422.350342189666	8669.127580302365	8999.4110431289	5216.939792936257	3745.429684016528	5988.807801813005	8024.1692589808645	11528.732650149177	19076.01322635805	24206.01616679182	234909.19561140696
hsa-miR-27a-3p	1310.5001804582396	9349.253818864163	12419.195094787801	9739.338834020122	21192.552953759143	9675.984703923612	7801.574226615413	13198.991877811442	6195.145698588219	18657.464119897766	18810.252544464878	13639.140573237995	13558.512427490155	994.6216753849554	11082.70661791663	7576.005497921916	2820.2064691293926	11353.072166731527	3534.986961415345	7483.3988544841495	200392.9052969029
hsa-miR-222-3p	6907.194683326904	18537.250417802796	13820.566877488873	9388.773627298193	6576.587079402283	8877.096685089873	3668.3141131246566	13860.712382089303	4156.060922178176	19754.850808342027	16996.059845674383	8157.1542889594475	7768.978853822405	2150.6281728782283	13971.047234029906	13482.998985502503	4219.018101270697	11836.81411337398	1706.0018599566008	3909.1832678121827	189745.2923194234
hsa-miR-378a-3p	7446.08032258466	6684.844753276453	17303.448360888164	16050.30929412102	2088.5051750926577	15933.771908706718	7885.777045579352	5515.9503866390905	6778.635510118924	5528.522601817825	6605.77866034753	15918.06706419887	15974.611082142601	12992.355271144044	5751.909871882524	7240.566809569002	6447.362352989279	17714.684135426127	3915.3878076178216	5874.817792305314	189651.38620644793
hsa-miR-99b-5p	40323.08247563814	5915.208021813703	1713.7009776725722	1759.199946459132	10377.88372576004	2986.4854248867873	4019.769357495881	7048.80396776827	4681.827665345295	8045.611965579299	8124.605199328534	2342.1702504797063	2256.417566670293	53123.673399220446	7461.133735620226	8999.574565565992	4015.0561038123774	1507.977688416137	7151.0831413933665	4505.499359512346	186358.76453843855
hsa-miR-200b-3p	273.7987081679133	1979.0658809042131	11157.549530889768	10258.812731253525	11080.641607911839	11711.533636923452	6304.2284459088405	18764.682588989697	8370.540371374922	15276.45448633607	15114.97642538311	12423.31156371271	11767.88346906851	6974.631007637712	1456.5559882286498	1832.6406388061655	8155.15184709221	12031.391879621222	5135.296843073661	7619.594505057644	177688.7421563418
hsa-let-7g-5p	1223.797256205067	6926.730583164745	12180.838603888498	15230.46475385542	5079.582002813738	11564.764624740144	15551.894563426687	6619.237235026323	16780.721886083873	5750.804057085533	6130.6800401577	11076.836148469389	11168.945413505066	1315.6371367525867	7520.585000445885	6054.259253198939	2581.1414550144937	14731.158386301726	4659.856547791662	15493.17549361721	177641.1104415447
