name	SRX2026434	SRX2026414	SRX2026415	SRX2026416	SRX2026417	SRX2026436	SRX2026437	SRX2026412	SRX2026413	SRX2026418	SRX2026419	SRX2026432	SRX2026433	SRX2026430	SRX2026431	SRX2026421	SRX2026420	SRX2026423	SRX2026422	SRX2026425	SRX2026424	SRX2026427	SRX2026426	SRX2026429	SRX2026428	SRX2026435
hsa-miR-486-5p	1781881	200488	250025	943357	997732	489392	1492388	1008441	983794	1022044	1270595	291563	600536	1782879	821253	1305896	489615	1898099	395981	684509	1964459	618439	1012335	1172049	883091	1513793	2.5874634E7
hsa-miR-92a-3p	891118	154371	167223	444457	595248	379756	654942	362924	448471	535109	578587	232965	362909	759152	558292	490907	251893	527475	179323	275069	478296	326525	430968	632014	422452	782135	1.192258304E7
hsa-miR-122-5p	737484	141737	606245	226551	203167	313081	1110580	1364040	377611	112874	35600	345098	295952	429461	28279	209380	331513	1551427	137114	205679	128880	322957	380461	263257	610177	882528	1.1351133E7
hsa-miR-451a	1151568	76120	60919	469236	304848	268028	495715	347929	205340	196208	320742	93115	198781	347089	405514	308264	112398	448357	104707	435145	317035	336567	450502	628559	460170	430283	8973139.0
hsa-miR-423-5p	282183	140161	72805	204857	183407	162851	398229	242983	129224	199164	320737	287504	163129	335258	247750	180628	81841	207139	101380	232180	358680	182171	294793	458164	247342	596050	6310610.0
hsa-let-7b-5p	456963	117173	125347	371947	267255	142767	203258	195553	455568	173574	252440	83457	181093	234548	117766	171041	124196	323875	163739	174494	178939	327468	412695	258506	199354	149962	5862978.5600000005
hsa-miR-148a-3p	136053	477503	113516	275850	55490	151304	397254	292418	155815	68304	73086	251844	120699	105500	82424	180995	38305	386426	101879	258532	536037	273198	421393	346534	156403	215450	5672207.5
hsa-miR-30d-5p	242872	202070	74825	197955	145080	160496	266052	199444	138463	226746	143740	176313	201086	182044	222107	236593	113295	164793	139350	216719	150491	179388	253869	450842	289284	135172	5109083.5
hsa-let-7a-5p	225416	137884	155344	208430	123920	205896	178519	62988	259082	174391	94964	155737	173829	178598	123073	83868	66685	224609	158061	176070	175377	218139	259986	313329	298611	146880	4579685.14
hsa-miR-21-5p	124926	161264	68446	117185	102299	159962	295154	53457	81180	175887	86980	286450	211066	147374	210618	130656	91649	127561	85755	122236	116478	120684	130858	327384	203554	192419	3931482.0
hsa-miR-25-3p	204910	98202	54028	220589	71440	62390	174430	195902	120652	84132	75773	58270	69868	81857	85374	175127	39278	303293	78779	178295	233927	161996	279110	200260	157200	68445	3533525.0199999996
hsa-miR-26a-5p	66464	187770	94927	188418	51057	106713	103876	84787	138170	109474	31647	155068	165120	64969	99816	68875	44450	129161	176064	175897	96452	263809	241936	218969	129450	85797	3279139.0599999996
hsa-let-7f-5p	116486	117007	108429	153151	81863	128492	115451	35487	160153	117634	55041	112889	104584	113089	85165	56559	50735	181821	151400	136400	144906	185450	180360	208412	176737	88028	3165727.1100000003
hsa-miR-151a-3p	75431	120745	59159	137470	32582	55883	151598	77590	86336	54990	57608	109463	94354	57568	56177	96976	24349	146828	127348	185267	94929	182613	201662	155065	86571	33020	2561582.0
hsa-let-7i-5p	131354	91344	78982	122684	81624	79894	98747	41215	178005	63462	75256	50897	79856	91657	76078	51170	35900	119519	100897	85778	92359	152481	149235	126398	106726	68254	2429767.0
hsa-miR-10b-5p	55759	50077	32503	60512	54294	40698	92408	90363	107524	46438	33386	31907	22174	117858	29209	32477	14215	174136	25689	46382	90243	87897	147303	59270	34356	76090	1653159.0
hsa-miR-320a-3p	118461	27759	12600	31736	48916	46524	108355	42489	33451	46696	53717	67740	46439	76760	52801	51518	26597	47345	20847	47770	57835	30282	44340	108401	84150	82291	1415819.57
hsa-let-7g-5p	124275	29424	25284	50432	45952	62906	55973	21105	53200	47430	23178	31545	66231	59730	30983	37035	22831	52241	32547	31132	32920	52931	53448	70184	92208	44016	1249139.4199999997
hsa-miR-10a-5p	39442	36763	29729	56825	36710	27492	58701	54442	47539	35047	20413	30852	31775	71912	28666	25599	13830	99863	43389	38666	61633	54543	70054	47764	37123	42768	1141531.0
hsa-miR-22-3p	77072	17056	9686	24850	24362	31238	114010	23776	14599	36904	43368	50991	22130	52574	39830	26751	12683	47887	13396	50821	63494	26960	58163	88248	51633	81643	1104125.0
hsa-miR-126-3p	35904	55401	25705	68013	18288	27494	41057	29924	54706	25018	17609	46045	34101	24724	24903	29253	12132	67946	51148	53596	36844	88852	96450	49289	36025	26276	1076703.0
hsa-miR-191-5p	42784	44040	13504	39661	14679	38014	40332	38486	23839	41025	11360	45615	53989	16406	27259	53550	18511	23406	27148	36519	17540	50769	64904	60726	61781	26759	932606.0
hsa-let-7d-3p	27019	23975	16077	33631	26466	11410	26765	30850	25751	24186	28081	23118	21615	46567	20591	19299	9085	37348	19549	23706	40301	22331	39324	40050	17992	58821	713908.0
hsa-miR-101-3p	98073	7646	3294	14372	36932	25613	49206	10459	11301	24187	34591	12683	23443	49013	28758	15112	12305	20580	5979	8004	17738	10471	12157	63014	24302	39315	658548.0
hsa-miR-423-3p	22910	16534	9467	16780	17560	22109	31052	25416	16907	37342	15407	39676	31248	22067	34718	31720	12618	16006	14280	26230	15754	21813	28351	50612	41012	24914	642503.0
hsa-miR-146a-5p	24826	23331	8941	18152	16262	24122	30693	11313	11560	28355	11811	37260	26601	33423	26309	18917	9556	26729	21751	50494	8791	23066	30602	60222	36713	17854	637647.0
hsa-miR-143-3p	25708	31363	11773	23518	10411	15999	57377	23256	53498	16363	10193	17464	20694	12989	15294	24822	5070	23447	10764	33702	30829	22870	41925	47758	20308	20643	628038.0
hsa-miR-128-3p	22602	31662	14498	34068	11150	13235	21542	30198	25193	14786	9604	20514	20166	16857	13398	19461	7327	27760	20633	27727	15339	33883	42367	30905	18498	13246	556619.0
hsa-miR-30e-5p	40105	13962	3590	12151	22167	21787	34042	8696	6600	25447	20384	19736	18681	30861	28753	18397	10452	13505	5945	12527	20290	9378	15088	54141	28445	34741	529866.5
hsa-miR-142-5p	36438	14662	5914	22291	14912	11271	36132	19299	9960	13519	8372	19258	11902	21014	13853	20051	4860	28718	8021	24625	28286	15562	34263	42206	24231	33257	522877.0
hsa-miR-24-3p	18243	21564	8290	20235	9441	13577	32793	21087	14076	13882	9663	31774	14426	14770	11583	21285	5140	21322	13687	30083	23748	22862	40138	38041	21802	22806	516318.0
