name	SRX2026434	SRX2026414	SRX2026415	SRX2026416	SRX2026417	SRX2026436	SRX2026437	SRX2026412	SRX2026413	SRX2026418	SRX2026419	SRX2026432	SRX2026433	SRX2026430	SRX2026431	SRX2026421	SRX2026420	SRX2026423	SRX2026422	SRX2026425	SRX2026424	SRX2026427	SRX2026426	SRX2026429	SRX2026428	SRX2026435
human_virus-hsa-bacteria_collection	0.02	0.01	0.01	0.01	0.03	0.01	0.03	0.01	0.02	0.01	0.05	0.01	0.02	0.07	0.01	0.01	0.0	0.02	0.0	0.01	0.02	0.01	0.02	0.01	0.01	0.03
hsa-bacteria_collection	1.58	0.45	0.39	0.76	1.6	0.52	1.85	0.43	1.02	0.95	2.57	0.69	1.15	3.76	0.53	0.6	0.38	1.14	0.33	0.51	1.34	0.49	0.89	0.9	0.77	2.05
human_virus-bacteria_collection	0.04	0.01	0.01	0.02	0.03	0.01	0.04	0.01	0.02	0.02	0.06	0.01	0.02	0.09	0.01	0.01	0.01	0.03	0.01	0.01	0.03	0.01	0.02	0.02	0.01	0.04
unmapped	3.4438080460010827	3.409633543036482	2.8444534985396746	3.9687358919653812	7.001625330079479	2.661601479892325	3.252572722441265	2.3986826355357316	5.62724625491433	3.1115760691791388	8.130864576995242	2.490528356573976	1.6398132832236838	8.195455888508208	1.64890229232388	2.494657975545863	2.7734817199477524	4.710402825179995	1.509435228628898	2.1673566156696706	6.973612690056017	1.7698457355478123	3.5647878348317756	2.1378590152859513	1.1083718205311976	6.206669068598395
hsa_HR-human_virus_HR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa	87.87	83.97	83.62	84.53	75.85	86.99	87.54	86.86	83.35	86.32	76.77	79.61	87.45	72.71	87.74	88.35	87.05	85.39	90.72	85.72	81.02	87.95	85.66	90.08	91.07	79.86
bacteria_collection	3.05	2.41	1.91	2.74	8.4	2.32	3.23	2.28	4.81	2.86	7.07	2.03	2.73	9.53	1.67	2.62	2.55	3.37	1.08	1.65	5.4	1.56	3.7	2.3	1.3	6.4
human_virus-hsa	0.02	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.02	0.02	0.04	0.02	0.02	0.06	0.01	0.01	0.01	0.02	0.01	0.01	0.02	0.01	0.02	0.02	0.01	0.03
bacteria_collection_HR-hsa_HR-human_virus_HR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa_HR	3.6	9.51	11.03	7.68	5.82	7.21	3.63	7.72	4.54	6.38	4.4	14.88	6.61	4.24	8.17	5.58	6.91	4.98	6.23	9.74	4.52	8.01	5.67	4.24	5.59	4.43
bacteria_collection_HR-hsa_HR	0.04	0.01	0.01	0.01	0.04	0.01	0.05	0.01	0.02	0.02	0.09	0.02	0.05	0.13	0.01	0.01	0.01	0.03	0.01	0.01	0.04	0.01	0.02	0.02	0.01	0.05
bacteria_collection_HR	0.3	0.2	0.17	0.24	1.15	0.25	0.29	0.26	0.54	0.28	0.74	0.22	0.28	1.11	0.18	0.3	0.3	0.3	0.09	0.15	0.58	0.17	0.41	0.26	0.09	0.83
human_virus	0.04	0.02	0.01	0.02	0.05	0.02	0.05	0.02	0.03	0.03	0.08	0.02	0.03	0.1	0.02	0.02	0.01	0.03	0.01	0.02	0.05	0.01	0.02	0.03	0.02	0.07
