name	SRX2026434	SRX2026414	SRX2026415	SRX2026416	SRX2026417	SRX2026436	SRX2026437	SRX2026412	SRX2026413	SRX2026418	SRX2026419	SRX2026432	SRX2026433	SRX2026430	SRX2026431	SRX2026421	SRX2026420	SRX2026423	SRX2026422	SRX2026425	SRX2026424	SRX2026427	SRX2026426	SRX2026429	SRX2026428	SRX2026435
mature#sense	41.69	19.36	13.0	30.22	23.16	24.33	41.2	29.7	27.72	27.81	20.79	19.75	25.69	28.79	28.42	28.87	16.84	39.67	26.52	22.35	30.45	27.0	34.07	38.84	33.33	29.7	729.2700000000002
Y_RNA #sense	17.85	23.69	34.94	22.36	24.08	33.8	21.59	25.06	33.85	28.33	15.5	17.47	36.68	13.57	35.9	21.06	41.26	13.72	45.51	24.18	20.76	38.02	22.49	27.54	22.71	18.35	680.27
un-assigned	10.998340218718727	19.776320360994305	19.574578197946465	14.895363813510025	21.497853953533912	13.044443066410457	10.067319378987197	12.005178158843743	16.770131254242738	13.495587573823084	27.170470060678547	19.14196224324076	12.220221439209284	23.017731612583503	11.384450003819339	14.221820510810721	11.26784058512641	13.108991889294954	6.758464522651361	13.459372368565571	22.90624351839219	8.76153460473933	13.784659314223125	11.186353223253944	10.80424818925824	21.35350235660017	392.6729824194582
tRNA#sense	12.41	24.81	21.59	21.98	9.2	11.71	9.97	22.4	8.39	12.04	4.96	26.6	7.85	7.26	10.86	14.1	15.54	20.16	14.55	31.59	8.36	19.59	17.76	6.3	15.55	3.99	379.52000000000004
rRNA#sense	8.34	5.22	3.79	5.17	11.7	7.67	9.03	6.35	6.34	9.35	12.5	5.4	8.43	13.49	6.22	10.34	5.9	7.4	2.26	2.99	7.74	2.87	6.41	6.64	7.91	12.92	192.37999999999997
lincRNA#antisense	3.37	0.99	0.8	0.55	2.53	3.34	2.15	0.47	0.89	2.33	8.06	4.79	2.06	3.78	1.87	3.93	2.75	0.72	0.25	0.77	1.22	0.22	0.62	2.86	3.42	4.56	59.300000000000004
misc_RNA#sense	0.58	0.67	1.12	0.66	0.81	1.11	0.69	0.68	0.96	1.26	0.58	0.55	1.21	0.59	1.36	0.68	1.64	0.4	1.35	0.81	0.66	1.14	0.63	1.06	0.89	0.72	22.81
sense_intronic#sense	0.22	1.29	1.67	0.7	0.62	0.61	0.27	0.44	0.46	0.63	0.81	1.8	0.75	0.32	0.81	1.16	1.66	0.53	1.08	0.95	0.6	0.46	0.47	0.42	0.37	0.17	19.270000000000007
antisense_RNA#sense	0.81	0.38	0.45	0.39	1.47	0.69	0.82	0.33	0.6	0.86	1.41	0.76	0.76	1.54	0.66	1.05	0.68	0.55	0.26	0.35	0.74	0.24	0.38	0.77	0.83	1.33	19.11
protein_coding#sense	0.63	0.62	0.42	0.54	0.76	0.5	0.7	0.49	0.64	0.57	1.21	0.56	0.7	1.18	0.39	0.67	0.33	0.58	0.25	0.39	0.99	0.3	0.57	0.62	0.54	1.16	16.310000000000002
protein_coding#antisense	0.42	0.31	0.27	0.25	0.6	0.35	0.43	0.2	0.39	0.42	0.99	0.37	0.49	0.8	0.25	0.39	0.24	0.32	0.1	0.2	0.54	0.13	0.26	0.42	0.45	0.78	10.370000000000001
lncRNA#sense	0.36	0.36	0.27	0.35	0.56	0.22	0.48	0.25	0.43	0.32	0.97	0.29	0.27	1.07	0.15	0.38	0.18	0.4	0.11	0.22	0.83	0.17	0.37	0.29	0.19	0.76	10.249999999999998
lincRNA#sense	0.41	0.22	0.17	0.25	0.42	0.21	0.49	0.22	0.31	0.25	0.86	0.24	0.36	0.97	0.16	0.28	0.14	0.36	0.09	0.18	0.49	0.14	0.27	0.29	0.26	0.56	8.600000000000001
lncRNA#antisense	0.19	0.24	0.24	0.23	0.39	0.22	0.28	0.16	0.31	0.29	0.68	0.23	0.22	0.63	0.13	0.36	0.23	0.28	0.12	0.21	0.55	0.14	0.24	0.24	0.15	0.5	7.460000000000002
processed_pseudogene#antisense	0.31	0.34	0.24	0.1	0.33	0.35	0.15	0.08	0.36	0.28	0.7	0.28	0.4	0.32	0.27	0.18	0.19	0.09	0.03	0.11	0.11	0.03	0.12	0.24	0.4	0.38	6.3900000000000015
otherRNA#sense	0.25	0.16	0.15	0.19	0.35	0.24	0.27	0.21	0.24	0.32	0.21	0.12	0.39	0.34	0.26	0.31	0.2	0.23	0.12	0.07	0.1	0.14	0.27	0.25	0.31	0.31	6.01
Mt_rRNA#sense	0.02	0.14	0.33	0.06	0.18	0.14	0.11	0.02	0.09	0.25	0.36	0.48	0.14	0.09	0.1	0.42	0.15	0.21	0.07	0.16	0.91	0.02	0.08	0.32	0.27	0.32	5.4399999999999995
retained_intron#sense	0.16	0.25	0.14	0.21	0.18	0.21	0.17	0.12	0.15	0.14	0.33	0.18	0.19	0.28	0.13	0.19	0.1	0.13	0.06	0.14	0.25	0.1	0.17	0.2	0.2	0.23	4.61
snoRNA#sense	0.1	0.29	0.11	0.2	0.08	0.48	0.1	0.16	0.14	0.1	0.13	0.16	0.24	0.16	0.11	0.26	0.07	0.08	0.04	0.14	0.16	0.1	0.22	0.33	0.4	0.18	4.540000000000001
retained_intron#antisense	0.11	0.21	0.18	0.1	0.14	0.1	0.11	0.11	0.17	0.14	0.28	0.12	0.13	0.22	0.07	0.27	0.1	0.14	0.05	0.17	0.41	0.03	0.1	0.14	0.17	0.27	4.04
antisense_RNA#antisense	0.13	0.09	0.08	0.11	0.19	0.06	0.17	0.07	0.13	0.11	0.3	0.09	0.12	0.43	0.06	0.11	0.06	0.13	0.06	0.07	0.22	0.06	0.13	0.1	0.07	0.22	3.37
snRNA#sense	0.09	0.1	0.07	0.06	0.13	0.19	0.13	0.1	0.11	0.1	0.1	0.13	0.17	0.12	0.06	0.18	0.07	0.21	0.04	0.1	0.18	0.04	0.09	0.24	0.21	0.26	3.2800000000000002
miRNA#sense	0.14	0.07	0.06	0.09	0.08	0.07	0.15	0.13	0.09	0.09	0.08	0.08	0.1	0.13	0.08	0.08	0.06	0.16	0.08	0.07	0.11	0.08	0.1	0.13	0.11	0.12	2.5400000000000005
