name	SRX2035111	SRX2035110	SRX2035113	SRX2035112	SRX2035098	SRX2035099	SRX2035094	SRX2035095	SRX2035096	SRX2035097	SRX2035090	SRX2035091	SRX2035092	SRX2035093	SRX2035102	SRX2035103	SRX2035100	SRX2035101	SRX2035106	SRX2035107	SRX2035104	SRX2035105	SRX2035108	SRX2035109	SRX2035083	SRX2035082	SRX2035087	SRX2035086	SRX2035085	SRX2035084	SRX2035089	SRX2035088
hsa-miR-451a	1107	1547	719	1462	398	9779	163	545	1537	1017	332	396694	371	176	1365	935	39	787	438	669	914	973	802	1530920	386660	357079	195	1462	277	461	724	784	2701331.0
hsa-let-7f-5p	2452	38	26	3090	1049	4511	100	887	450	164	41	52513	43	79	106	582	633	69	565	1501	162	145	325	169660	68216	60160	33	1043	52	3333	98	76	372201.26
hsa-miR-486-5p	1429	2201	684	1794	76	2392	25	78	228	98	29	69107	52	18	183	1362	4	117	69	1044	1352	181	1458	152660	62916	61634	37	219	43	102	1125	106	362823.0
hsa-miR-101-3p	505	39	0	182	297	4753	61	2249	565	158	92	69379	54	187	151	39	466	118	251	1501	6	154	37	114268	68714	70739	38	415	115	1292	9	77	336911.0
hsa-miR-21-5p	14894	144	90	4357	3170	19415	1215	7478	5999	922	1360	28630	41	860	144	1062	3401	63	2712	15684	286	183	1078	139004	25397	29207	276	12736	4011	10165	98	73	334155.0
hsa-let-7i-5p	5011	223	36	1313	196	3886	43	758	317	147	68	40982	25	50	102	187	198	50	149	2121	77	107	175	152185	41237	43989	19	437	46	842	56	42	295067.0
hsa-let-7g-5p	1580	75	22	1277	452	2144	31	733	392	113	20	45406	28	102	63	158	412	50	472	3248	58	120	94	92358	48268	50033	33	508	52	1868	42	39	250251.51
hsa-miR-144-3p	4	4	0	7	32	533	13	29	152	35	12	62201	21	10	103	2	0	75	12	0	0	76	0	62346	36967	56868	13	57	28	53	0	48	219701.0
hsa-miR-148a-3p	3954	188	43	2921	5789	2133	115	9234	3066	619	271	11051	11	396	75	282	10261	12	3996	48096	79	189	521	43278	8353	10038	14	1997	229	44228	62	46	211544.0
hsa-miR-92a-3p	1173	574	177	754	71	324	31	321	301	51	16	51833	26	59	69	373	15	49	109	610	382	143	376	38113	43405	51573	14	137	30	230	292	36	191667.0
hsa-let-7a-5p	2742	28	30	3771	1354	1388	45	386	407	50	28	22630	13	78	46	1609	561	27	907	3051	545	77	907	44619	27604	28156	20	529	37	4360	326	16	146345.71999999997
hsa-miR-203a-3p	6794	570	30	746	59	226	2204	3476	7890	420	659	82	7	465	24	11760	53	8	91	473	3436	137	11002	57587	2	2	196	11402	522	203	2199	6	122731.0
