name	SRX2035111	SRX2035110	SRX2035113	SRX2035112	SRX2035098	SRX2035099	SRX2035094	SRX2035095	SRX2035096	SRX2035097	SRX2035090	SRX2035091	SRX2035092	SRX2035093	SRX2035102	SRX2035103	SRX2035100	SRX2035101	SRX2035106	SRX2035107	SRX2035104	SRX2035105	SRX2035108	SRX2035109	SRX2035083	SRX2035082	SRX2035087	SRX2035086	SRX2035085	SRX2035084	SRX2035089	SRX2035088
hsa	81.57	46.24	72.76	65.07	91.92	64.82	54.11	53.04	27.27	35.46	31.35	91.46	20.18	40.48	23.98	26.37	90.74	38.08	86.52	81.39	24.25	19.14	42.74	53.08	94.07	93.54	79.6	70.04	56.13	86.42	37.13	25.98	1804.9300000000003
bacteria_collection	5.99	26.34	6.09	7.94	0.8	20.81	17.96	30.87	47.4	44.13	38.53	1.56	57.73	30.44	43.67	47.15	0.91	36.11	1.34	3.78	50.37	57.14	27.69	19.41	0.9	0.75	6.48	11.15	19.94	1.53	27.62	39.41	731.9399999999999
unmapped	2.7557793656832343	11.227965447011728	0.34590292014183355	15.310523800164061	0.2193799958433264	4.5796741862818715	5.388293633224121	7.048290607076044	21.923306192051026	14.320997587640212	18.165504263223752	0.434441165208962	14.263623507928024	19.972858490859508	13.117685479639801	12.128814443789953	0.16457426814079104	18.975496910226575	0.23928511994513335	0.2596102844458348	12.341189474384395	19.379079232420363	13.183720718049315	9.92478364952287	0.2292057899722467	0.20442437837696992	1.5230569297710723	4.9473290812014525	8.39115269347974	0.21556862916843064	24.38766204582444	15.861789666035135	291.4309699567322
hsa_HR	4.51	3.85	4.39	5.43	6.86	7.32	12.79	3.69	0.92	1.27	0.83	5.43	0.38	1.56	0.23	1.77	8.02	0.26	11.48	8.53	1.93	0.16	3.46	4.09	3.94	4.68	7.71	8.33	14.46	11.6	0.92	0.29	151.08999999999997
hsa-bacteria_collection	4.13	9.29	14.61	4.97	0.18	1.27	8.38	2.56	1.48	2.38	7.67	0.92	2.84	4.76	9.42	6.21	0.15	3.53	0.36	5.67	5.13	1.16	9.35	9.61	0.72	0.71	3.75	4.28	0.79	0.22	6.73	7.16	140.39
bacteria_collection_HR	0.59	1.43	0.07	0.27	0.0	0.92	0.15	2.54	0.83	2.24	2.23	0.02	4.22	2.08	8.08	5.51	0.0	2.35	0.01	0.0	5.27	2.9	1.78	1.99	0.0	0.0	0.09	0.39	0.25	0.0	2.21	10.17	58.589999999999996
human_virus	0.21	0.69	0.49	0.29	0.02	0.21	0.71	0.13	0.07	0.16	0.7	0.09	0.1	0.16	0.36	0.26	0.01	0.4	0.04	0.1	0.23	0.04	0.78	1.23	0.06	0.05	0.43	0.56	0.02	0.01	0.29	0.28	9.179999999999998
bacteria_collection_HR-hsa_HR	0.09	0.38	0.2	0.18	0.0	0.02	0.17	0.02	0.04	0.01	0.21	0.01	0.15	0.13	0.57	0.23	0.0	0.08	0.0	0.09	0.19	0.03	0.39	0.22	0.01	0.01	0.1	0.09	0.01	0.0	0.31	0.49	4.429999999999999
human_virus-bacteria_collection	0.06	0.18	0.22	0.12	0.0	0.02	0.17	0.03	0.03	0.01	0.1	0.03	0.04	0.13	0.17	0.12	0.0	0.06	0.0	0.06	0.09	0.01	0.2	0.2	0.03	0.02	0.2	0.11	0.0	0.0	0.14	0.15	2.7
human_virus-hsa	0.03	0.2	0.26	0.29	0.0	0.01	0.06	0.02	0.01	0.01	0.13	0.02	0.05	0.16	0.21	0.11	0.0	0.07	0.0	0.06	0.08	0.03	0.18	0.1	0.02	0.02	0.1	0.06	0.01	0.01	0.11	0.12	2.54
	sumhuman_virus-hsa-bacteria_collection	0.05	0.17	0.56	0.14	0.0	0.01	0.09	0.04	0.02	0.01	0.08	0.02	0.04	0.13	0.18	0.14	0.0	0.09	0.0	0.05	0.11	0.01	0.26	0.14	0.02	0.02	0.04	0.05	0.0	0.0	0.15	0.1	2.72
bacteria_collection_HR-hsa_HR-human_virus_HR	0.01	0.01	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04
hsa_HR-human_virus_HR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
