name	SRX2035111	SRX2035110	SRX2035113	SRX2035112	SRX2035098	SRX2035099	SRX2035094	SRX2035095	SRX2035096	SRX2035097	SRX2035090	SRX2035091	SRX2035092	SRX2035093	SRX2035102	SRX2035103	SRX2035100	SRX2035101	SRX2035106	SRX2035107	SRX2035104	SRX2035105	SRX2035108	SRX2035109	SRX2035083	SRX2035082	SRX2035087	SRX2035086	SRX2035085	SRX2035084	SRX2035089	SRX2035088
un-assigned	31.892922161577246	51.800289187172766	42.6737441557985	33.01828622965001	5.98560670882166	34.41361762480617	41.91248665955176	52.10977593078931	76.9301296046544	81.62170292098203	72.44465388873569	3.891477099783915	84.60884002970052	62.281523281803736	62.267878200490635	61.87179527540464	5.881347775445155	76.68124096487996	6.547749960726068	10.860666900613541	65.70547063697748	85.3688887131766	48.45550400082404	52.35487630231345	2.8778740237234	5.361482580131767	51.6019676225576	35.81432519071068	54.80949534485723	7.788808016819428	58.948222471309606	65.33399957115726	1434.1166490359465
mature#sense	11.08	2.41	3.42	6.13	8.43	18.3	2.52	9.71	2.12	1.01	0.98	79.78	0.16	0.95	0.44	2.76	9.38	0.35	6.74	11.98	1.12	0.38	3.43	5.43	83.61	78.17	1.1	4.42	3.1	12.69	0.91	0.34	373.3500000000001
tRNA#sense	10.34	1.13	1.89	5.47	55.37	9.95	7.43	9.51	11.0	2.68	1.0	0.83	1.79	2.06	1.34	2.32	56.96	0.85	60.12	37.13	2.05	0.68	3.57	1.51	0.61	0.62	2.95	17.93	11.2	46.37	0.96	0.41	368.03000000000003
rRNA#sense	8.94	9.18	9.27	17.73	4.23	5.4	13.69	5.56	0.95	2.91	4.44	2.86	3.87	15.02	13.42	11.48	8.25	3.4	7.1	10.15	11.35	6.87	15.47	10.33	2.3	2.8	17.5	8.55	7.22	7.81	17.43	13.1	278.58000000000004
Y_RNA #sense	3.64	0.68	0.35	6.01	19.57	19.03	2.03	5.8	1.14	0.45	4.08	7.32	0.03	0.56	0.09	3.0	12.96	0.04	13.0	15.71	3.19	0.05	1.21	1.61	6.55	8.06	1.39	8.86	1.01	18.88	0.94	0.09	167.32999999999996
lincRNA#antisense	15.59	3.55	5.74	6.46	2.8	2.43	4.1	1.85	0.41	1.77	0.63	0.68	0.96	1.99	1.84	2.08	3.24	3.75	1.56	5.03	1.86	0.24	4.98	5.15	0.59	0.81	8.09	4.88	11.21	3.16	3.4	1.88	112.71000000000001
lncRNA#sense	2.26	3.41	2.44	1.68	0.03	0.77	6.32	1.28	1.26	1.58	6.23	0.2	1.81	1.9	4.09	2.51	0.04	2.92	0.09	0.11	2.31	1.52	3.23	4.89	0.06	0.05	1.56	2.2	0.25	0.03	2.74	3.78	63.55000000000001
protein_coding#sense	1.35	4.98	8.68	2.1	0.2	0.68	3.5	1.01	1.21	1.31	1.72	0.23	0.96	2.38	2.31	2.62	0.2	2.59	0.24	2.2	2.5	1.08	3.27	2.91	0.2	0.23	1.64	1.92	0.93	0.2	2.61	2.05	60.010000000000005
antisense_RNA#sense	1.66	5.52	4.0	3.29	0.29	0.45	2.97	0.67	0.48	1.01	1.1	0.27	0.66	3.6	2.51	1.95	0.28	1.46	0.31	1.26	1.51	0.48	3.31	2.67	0.21	0.32	2.18	2.43	0.46	0.27	2.69	1.91	52.18
protein_coding#antisense	1.73	2.41	5.54	1.77	0.47	0.7	2.17	1.33	0.8	1.59	1.11	0.38	1.24	1.9	1.89	1.5	0.36	1.3	0.43	1.1	1.39	1.23	2.08	1.79	0.37	0.38	1.76	1.36	2.59	0.47	1.51	2.02	46.66999999999999
lincRNA#sense	1.01	4.15	4.07	1.84	0.04	0.41	4.46	0.44	0.63	0.49	1.54	0.24	0.8	1.48	2.78	1.8	0.05	1.39	0.07	0.58	1.52	0.38	2.74	2.81	0.14	0.18	1.49	1.77	0.27	0.04	2.05	2.55	44.21
lncRNA#antisense	0.47	2.07	1.48	1.22	0.11	0.43	2.23	1.38	0.87	0.99	1.32	0.11	1.03	1.44	2.24	1.62	0.18	2.0	0.12	0.08	1.48	0.58	1.61	1.62	0.04	0.04	0.62	0.95	0.59	0.15	1.42	1.97	32.459999999999994
processed_pseudogene#antisense	6.22	1.06	1.05	0.94	0.33	0.76	0.6	0.28	0.07	0.29	0.08	0.08	0.05	0.46	0.07	0.28	0.28	0.05	0.22	0.71	0.31	0.01	0.73	0.92	0.1	0.16	2.25	2.29	1.99	0.34	0.31	0.08	23.369999999999994
retained_intron#sense	0.4	0.83	1.8	0.7	0.09	0.97	0.82	0.92	0.35	0.3	0.82	0.3	0.32	0.56	0.62	0.41	0.06	0.45	0.05	0.18	0.35	0.28	0.69	0.89	0.21	0.24	0.62	0.84	0.68	0.07	0.45	0.5	16.77
antisense_RNA#antisense	0.32	1.45	1.83	0.79	0.01	0.07	0.7	0.25	0.16	0.29	0.41	0.03	0.46	0.69	1.32	0.91	0.01	0.54	0.01	0.34	0.72	0.2	1.31	0.63	0.03	0.03	0.23	0.33	0.09	0.01	1.12	1.27	16.560000000000002
Mt_rRNA#sense	0.29	0.01	0.03	4.21	0.17	0.42	0.18	3.47	0.03	0.41	0.08	0.02	0.0	0.19	0.03	0.1	0.12	0.0	0.53	0.05	0.13	0.07	0.05	0.53	0.02	0.02	0.17	0.61	0.14	0.15	0.04	0.05	12.319999999999997
snoRNA#sense	0.16	0.1	0.27	0.63	0.0	2.0	0.68	1.32	0.08	0.09	0.05	0.5	0.01	0.15	0.04	0.03	0.02	0.01	0.0	0.01	0.04	0.0	0.06	0.59	0.3	0.35	1.27	1.03	1.51	0.01	0.03	0.02	11.359999999999996
misc_RNA#sense	0.31	0.34	0.16	0.52	0.58	1.29	0.37	0.26	0.08	0.03	0.37	0.66	0.02	0.09	0.08	0.1	0.36	0.02	0.44	0.61	0.12	0.02	0.1	0.3	0.49	0.62	0.18	1.28	0.07	0.59	0.07	0.1	10.629999999999997
retained_intron#antisense	0.19	0.58	1.58	0.37	0.05	0.08	0.38	0.13	0.28	0.32	0.22	0.03	0.33	0.25	0.46	0.22	0.04	0.26	0.04	0.15	0.2	0.14	0.35	0.41	0.03	0.03	1.32	0.36	0.53	0.05	0.33	0.37	10.079999999999998
Mt_tRNA#sense	0.09	0.03	0.02	1.45	0.59	0.57	0.14	1.31	0.03	0.18	0.04	0.02	0.0	0.06	0.0	0.05	0.54	0.0	1.62	0.28	0.08	0.01	0.02	0.08	0.02	0.01	0.24	0.3	0.18	0.36	0.01	0.0	8.329999999999997
processed_transcript#sense	0.17	0.88	0.72	0.48	0.11	0.07	0.45	0.11	0.51	0.1	0.18	0.04	0.13	0.16	0.39	0.25	0.07	0.36	0.13	0.14	0.22	0.04	0.72	0.55	0.03	0.04	0.25	0.2	0.09	0.03	0.29	0.32	8.23
snRNA#sense	0.68	1.02	0.26	0.64	0.03	0.33	0.11	0.64	0.03	0.1	0.02	0.09	0.02	0.21	0.03	0.18	0.04	0.01	0.01	0.01	0.16	0.01	0.26	0.09	0.07	0.07	0.07	0.13	0.5	0.02	0.05	0.03	5.919999999999999
sense_intronic#sense	0.13	0.19	0.22	0.28	0.34	0.04	0.34	0.1	0.08	0.05	0.12	0.02	0.06	0.08	0.19	0.24	0.31	0.26	0.17	0.18	0.22	0.03	0.3	0.19	0.0	0.01	0.07	0.26	0.24	0.22	0.21	0.2	5.3500000000000005
processed_transcript#antisense	0.1	0.31	0.75	0.23	0.01	0.02	0.22	0.05	0.07	0.06	0.11	0.01	0.13	0.37	0.25	0.17	0.0	0.22	0.01	0.12	0.17	0.05	0.29	0.24	0.0	0.01	0.13	0.13	0.03	0.01	0.25	0.29	4.81
otherRNA#sense	0.22	0.1	0.08	0.49	0.08	0.11	0.3	0.11	0.01	0.03	0.04	0.09	0.01	0.1	0.03	0.05	0.17	0.01	0.11	0.37	0.06	0.0	0.08	0.18	0.09	0.11	0.68	0.34	0.08	0.17	0.08	0.04	4.420000000000001
nonsense_mediated_decay#sense	0.17	0.24	0.25	0.16	0.01	0.02	0.17	0.09	0.05	0.1	0.37	0.01	0.06	0.3	0.18	0.13	0.02	0.3	0.01	0.11	0.12	0.04	0.21	0.17	0.01	0.01	0.13	0.11	0.09	0.01	0.17	0.14	3.959999999999999
nonsense_mediated_decay#antisense	0.07	0.11	0.13	0.13	0.02	0.1	0.07	0.05	0.1	0.04	0.11	0.01	0.11	0.37	0.15	0.12	0.02	0.24	0.03	0.12	0.1	0.03	0.25	0.14	0.01	0.01	0.07	0.09	0.03	0.03	0.19	0.15	3.1999999999999993
