name	SRX2205015	SRX2204999	SRX2205014	SRX2205006	SRX2205007	SRX2205004	SRX2205005	SRX2205011	SRX2205010	SRX2205013	SRX2205012	SRX2205008	SRX2205009
hsa-miR-4765	0	0	0	0	0	0	0	0	0	0	0	0	6
hsa-miR-4645-3p	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-98-5p	23	0	53	0	6	13	116	0	353	9	0	84	213
hsa-miR-651-5p	0	0	2	0	0	2	0	0	32	0	0	0	53
hsa-miR-6505-5p	0	0	0	0	0	0	0	0	3	0	0	0	0
hsa-miR-6131	0	0	0	0	0	0	4	0	2	0	0	0	7
hsa-miR-6866-5p	0	0	0	0	0	0	0	0	28	0	0	0	23
hsa-miR-6130	0	0	0	0	0	0	0	0	3	0	0	2	2
hsa-miR-376a-3p	0	0	0	0	0	0	0	0	4	0	0	0	0
hsa-miR-148a-5p	0	0	10	0	0	0	5	0	38	11	0	0	11
hsa-miR-618	0	0	0	0	0	0	0	0	14	0	0	0	0
hsa-miR-185-5p	149	90	231	55	33	172	497	0	16860	103	0	1074	6424
hsa-miR-30b-3p	0	0	0	0	0	0	0	0	4	0	0	0	0
hsa-miR-1468-5p	3	0	0	0	0	0	0	0	32	3	0	0	6
hsa-miR-610	0	16	0	0	0	0	0	0	13	0	0	0	4
hsa-miR-150-3p	0	0	0	0	0	0	0	0	24	0	0	4	0
hsa-miR-342-3p	0	0	2	0	0	0	8	0	23	0	0	2	3
hsa-miR-7-5p	32	7	92	13	2	68	254	0	10106	63	0	85	4739
hsa-miR-548a-3p	0	0	0	0	0	0	0	0	7	0	0	0	0
hsa-miR-4754	0	0	0	0	0	0	0	0	8	0	0	0	0
hsa-miR-4797-5p	0	0	0	0	0	0	0	0	11	0	0	0	3
hsa-miR-6124	0	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4751	0	0	0	0	0	0	3	0	0	0	0	0	0
hsa-miR-7852-3p	0	0	4	0	0	0	0	0	0	0	0	0	0
hsa-miR-331-5p	0	0	0	0	0	0	0	0	2	0	0	0	0
