name	SRX2205015	SRX2204999	SRX2205014	SRX2205006	SRX2205007	SRX2205004	SRX2205005	SRX2205011	SRX2205010	SRX2205013	SRX2205012	SRX2205008	SRX2205009
hsa-miR-122-5p	1860	6030	11217	3801	2875	32094	23334	30	2396419	18217	0	8476	1612179	4116532.0
hsa-miR-451a	1710	507	7093	2465	1747	3694	12147	0	1717454	5558	0	6591	405496	2164462.0
hsa-let-7i-5p	663	112	2049	288	250	432	4775	14	254466	1716	2	2038	130802	397604.0
hsa-miR-148a-3p	797	592	1714	239	199	857	4280	0	290063	1406	0	827	87375	388348.5
hsa-miR-101-3p	386	194	1417	429	319	364	2426	0	291645	835	0	363	62697	361075.0
hsa-miR-21-5p	1977	1982	6526	169	154	1395	12509	101	155890	2114	11	3710	98752	285290.0
hsa-let-7f-5p	580	346	3267	958	479	1813	10015	266	130581	5285	5	9372	64105	227071.78999999998
hsa-let-7g-5p	328	57	1011	224	179	278	2922	3	147245	830	0	1991	65650	220718.14
hsa-let-7b-5p	602	496	4179	967	725	2011	6519	4	86627	5097	0	2999	86907	197135.65999999997
hsa-let-7a-5p	653	315	2405	614	329	1295	9263	15	64931	4122	0	6382	58329	148653.46999999997
hsa-miR-192-5p	40	39	199	78	29	130	493	0	93507	200	0	230	40025	134968.5
hsa-miR-423-5p	595	784	2001	367	334	928	2814	8	66578	1265	0	1393	54023	131090.0
hsa-miR-126-3p	207	132	1168	91	66	324	2846	0	84852	327	0	1180	32213	123406.0
hsa-miR-140-3p	172	381	548	83	53	86	628	8	64751	303	0	467	22985	90465.0
hsa-miR-486-5p	734	61	1657	165	99	1812	4943	25	18335	1259	4	901	38773	68768.0
hsa-miR-99a-5p	43	172	161	21	12	155	320	0	35465	80	0	348	25172	61948.0
hsa-miR-143-3p	43	193	1113	48	35	179	414	0	47180	516	0	589	10793	61103.0
hsa-miR-30d-5p	376	545	1034	40	30	135	1737	102	29198	287	2	1616	23963	59064.5
hsa-miR-26a-5p	617	241	2301	49	50	370	5669	2	21638	757	0	4119	12818	48632.020000000004
hsa-miR-151a-3p	597	621	1618	50	51	367	2521	113	22912	837	0	468	16355	46510.0
hsa-miR-27b-3p	41	75	189	35	25	278	493	0	32775	109	0	552	11860	46430.0
hsa-miR-320a-3p	487	474	981	286	381	264	1100	12	20621	277	11	2176	18564	45634.4
hsa-miR-25-3p	181	122	424	126	77	63	918	4	23346	331	0	363	16663	42618.0
hsa-miR-10b-5p	24	9	122	11	15	70	170	0	28941	109	0	287	12144	41901.5
hsa-miR-92a-3p	311	361	1129	144	210	363	2326	5	18560	580	0	1451	10872	36312.0
hsa-miR-26b-5p	221	17	539	117	107	79	1453	0	22571	236	0	594	9189	35122.009999999995
hsa-miR-183-5p	19	0	60	18	2	22	231	0	22727	177	0	64	10517	33837.0
hsa-miR-532-5p	41	41	111	21	21	13	228	0	24913	61	0	39	7371	32860.0
hsa-miR-100-5p	9	45	74	13	7	37	71	0	18861	65	0	102	12226	31509.0
hsa-miR-30e-5p	87	73	277	21	24	170	411	6	19102	66	0	234	9544	30014.5
hsa-miR-144-3p	216	57	680	587	553	126	2752	0	17011	367	0	326	4102	26777.0
hsa-miR-185-5p	149	90	231	55	33	172	497	0	16860	103	0	1074	6424	25685.5
hsa-miR-10a-5p	57	16	169	17	10	86	302	0	16051	93	0	212	8109	25121.5
hsa-miR-24-3p	120	106	569	42	24	291	689	0	15859	83	0	531	5654	23968.0
hsa-miR-16-5p	56	6	155	63	39	44	227	0	14954	31	0	108	7278	22960.66
hsa-miR-378a-3p	45	107	103	45	15	40	134	10	16242	37	0	82	5116	21974.25
hsa-miR-27a-3p	25	52	140	32	23	276	370	0	15084	99	0	391	4075	20565.5
hsa-miR-22-3p	1232	411	1692	41	47	1041	3208	10	5220	392	0	653	5201	19148.0
hsa-miR-7-5p	32	7	92	13	2	68	254	0	10106	63	0	85	4739	15461.03
hsa-miR-148b-3p	148	61	262	15	18	73	572	0	10389	110	0	223	3203	15073.5
hsa-miR-363-3p	32	3	62	27	14	15	162	0	9573	65	0	92	4237	14282.0
hsa-miR-7704	276	2490	2296	333	206	402	2410	0	6	1623	0	2812	6	12860.0
hsa-miR-182-5p	34	6	93	26	8	46	203	0	9871	158	0	162	2152	12759.0
hsa-miR-191-5p	335	149	579	35	39	146	1199	0	4329	176	0	1511	4203	12701.0
hsa-miR-215-5p	3	7	13	6	6	26	32	0	9015	17	0	47	3382	12552.5
hsa-miR-103a-3p	279	91	546	190	182	150	1155	1	6346	165	0	523	2859	12485.64
hsa-miR-142-5p	96	148	447	162	94	775	1075	0	4076	366	0	956	3248	11443.0
hsa-miR-20a-5p	6	2	46	7	0	137	63	0	7783	10	0	82	2863	10997.84
hsa-let-7d-5p	77	21	216	42	36	108	688	2	4142	125	0	945	4005	10406.8
hsa-let-7c-5p	125	88	468	172	94	384	1789	5	2489	938	0	1076	2286	9913.44
hsa-miR-30a-5p	17	28	50	12	0	40	104	0	5847	20	0	92	3167	9377.0
hsa-miR-16-2-3p	17	87	198	19	17	74	389	0	4697	83	0	110	2570	8261.0
hsa-miR-486-3p	10	5	33	4	7	2	79	0	4581	32	0	41	3047	7841.0
hsa-miR-106b-3p	26	10	44	6	6	15	146	2	4269	75	0	59	2812	7470.0
hsa-miR-29a-3p	59	82	223	48	35	463	522	0	2903	146	0	365	1193	6039.33
hsa-miR-106b-5p	13	86	101	28	12	1319	291	0	2183	91	0	105	1415	5644.0
hsa-miR-93-5p	37	48	87	20	16	148	103	0	3008	31	0	84	1849	5431.0
hsa-miR-423-3p	93	168	294	16	23	269	582	10	2184	88	0	319	1325	5371.0
hsa-miR-1-3p	321	48	103	68	35	130	3222	0	539	115	0	371	204	5156.0
hsa-miR-379-5p	10	32	36	7	0	52	124	0	2794	29	0	66	1188	4338.0
hsa-miR-186-5p	42	44	115	23	19	16	149	0	2746	61	0	70	896	4181.0
hsa-miR-1307-3p	33	278	110	4	7	83	248	3	2285	59	2	165	592	3869.0
hsa-miR-128-3p	75	130	427	8	4	128	827	0	993	98	0	293	846	3829.0
hsa-miR-146a-5p	214	213	526	17	28	124	395	26	744	110	0	785	457	3637.5
hsa-miR-3158-3p	0	4	2	5	0	2	50	0	2882	29	0	2	590	3566.0
hsa-miR-375-3p	9	14	36	15	9	24	27	0	1820	35	0	55	1175	3219.0
hsa-miR-17-5p	19	0	18	4	0	20	37	0	2004	5	0	36	1023	3164.84
hsa-miR-181a-5p	244	160	361	7	8	295	900	9	287	176	2	496	127	3071.5
hsa-miR-744-5p	78	102	230	10	16	79	357	0	1131	64	0	198	801	3066.0
hsa-miR-181a-2-3p	5	24	32	0	0	6	68	0	2211	7	0	19	647	3019.0
hsa-miR-19b-3p	15	5	47	4	4	23	32	0	2249	8	0	24	474	2885.0
hsa-miR-126-5p	8	5	75	5	14	44	94	0	1795	3	0	54	724	2821.0
hsa-miR-107	62	36	179	88	85	70	317	1	1428	46	0	81	390	2784.3199999999997
hsa-miR-222-3p	36	46	155	5	7	24	179	0	1283	36	0	101	901	2773.0
hsa-miR-30e-3p	8	3	21	10	0	72	135	0	1797	38	0	33	472	2586.5
hsa-miR-629-5p	12	7	21	3	2	17	39	0	1621	13	0	20	662	2417.0
hsa-miR-199a-3p	18	13	92	2	0	49	186	0	1127	17	0	235	542	2280.66
hsa-miR-370-3p	161	175	140	2	6	35	660	0	378	46	0	168	298	2069.0
hsa-miR-3615	19	10	47	23	8	21	110	0	1137	46	0	36	599	2056.0
hsa-miR-199a-5p	50	6	93	5	0	14	174	0	1285	31	0	104	274	2036.0
hsa-miR-144-5p	29	0	39	36	22	0	286	0	1328	45	0	11	234	2030.0
hsa-miR-146b-5p	106	196	496	7	5	134	563	24	107	145	0	157	86	2024.5
hsa-let-7e-5p	27	41	130	2	7	59	257	2	556	47	0	269	534	1930.5200000000002
hsa-miR-99b-5p	53	29	89	0	0	19	243	0	548	17	0	110	665	1773.0
hsa-miR-200a-3p	0	0	3	0	0	0	4	0	886	2	0	3	848	1746.0
hsa-miR-152-3p	10	11	16	2	0	15	41	0	1028	14	0	53	486	1676.0
hsa-miR-483-5p	0	0	15	0	4	12	9	0	707	0	0	0	914	1661.0
hsa-miR-342-5p	0	8	32	4	4	26	63	0	834	20	0	12	596	1599.0
hsa-miR-320b	30	118	79	19	17	224	103	3	324	61	6	309	304	1595.8000000000002
hsa-miR-340-5p	9	29	62	0	0	35	162	0	922	23	0	84	256	1582.0
hsa-miR-19a-3p	4	2	12	4	5	3	29	0	1261	4	0	6	206	1536.0
hsa-miR-151a-5p	132	1	230	16	15	3	756	0	127	21	0	15	119	1433.0
hsa-miR-221-3p	100	146	240	4	0	32	241	0	113	49	0	333	161	1419.0
hsa-miR-193a-5p	0	10	0	0	0	3	2	0	769	2	0	9	599	1394.0
hsa-miR-584-5p	37	62	209	0	3	60	271	2	392	56	0	67	209	1368.0
hsa-miR-127-3p	58	38	103	2	4	28	229	0	435	14	0	59	362	1332.0
hsa-miR-503-5p	0	2	10	0	0	18	4	0	923	5	0	6	339	1307.0
hsa-miR-206	62	0	9	10	2	7	574	0	301	11	0	45	178	1199.0
hsa-miR-199b-3p	9	6	46	1	0	24	95	0	573	9	0	117	268	1148.33
hsa-miR-652-3p	2	4	44	4	2	2	44	0	665	14	0	16	231	1028.0
hsa-miR-425-5p	56	50	121	5	2	113	223	0	164	33	0	115	145	1027.0
hsa-miR-4433b-3p	0	464	88	0	16	93	0	0	179	30	0	111	31	1012.0
hsa-miR-20b-5p	2	0	0	1	2	38	9	0	710	0	0	4	246	1011.83
hsa-miR-134-5p	17	96	30	2	3	63	101	2	332	10	0	62	284	1002.0
hsa-miR-23a-3p	38	17	33	8	9	10	129	0	266	31	0	215	230	983.5
hsa-miR-3168	2	32	12	0	5	775	37	0	9	0	2	24	28	926.0
hsa-miR-142-3p	23	4	23	9	2	10	97	0	616	5	0	13	85	887.0
hsa-miR-98-5p	23	0	53	0	6	13	116	0	353	9	0	84	213	870.2700000000001
hsa-miR-32-5p	5	0	10	0	0	6	39	0	659	8	0	3	138	868.0
hsa-miR-381-3p	36	37	41	4	9	13	142	0	435	10	0	34	104	865.0
hsa-miR-106a-5p	0	0	1	0	0	5	4	0	587	4	0	4	243	847.5
hsa-miR-493-3p	3	19	18	0	0	14	51	0	544	0	0	21	176	846.0
hsa-miR-361-3p	22	90	95	2	0	11	107	3	199	40	0	62	203	834.0
hsa-miR-125b-5p	2	16	21	2	7	14	52	0	367	8	0	38	280	807.0
hsa-miR-941	16	201	51	2	0	92	144	8	131	98	0	18	19	779.9599999999998
hsa-miR-15a-5p	13	0	19	20	11	6	41	0	386	2	0	7	266	771.0
hsa-miR-660-5p	3	2	16	0	2	0	26	0	564	2	0	4	145	764.0
hsa-miR-374a-3p	2	0	0	0	0	0	34	0	578	5	0	0	142	761.0
hsa-miR-30a-3p	5	3	8	12	0	68	38	0	478	28	0	23	86	746.5
hsa-miR-1180-3p	15	16	24	3	7	4	75	0	339	17	0	9	227	736.0
hsa-miR-4732-5p	2	0	5	6	0	3	11	0	389	0	0	5	301	722.0
hsa-miR-223-3p	22	0	25	0	5	14	49	0	102	11	0	418	46	692.0
hsa-miR-1246	7	33	63	13	11	95	44	0	109	45	0	199	58	677.0
hsa-miR-28-3p	20	36	76	2	0	6	68	3	168	4	0	49	225	657.0
hsa-miR-658	0	141	6	0	8	433	5	0	0	8	0	37	0	638.0
hsa-let-7d-3p	8	6	31	0	2	13	108	0	176	6	0	41	225	616.0
hsa-miR-29b-3p	8	3	8	3	2	7	27	0	294	2	0	18	236	607.32
hsa-miR-664a-5p	0	0	0	0	0	4	13	0	337	2	0	26	197	579.0
hsa-miR-320c	6	35	18	4	6	72	27	0	131	12	0	92	168	571.46
hsa-miR-550a-5p	0	0	0	0	0	0	1	0	300	0	0	4	262	568.02
hsa-miR-424-3p	0	9	19	0	0	6	12	0	301	2	0	9	202	560.0
hsa-miR-2110	7	0	9	0	2	0	54	0	228	7	0	16	234	557.0
hsa-miR-509-3-5p	6	99	25	2	0	176	53	0	7	72	3	103	7	553.0
hsa-miR-330-3p	16	12	55	0	0	2	34	0	136	11	0	26	256	548.0
hsa-miR-4443	2	84	16	0	0	158	100	0	0	185	3	0	0	548.0
hsa-miR-11400	4	2	16	0	0	21	34	0	256	2	0	15	194	544.0
hsa-miR-500a-3p	0	0	0	0	0	0	3	0	381	0	0	3	136	522.0
hsa-miR-411-5p	6	2	5	0	3	6	24	0	350	0	0	9	114	519.0
hsa-miR-10527-5p	0	4	2	0	0	0	0	0	325	0	0	0	183	514.0
hsa-miR-125a-5p	23	13	36	3	0	0	96	0	152	6	0	61	120	510.0
