name	SRX2359277	SRX2359276	SRX2359239	SRX2359238	SRX2359259	SRX2359258	SRX2359271	SRX2359270	SRX2359255	SRX2359254	SRX2359257	SRX2359256	SRX2359237	SRX2359236	SRX2359235	SRX2359252	SRX2359274	SRX2359273	SRX2359272	SRX2359266	SRX2359267	SRX2359268	SRX2359269	SRX2359279	SRX2359260	SRX2359261	SRX2359262	SRX2359263	SRX2359264	SRX2359265	SRX2359248	SRX2359249	SRX2359246	SRX2359247	SRX2359244	SRX2359245	SRX2359242	SRX2359243	SRX2359240	SRX2359241	SRX2359253	SRX2359275	SRX2359278	SRX2359251	SRX2359282	SRX2359280	SRX2359281	SRX2359250
hsa-miR-486-5p	879322	695109	3870251	1265934	66389	134739	1186404	262757	393379	467490	280106	248203	3433914	21595384	1737567	365149	743658	899627	1112866	800371	163087	513007	390126	1699858	1606693	1209795	395051	223705	4920851	293890	1388920	289895	1128792	355485	980668	1342435	16433516	720510	8395993	3983770	394537	351082	1301954	448009	776482	5709740	989138	173555	9.7019163E7
hsa-miR-92a-3p	297081	227701	791034	290995	22173	56926	251629	91375	107991	143812	72597	85970	2263758	4030613	350005	133248	199683	287498	263274	198862	119151	190829	115222	392048	401604	339782	92248	104724	964038	101745	428418	101307	82159	156980	274572	400883	3425259	181638	1806881	1489102	129756	107151	354431	200421	267497	1239849	589791	88864	2.431257738E7
hsa-miR-22-3p	90859	58893	326386	216839	3751	30136	51316	16134	38298	35727	27441	16284	803917	2282029	180038	23709	56410	112160	56414	124533	40101	62442	20483	137435	199762	36386	41352	76387	268601	32698	158849	73838	128344	40630	85275	126762	1296945	35528	769785	1061692	37994	31992	98178	38317	75497	146855	114171	100419	9887992.0
hsa-miR-16-5p	71000	100749	185694	107784	840	19256	69005	10754	33487	22702	19090	19292	331198	2381219	91142	25819	59202	127160	73827	72093	27520	68744	19981	121211	85861	37223	22759	23343	315661	32917	194052	44090	23006	29937	88120	121622	2853470	62591	437012	404119	41962	24880	97240	28891	74499	66982	82147	19710	9270863.68
hsa-miR-451a	61886	71658	186547	106751	940	13363	56681	9470	31552	34981	17720	23678	179017	2153482	83197	32388	44980	135594	66671	30415	25514	49341	17144	85146	84174	19858	13504	17082	314338	24899	219388	37600	73365	37140	59260	71660	3183782	40232	467880	192970	31458	17055	78973	42790	60920	123564	72413	21130	8823551.0
hsa-miR-423-5p	52625	36136	217494	131976	5302	15658	40876	15271	29104	27134	19260	8795	621014	1435030	148464	16782	38327	66500	40698	166669	14627	49899	24377	94816	124787	67640	41411	45186	167165	20045	116202	39947	133060	28025	68026	112943	625981	38314	481362	724243	24613	21548	62292	29872	49372	105668	82413	21095	6548044.0
hsa-miR-26a-5p	13532	6744	48649	92316	435	15347	11222	3061	21529	11025	5165	3654	685917	1086970	72571	9221	9736	30695	15573	11738	6227	16791	4878	22716	3283	2636	10120	13127	9350	6933	7705	14580	1445	2001	26183	35055	112843	8589	157873	963500	12896	6956	17114	6359	17205	16290	26586	3735	3688075.32
hsa-miR-191-5p	12993	9456	53441	85542	491	13008	14956	3008	24724	13500	6914	3788	614910	993215	83016	9475	13433	39684	18999	19757	4203	20060	5226	39070	2956	3279	13007	10135	11934	8118	9302	12945	1697	1427	26589	69170	139646	13767	186021	868245	18182	7444	21174	8833	12997	15016	30655	1854	3597262.0
hsa-miR-142-5p	32498	34839	108103	92824	788	9681	24290	3098	13730	10004	7394	6727	262517	593036	84944	9622	12007	28932	27518	28447	7386	26175	9352	55771	4676	2400	9836	9835	17884	7873	16085	9977	2738	2767	26249	172658	357003	20108	239561	346634	16834	9348	48026	12483	13612	12186	23347	3918	2875721.0
hsa-miR-30d-5p	18968	12907	33984	46923	916	6469	11962	2679	9882	12759	5764	3210	367436	477865	50589	7253	11795	30667	13731	26488	5110	19712	4499	35941	19950	7203	10902	10557	22672	4929	27663	12747	4915	3276	29031	64498	211973	13946	90430	465768	9675	8288	30917	12264	15679	49342	37561	3392	2385078.5
hsa-miR-25-3p	12813	16795	54347	24751	924	2800	10550	2521	6050	6371	4924	4846	110896	430259	22101	5104	9666	20035	13838	18382	6833	11860	4793	26299	13866	5177	3582	4592	50095	5246	27998	5855	9139	5226	18050	37927	389885	10403	184291	136214	6932	5436	17190	7485	14085	70400	18581	3860	1879271.02
hsa-let-7f-5p	10413	6061	24315	35373	1251	4932	6272	2956	6405	8446	3140	3638	384023	316393	18756	6017	5936	13632	9941	6855	6541	8719	4219	11536	3073	1796	3873	8504	8646	4822	8170	5469	1080	2176	15809	13319	69526	3620	127198	390325	4179	7504	6491	5126	6196	36365	20218	2323	1661576.7500000005
hsa-miR-181a-5p	15924	12494	22251	35102	3813	9155	11572	3172	15101	10192	4535	3849	151829	300474	34587	5652	7968	37670	14931	34064	3396	16807	8219	29146	9053	2862	12124	17265	13386	7355	35425	14759	5138	2044	23331	95971	113017	11469	68522	275071	8639	10493	31907	14077	13635	32502	22031	3957	1635931.5
hsa-miR-30e-5p	10446	15539	30568	34472	462	5553	7325	1630	8978	8152	5071	2924	135356	282921	28212	4704	7706	14437	8989	19745	5424	17798	2697	16717	14905	3412	6139	7081	26499	4588	23494	8670	3515	3000	21261	23467	269291	7586	75037	206566	9810	5271	14440	9233	12362	19310	18190	3073	1472015.5
hsa-let-7a-5p	5328	3179	11680	17230	631	1912	2855	1537	2361	3010	1384	1654	301352	296333	10774	2669	2785	8281	4619	4034	3540	3323	2242	5632	1827	937	1683	5757	5616	1900	5617	2611	582	1163	6812	6941	40633	1896	67453	422429	1780	3188	3998	2533	3750	22349	9324	1233	1320360.35
hsa-miR-15a-5p	8538	9217	36275	21434	487	1667	5450	2429	3490	4130	2296	2561	53023	222414	17627	2949	5732	8073	6320	7981	3848	5693	2629	11148	19593	8442	2886	4943	42374	3745	27926	5560	26229	6724	12685	7971	266376	4157	77913	80906	3086	4525	11747	4713	7674	14506	11952	4805	1106849.0
hsa-miR-21-5p	7799	5978	17984	24322	1012	5421	4077	1379	6156	5529	3733	1766	133681	148944	20598	3214	3164	6191	4632	9334	3458	8025	1643	10479	20576	3865	6200	6560	8601	3107	17109	18515	2217	3399	14826	19367	64209	3690	41872	226037	4627	4615	9175	3845	5503	15972	12111	4715	959232.0
hsa-miR-126-5p	5136	4154	16003	23925	236	6611	3161	996	7523	5012	2217	2478	151324	201945	19555	4731	3361	8094	4831	3951	2974	8477	1832	7718	3127	1501	2806	8031	8378	3304	5941	6513	661	1025	10889	7948	75381	3109	43068	212868	6499	2475	4645	5740	4463	3719	7460	2103	927899.0
hsa-miR-103a-3p	4723	4457	30403	17432	544	1712	2778	1712	2979	3729	1624	1813	89862	188216	15926	1854	3936	5883	4112	3273	1922	3912	1738	7966	4801	2647	1178	4374	21449	2078	10695	3371	18684	3339	9180	8468	126572	2621	66935	139806	2323	3046	6427	2709	4208	30336	8402	12586	898739.8200000001
hsa-miR-151a-3p	4586	2133	12934	14521	160	2373	2126	788	3885	2933	1718	1228	153516	181110	14285	1801	2888	6667	3120	2975	1460	4357	1108	11760	3588	911	1680	2251	3445	1560	4149	2941	483	1219	7555	13810	35169	1947	47891	205770	2161	1691	4570	2193	2783	9412	10458	596	802665.0
hsa-miR-186-5p	6805	7669	8756	13442	257	2510	5085	721	4167	3543	2439	1500	82611	167489	12033	2233	4728	12422	5548	16945	1859	7518	2344	14027	8987	3951	4540	2541	8957	2047	15671	6451	2038	1838	7494	26784	111845	4813	30953	112742	4431	3056	12113	3889	6214	8710	7767	1186	785669.0
hsa-miR-423-3p	4322	3593	19178	15828	594	1840	3310	900	2980	4153	1733	801	161754	147232	17573	2224	3345	7790	3773	9114	1554	6683	1296	7695	3751	2150	3314	3087	3094	1517	3513	2769	1750	763	8513	12556	41490	4296	39554	104645	2911	2451	6247	3449	3249	10679	11872	1639	708524.0
