name	SRX2359277	SRX2359276	SRX2359239	SRX2359238	SRX2359259	SRX2359258	SRX2359271	SRX2359270	SRX2359255	SRX2359254	SRX2359257	SRX2359256	SRX2359237	SRX2359236	SRX2359235	SRX2359252	SRX2359274	SRX2359273	SRX2359272	SRX2359266	SRX2359267	SRX2359268	SRX2359269	SRX2359279	SRX2359260	SRX2359261	SRX2359262	SRX2359263	SRX2359264	SRX2359265	SRX2359248	SRX2359249	SRX2359246	SRX2359247	SRX2359244	SRX2359245	SRX2359242	SRX2359243	SRX2359240	SRX2359241	SRX2359253	SRX2359275	SRX2359278	SRX2359251	SRX2359282	SRX2359280	SRX2359281	SRX2359250
human_virus-hsa-bacteria_collection	0.03	0.04	0.03	0.08	0.12	0.06	0.03	0.1	0.04	0.06	0.11	0.09	0.04	0.01	0.03	0.13	0.03	0.02	0.04	0.01	0.08	0.04	0.06	0.01	0.03	0.04	0.03	0.09	0.03	0.07	0.02	0.04	0.04	0.08	0.02	0.01	0.01	0.05	0.04	0.02	0.04	0.07	0.01	0.07	0.03	0.02	0.02	0.04
hsa-bacteria_collection	4.55	6.56	2.03	2.66	28.2	8.61	3.15	9.29	4.33	10.87	5.18	13.31	0.94	0.35	1.92	4.53	3.39	2.13	2.47	1.63	11.43	6.59	4.74	1.06	5.31	3.34	5.72	4.86	1.36	6.6	4.08	5.75	4.0	10.26	3.94	1.16	1.3	1.31	1.04	0.68	7.31	5.37	2.07	13.26	4.44	4.87	3.45	3.76
human_virus-bacteria_collection	0.04	0.05	0.03	0.04	0.08	0.08	0.04	0.1	0.05	0.06	0.04	0.1	0.02	0.01	0.02	0.05	0.03	0.03	0.04	0.02	0.06	0.06	0.07	0.02	0.04	0.05	0.06	0.06	0.02	0.08	0.03	0.06	0.03	0.07	0.03	0.02	0.01	0.02	0.02	0.01	0.05	0.04	0.02	0.07	0.04	0.02	0.02	0.08
unmapped	4.092981092764901	4.234051336855834	1.566937531396405	14.938544272967892	18.610152341230258	6.988568943994839	2.0910203960653386	7.5786160046158235	4.269267811660957	6.150526197367479	23.668022292376182	9.69327670850905	1.2318894313351978	1.6941271703100875	2.4478976527580762	33.152554988994886	3.443444824341006	2.1589912978779275	7.479841466604244	1.4458251224503889	13.632654152860422	4.319301506875453	5.0903670870270945	1.8348679996992618	3.5260656779727357	3.1928147645601177	4.182751516454339	21.30749480000961	4.913887829025902	7.809204721656179	2.9046512450151285	3.7569511614247433	7.653331398812409	5.808509778638949	1.9080209349773796	1.0964966465770971	1.3123368543900549	13.649693032631607	1.0566602742643294	1.4523891299018	4.546223499214853	17.569031484408566	1.9062034733069884	5.717481034842278	3.7198013256646574	2.5327618492465294	2.1963880293024376	2.421227436286179
hsa_HR-human_virus_HR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa	62.82	59.29	89.64	62.52	21.48	63.41	65.19	59.14	73.63	62.8	40.56	57.56	87.73	90.26	86.02	33.33	57.36	66.0	57.12	46.42	45.87	65.73	64.24	56.73	82.11	74.85	56.85	44.38	83.12	59.21	79.12	74.82	71.65	63.41	73.27	55.89	88.12	34.48	93.11	88.58	70.43	42.25	48.44	63.28	69.14	84.03	59.02	74.46
bacteria_collection	8.2	7.7	2.67	13.87	29.15	13.08	4.71	13.6	6.07	11.74	21.3	15.25	1.01	0.43	2.87	25.37	7.73	3.21	9.18	1.69	22.76	6.94	9.14	1.73	6.72	4.97	5.34	15.19	5.46	10.85	5.28	7.49	7.52	13.63	4.66	1.38	1.11	11.74	1.25	1.08	8.86	18.36	2.75	11.89	5.48	3.28	4.1	6.79
human_virus-hsa	0.04	0.03	0.61	0.31	0.06	0.06	0.14	0.08	0.05	0.04	0.04	0.04	0.58	0.16	0.44	0.04	0.08	0.08	0.08	0.02	0.04	0.04	0.15	0.02	0.02	0.02	0.08	0.04	0.02	0.06	0.02	0.04	0.02	0.05	0.05	0.03	0.01	0.03	0.79	0.47	0.03	0.05	0.01	0.03	0.02	0.02	0.04	0.03
bacteria_collection_HR-hsa_HR-human_virus_HR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa_HR	20.01	21.79	3.3	3.89	1.27	7.18	24.48	9.56	11.28	7.92	8.85	3.46	8.41	7.06	6.13	3.12	27.08	26.24	23.43	48.71	5.79	15.97	16.2	38.51	1.97	13.33	27.52	13.81	4.92	14.94	8.33	7.72	8.92	6.23	15.95	40.36	8.09	38.59	2.63	7.65	8.38	16.09	44.71	5.22	16.87	5.09	31.05	12.02
