name	SRX2359277	SRX2359276	SRX2359239	SRX2359238	SRX2359259	SRX2359258	SRX2359271	SRX2359270	SRX2359255	SRX2359254	SRX2359257	SRX2359256	SRX2359237	SRX2359236	SRX2359235	SRX2359252	SRX2359274	SRX2359273	SRX2359272	SRX2359266	SRX2359267	SRX2359268	SRX2359269	SRX2359279	SRX2359260	SRX2359261	SRX2359262	SRX2359263	SRX2359264	SRX2359265	SRX2359248	SRX2359249	SRX2359246	SRX2359247	SRX2359244	SRX2359245	SRX2359242	SRX2359243	SRX2359240	SRX2359241	SRX2359253	SRX2359275	SRX2359278	SRX2359251	SRX2359282	SRX2359280	SRX2359281	SRX2359250
hsa-miR-486-5p	489201.7248755607	470905.0052401137	597558.9063003482	413228.1690067285	529616.3633897873	311590.734072887	628029.7010887258	562441.6703055834	459418.047193885	501047.13051940675	515866.08764194767	506044.1162378664	251914.8280605227	497780.0832175766	507186.5933933138	493635.37799744227	559028.706997387	425551.12798884406	585027.0758739533	436336.4077156492	316863.90475061734	404986.8756044129	556066.9402392596	549112.8824890717	575501.2420235581	661392.6697620715	512131.41021486	300043.992950398	662101.6909197962	470785.1759297082	468259.6728668852	347501.7561188455	649403.2041210472	484333.76432455407	490562.1113817926	394216.989886413	515890.24217010534	550551.0400723768	566608.6245516932	257370.9307816995	450954.5738736051	497505.96584306855	521291.0055706436	446384.6064172477	480462.3931232574	683799.2321938237	409118.47063154273	273742.1708524642	2.3238351396782354E7
hsa-miR-92a-3p	165277.95008854146	154257.16052903808	122134.09700629022	94987.04595983122	176884.4782334687	131644.24649012656	133201.24144495046	195591.773479575	126120.1394444412	154135.39744158613	133700.56465960198	175278.3514823325	166071.19669876204	92906.83946892753	102164.60350629748	180134.48440883908	150107.34679027082	135995.36051556555	138401.58507281126	108413.1367967473	231500.06508759625	150647.53596873826	164231.92760351265	126645.16117917091	143850.5058537188	185758.185574495	119587.34019025494	140460.90663032778	129711.5906601322	162986.27964533726	144436.5928421257	121438.31527667562	47266.739884213486	213878.8256147756	137349.86768847515	117722.56351825966	107527.68104943258	138791.95266778584	121938.47076910728	96203.23657462411	148310.70770939987	151839.9170166817	141911.0755029815	199694.6445219181	165518.64534308843	148484.48339789204	243944.1128662009	140162.04817281774	6979206.378327743
hsa-miR-22-3p	50548.46747888552	39897.35203199213	50393.33655407503	70780.92770969892	29923.496047162815	69691.0201353767	27164.416287427433	34535.46017312682	44727.33005938651	38291.53742768154	50537.58688133309	33200.333552847536	58976.02934433746	52601.45341823619	52552.137501083664	32051.576690450634	42404.98906987163	53055.1156370682	29656.506226583613	67891.36770579263	77912.76707772235	49294.04566894945	29195.488475315036	44396.25486651566	71552.73540689479	19892.158325966575	53607.402778894095	102453.94823317337	36140.32944357555	52379.23604937085	53554.25854277558	88510.78724470348	73837.34543628203	55356.71222275661	42657.335661082405	37224.695476489724	40714.43202606839	27147.40579824208	51949.40253648676	68590.4703944967	43427.02479046009	45334.73906167633	39309.61335416969	38178.070003258144	46715.14509496236	17587.37459916283	47222.39456018662	158387.34150461585	2441409.3545666714
hsa-miR-16-5p	39500.11766584347	68252.9047572916	28670.777049482545	35183.022944498865	6701.076160921558	44530.471320905686	36528.18898421408	23019.359036928585	39108.67673765409	24331.583471414517	35157.70320194776	39333.13896472209	24296.964695093993	54887.8050074303	26603.86649553854	34904.030476643675	44503.81426900444	60150.575110641876	38810.41736430653	39302.77414029781	53468.97458863667	54269.07971343424	28479.9616865337	39155.342151746125	30754.54498238601	20349.74466463623	29504.03559307532	31308.76344936921	42472.2638131969	52730.054224635765	65422.57728246754	52851.38559574983	13235.538623598333	40787.93733233238	44080.49743130556	35715.292542257404	89577.75690172112	47826.59525776205	29492.01699341395	26108.054224156924	47962.436549383754	35256.573763894325	38934.179813847426	28786.246847721144	46097.61440096429	8021.773350591568	33977.05009795689	31087.886765014373	1841491.4464965707
hsa-miR-423-5p	29277.375945986092	24480.510638413183	33580.632565404136	43079.813665508635	42296.55453000726	36209.9148287672	21637.94294498565	32688.174804996877	33989.874511681686	29081.719051773474	35470.78908693106	17931.523802339354	45558.11095827602	33077.87223509057	43335.854330535134	22687.146653977077	28811.487610015425	31456.536999509943	21394.697954576877	90862.55341280425	28418.99314345889	39392.13325702106	34745.80982096151	30628.844918860177	44697.44592675374	36978.661825107985	53683.88848125323	60605.65416712493	22492.091136798845	32110.275448334414	39176.27401612605	47885.10547501516	76550.49853325194	38182.915580673245	34028.82340288234	33166.63338540871	19651.15010591067	29276.224548351922	32485.00334998518	46789.62264943268	28132.583070158293	30534.913644067317	24941.172513780464	29763.68993233623	30549.825074221248	12654.813926283327	34086.93278405777	33272.39834134847	1701791.4649905453
hsa-miR-451a	34429.63777279421	48545.063961905355	28802.478519768112	34845.829458437234	7498.823322936029	30902.611563214723	30004.409532848902	20270.906646802465	36848.835919206314	37491.98843333412	32634.599305317675	48275.454302648235	13132.838147638699	49638.40648388347	24284.76312599372	43784.48968114704	33812.735478865914	64140.11545731656	35048.55047740909	16581.275234449364	49571.49046709579	38951.62722769346	24436.237583400918	27505.100715715373	30150.278582212646	10856.331557111094	17506.151265384644	22911.206667614482	42294.253843562205	39885.944045302	73964.34143861433	45071.71917442036	42207.48027124627	50601.7300505336	29643.784359727273	21043.543631729175	99947.08782933746	30741.79323561347	31575.162491827494	12466.801173999642	35956.39695368462	24168.041219582705	31620.09916090003	42634.851774392984	37695.36059956166	14798.041299042974	29950.82163847907	33327.60260501034	1662457.0936887132
hsa-miR-142-5p	18079.92709724762	23601.85161976082	16690.88398860605	30299.75619572629	6286.247636674033	22387.80083390569	12858.049567807551	6631.390579914892	16034.942861647523	10722.102063608088	13617.394315097003	13715.220081675594	19258.468592388814	13669.657804233477	24794.703162066067	13007.7300145732	9026.000775783526	13685.722232628897	14466.049887317473	15508.385224211115	14350.357787488027	20663.522074641296	13329.893483432419	18015.960491581074	1674.896080148577	1312.0755230671077	12751.07404075262	13191.178876945816	2406.296520746033	12611.833305299917	5422.887450727075	11959.588888382765	1575.1936343307066	3769.924260900013	13130.605731665224	50702.43031491901	11207.240381513859	15364.783714001682	16166.917803079179	22394.243447935907	19241.210067974025	13246.722328974442	19229.190765215768	12437.739067533246	8422.67315300777	1459.3970029307702	9656.5786915826	6179.723000777591	666216.4224244279
hsa-miR-191-5p	7228.521532849355	6406.0136317477045	8251.182032275661	27922.754293014936	3916.9385654910534	30081.656156124904	7917.0436120267495	6438.742047896706	28874.57591488517	14469.050165804596	12733.387110438283	7723.0940492622485	45110.31636863824	22893.90387098212	24231.930185793895	12809.004561222311	10097.965222045483	18771.747583286506	9987.661959777042	10770.87801436844	8166.064687356103	15836.112810594248	7448.89043460413	12620.960291299645	1058.8094125147977	1792.6231833904358	16861.85645059672	13593.553423268517	1605.7225832354704	13004.301126943315	3136.0708154593253	15517.377784916796	976.2978807374759	1944.229100218402	13300.684818440575	20312.334817285893	4383.846327108972	10519.543335521243	12553.738783218438	56092.852698965224	20781.969909463212	10548.630831930439	8477.884588820196	8800.973258312999	8042.130691275492	1798.3181844746796	12679.248716771517	2924.2487094031785	621415.6425340588
hsa-miR-26a-5p	7528.388623298504	4568.755915028186	7511.306949499048	30133.934036075458	3470.2001547629498	35490.711641147675	5940.4294874407715	6552.190627862972	25143.210842564426	11816.390968740421	9512.285858463081	7449.89061668539	50319.449793672626	25054.97707881993	21182.99277492516	12465.62860781329	7318.825980930158	14519.67523608959	8186.634017559234	6399.178323260452	12098.521248671532	13255.44218358365	6952.867879831409	7338.05308362331	1175.9375173498242	1441.0962828353731	13119.24250634572	17606.56889859357	1258.0447589451692	11106.038397770142	2597.6591736308433	17477.27833944279	831.3202343345037	2726.280609346197	13097.59037952648	10294.186743096096	3542.4209057749504	6562.96634770044	10654.1541165946	62246.7892996251	14740.088216501903	9857.103179326725	6852.429527467574	6335.943501597686	10645.90740504692	1950.8925962368494	10996.265091635541	5891.083565059802	583217.229524134
hsa-miR-30d-5p	10552.372983477268	8743.910527175087	5247.060687203759	15316.679522236327	7307.364004052556	14959.888812574723	6332.152693705802	5734.504636408004	11540.954505375152	13674.860078925989	10614.53234177192	6543.629976533049	26955.414947271893	11014.931684788158	14766.660838502547	9805.140905809543	8866.258528356691	14506.430378405585	7218.305509221463	14440.40172316603	9927.315612668572	15561.388620260908	6412.659407823187	11610.02363320847	7145.888964705756	3937.866663605157	14132.353970645047	14159.560285095778	3050.4558023984387	7895.010852936701	9326.287569130436	15279.43267172205	2827.3517589182825	4463.415930143998	14522.00273127004	18940.217072110696	6654.376476922147	10656.319558159312	6102.722801008721	30090.84736389531	11058.495153121581	11743.925042937066	12378.696462182845	12219.533118980033	9701.667085366502	5909.20457234614	15535.44026835089	5350.081781173453	520733.996516049
