name	SRX2409152	SRX2409153	SRX2409150	SRX2409151	SRX2409149	SRX2409148
hsa-miR-6812-5p	0	0	0	2	0	0
hsa-miR-4687-5p	0	0	0	0	0	2
hsa-miR-506-3p	0	2	0	2	0	0
hsa-miR-671-5p	18	12	2	21	156	105
hsa-miR-3157-3p	7	31	33	24	44	59
hsa-miR-6855-5p	2	12	15	8	7	7
hsa-miR-361-3p	18765	13005	10347	18809	35580	20155
hsa-miR-484	12921	10071	10234	12437	28084	14935
hsa-miR-30b-3p	266	128	74	396	201	135
hsa-miR-1301-3p	3237	1532	261	4855	3750	1501
hsa-miR-3920	5	2	10	7	4	15
hsa-miR-629-5p	15826	24060	10360	33003	9030	14997
hsa-miR-2467-5p	0	0	2	0	0	0
hsa-miR-5006-3p	12	5	0	0	16	11
hsa-miR-493-3p	2568	1459	55	851	2938	3023
hsa-miR-4520-2-3p	0	0	0	0	0	3
hsa-miR-3190-3p	27	28	7	30	28	33
hsa-miR-122-5p	141238	81101	15697	5907	14969	480
hsa-miR-582-3p	117	87	1354	365	227	2645
hsa-miR-3918	2	2	2	5	2	4
hsa-miR-3916	0	0	0	0	2	8
hsa-miR-642a-5p	0	0	0	0	3	16
hsa-miR-4687-3p	9	4	0	10	13	5
hsa-miR-3911	4	0	4	0	2	0
hsa-miR-211-5p	0	0	0	0	4	0
hsa-miR-4724-5p	0	0	0	0	0	24
hsa-miR-671-3p	838	495	259	1330	2117	584
hsa-miR-92b-5p	117	169	208	254	140	36
hsa-miR-107	803	1895	365	951	874	3511
hsa-miR-6855-3p	0	0	0	0	0	4
hsa-miR-24-2-5p	207	121	71	183	100	559
hsa-let-7b-5p	115289	179414	340699	156479	261426	119679
hsa-miR-3909	45	44	28	47	76	111
hsa-miR-3907	0	0	0	0	0	2
hsa-miR-939-5p	50	50	189	91	198	46
hsa-miR-6889-5p	2	2	3	2	12	0
hsa-miR-629-3p	12	3	7	8	15	40
hsa-miR-10399-5p	15	20	14	15	40	183
hsa-miR-2467-3p	0	2	0	0	0	0
hsa-miR-664b-5p	119	62	40	98	191	77
hsa-miR-432-5p	3242	1635	571	848	27531	9929
hsa-miR-3688-3p	3	36	16	4	31	118
hsa-miR-6790-5p	0	2	0	0	0	0
hsa-miR-122-3p	0	5	0	0	3	0
hsa-miR-3679-5p	67	24	14	11	12	4
hsa-miR-19a-3p	157	232	198	135	104	364
hsa-miR-642a-3p	18	25	219	15	102	45
hsa-miR-5194	0	3	4	0	4	0
hsa-miR-211-3p	0	0	4	0	0	0
hsa-miR-18b-5p	4	4	0	0	4	4
hsa-miR-5193	2	8	0	0	34	47
hsa-miR-3155a	2	0	8	0	10	40
hsa-miR-5192	0	2	2	0	0	0
hsa-miR-6803-3p	0	0	0	0	0	3
hsa-miR-3912-3p	5	6	0	6	0	25
hsa-miR-92b-3p	640	1064	612	1279	2993	2035
hsa-miR-202-5p	0	0	0	0	25	0
hsa-miR-4715-5p	0	0	2	0	0	0
hsa-miR-27a-5p	87	65	63	153	119	1073
hsa-miR-6748-5p	6	0	3	0	0	4
hsa-miR-9899	0	0	0	0	2	0
hsa-let-7b-3p	163	293	397	174	501	614
hsa-miR-4804-5p	3	6	12	5	10	7
hsa-miR-4758-5p	0	3	0	0	0	0
hsa-miR-6837-5p	10	2	0	10	29	17
hsa-miR-1273h-3p	1471	890	680	2170	1996	1445
hsa-miR-10399-3p	758	534	407	1283	758	1355
hsa-miR-664b-3p	0	0	0	0	0	10
hsa-miR-432-3p	0	2	0	0	11	13
Hsa-Mir-1913_5p	5	0	0	6	0	3
hsa-miR-423-5p	208599	222201	463608	436529	242951	76666
hsa-miR-374b-5p	1076	665	394	1352	688	3928
hsa-miR-509-3-5p	7	0	6	2	7	13
hsa-miR-1228-5p	2	4	16	0	14	2
hsa-miR-377-5p	16	7	0	4	18	97
hsa-miR-6781-5p	3	5	11	2	0	0
hsa-miR-4433a-5p	0	0	0	0	4	25
hsa-miR-3120-5p	267	170	52	370	315	34
hsa-miR-3074-5p	51	39	4	53	108	307
hsa-miR-18b-3p	4	8	32	13	11	12
hsa-miR-202-3p	0	0	11	0	10	0
hsa-miR-429	7	5	6	14	37	48
hsa-miR-5196-5p	0	0	0	0	0	3
hsa-miR-27a-3p	11225	9848	13228	11232	9401	29840
hsa-miR-421	495	514	260	658	837	1668
hsa-miR-26b-5p	31206	19506	6501	37228	42004	69238
hsa-miR-6837-3p	37	37	27	50	61	63
hsa-miR-598-5p	6	0	0	24	5	4
hsa-miR-4749-5p	0	0	7	5	6	0
hsa-miR-3529-5p	0	2	0	0	0	0
hsa-miR-12136	37	11	0	23	104	131
hsa-miR-450b-5p	43	42	71	83	100	630
hsa-miR-423-3p	42795	24737	27528	71759	141188	78079
