name	SRX2409152	SRX2409153	SRX2409150	SRX2409151	SRX2409149	SRX2409148
hsa-miR-451a	254597	1627980	3580257	204605	223581	736862	6627882.0
hsa-let-7i-5p	882720	898226	236891	923463	667566	701100	4309966.42
hsa-let-7g-5p	718811	450395	124928	1073924	871099	922207	4161362.43
hsa-miR-148a-3p	335376	368847	566243	512082	383132	1608446	3774124.5
hsa-miR-151a-3p	608265	436836	307449	604634	761407	608796	3327387.0
hsa-miR-486-5p	194414	728391	381981	203586	309281	532122	2349775.0
hsa-miR-423-5p	208599	222201	463608	436529	242951	76666	1650554.0
hsa-miR-146a-5p	135735	70874	22212	140119	373459	791269	1533667.5
hsa-miR-221-3p	309356	118160	31179	610460	217715	134366	1421236.0
hsa-let-7f-5p	345043	222849	47177	501688	122071	169567	1408394.9
hsa-let-7a-5p	287106	193818	133346	493020	182441	102214	1391945.52
hsa-miR-320a-3p	248264	190004	162695	347765	291831	84403	1324961.9300000002
hsa-miR-26a-5p	242627	143242	26417	257607	203264	366612	1239767.98
hsa-miR-30d-5p	164975	147795	48500	143753	423375	291337	1219733.0
hsa-let-7b-5p	115289	179414	340699	156479	261426	119679	1172985.08
hsa-miR-21-5p	138436	89284	26806	171105	49186	154104	628921.0
hsa-miR-25-3p	63665	163142	67138	95630	60952	160024	610551.0
hsa-miR-191-5p	49542	38827	15791	51162	218979	214131	588432.0
hsa-miR-126-3p	129533	92759	12153	143164	40010	113953	531572.0
hsa-miR-140-3p	44961	40379	21321	60176	56254	270703	493794.0
hsa-miR-92a-3p	47229	93758	33174	63970	93975	139466	471573.36
hsa-miR-199a-3p	79383	32904	6535	203440	29384	71963	423609.52
hsa-miR-423-3p	42795	24737	27528	71759	141188	78079	386086.0
hsa-miR-185-5p	20370	42855	15291	8933	99227	121863	308538.0
hsa-let-7d-5p	64120	52580	20283	89202	43163	28849	298196.95
hsa-miR-106b-3p	36906	61926	19910	64235	34813	70345	288135.0
hsa-miR-27b-3p	34866	17278	5153	40292	56397	110889	264874.0
hsa-miR-122-5p	141238	81101	15697	5907	14969	480	259392.0
hsa-miR-103a-3p	36352	20610	1728	41321	33662	96526	230199.34
hsa-miR-744-5p	52442	29664	8440	56608	55874	25865	228893.0
hsa-miR-24-3p	29489	25500	14006	37253	34585	80839	221672.0
hsa-miR-143-3p	7122	5205	8815	9407	16902	170206	217657.0
