name	SRX2409152	SRX2409153	SRX2409150	SRX2409151	SRX2409149	SRX2409148
human_virus-hsa-bacteria_collection	0.02	0.01	0.01	0.02	0.02	0.0
hsa-bacteria_collection	0.41	0.59	0.69	0.39	0.48	0.36
human_virus-bacteria_collection	0.0	0.01	0.01	0.01	0.01	0.0
unmapped	0.2823370824784411	0.300763554342425	0.3307382086162502	0.2639996223309793	0.5424344466987231	0.2907106545107182
hsa	98.35	98.3	98.11	98.42	97.57	98.57
bacteria_collection	0.4	0.35	0.36	0.37	0.55	0.3
human_virus-hsa	0.03	0.01	0.01	0.04	0.01	0.01
bacteria_collection_HR-hsa_HR-human_virus_HR	0.0	0.0	0.0	0.0	0.0	0.0
hsa_HR	0.5	0.41	0.45	0.47	0.76	0.44
bacteria_collection_HR-hsa_HR	0.0	0.0	0.0	0.0	0.0	0.0
bacteria_collection_HR	0.01	0.01	0.02	0.01	0.04	0.0
human_virus	0.02	0.02	0.02	0.02	0.02	0.02
