name	SRX2409152	SRX2409153	SRX2409150	SRX2409151	SRX2409149	SRX2409148
tRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0
processed_transcript#sense	0.02	0.02	0.02	0.02	0.05	0.04
processed_pseudogene#antisense	0.01	0.01	0.01	0.01	0.02	0.01
IG_V_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0
Y_RNA #sense	19.24	7.31	10.96	22.92	10.71	10.72
retained_intron#sense	0.15	0.16	0.08	0.15	0.23	0.28
antisense_RNA#sense	0.11	0.09	0.09	0.12	0.26	0.13
Mt_tRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0
hairpin#antisense	0.0	0.0	0.0	0.0	0.0	0.0
sense_overlapping#sense	0.0	0.0	0.0	0.0	0.0	0.0
lncRNA#antisense	0.06	0.04	0.05	0.07	0.12	0.05
piRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0
transcribed_unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0
processed_transcript#antisense	0.0	0.01	0.01	0.01	0.01	0.01
asRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0
unprocessed_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0
protein_coding#antisense	0.05	0.05	0.04	0.06	0.1	0.05
vaultRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0
TR_V_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0
unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0
protein_coding#sense	0.32	0.24	0.25	0.3	0.36	0.2
pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0
rRNA#sense	0.26	0.21	0.27	0.24	0.47	0.66
rRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0
tRNA#sense	0.58	0.27	0.23	0.65	0.34	0.52
IG_V_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0
TR_C_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0
guide_RNA #sense	0.0	0.0	0.0	0.0	0.0	0.01
misc_RNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0
Mt_rRNA#sense	0.07	0.04	0.02	0.06	0.06	0.04
ribozyme#sense	0.0	0.0	0.0	0.0	0.0	0.0
transcribed_unitary_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0
sense_intronic#sense	0.01	0.01	0.01	0.01	0.01	0.01
TEC#sense	0.0	0.0	0.0	0.0	0.0	0.0
IG_C_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0
Mt_tRNA#sense	0.07	0.04	0.01	0.05	0.07	0.07
pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0
otherRNA#sense	0.09	0.06	0.06	0.08	0.08	0.08
vault_RNA #sense	0.0	0.0	0.0	0.0	0.0	0.0
mature#sense	76.52	89.16	85.44	72.85	82.03	83.14
gRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0
microRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0
otherRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0
non_coding#antisense	0.0	0.0	0.0	0.0	0.0	0.0
polymorphic_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0
non_stop_decay#sense	0.0	0.0	0.0	0.0	0.0	0.0
processed_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0
Mt_rRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0
lincRNA#sense	0.12	0.16	0.15	0.1	0.28	0.21
IG_C_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0
sense_overlapping#antisense	0.0	0.0	0.0	0.0	0.0	0.0
retained_intron#antisense	0.01	0.01	0.01	0.01	0.02	0.01
transcribed_unprocessed_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0
snRNA#sense	0.06	0.05	0.12	0.09	0.42	0.26
lncRNA#sense	0.08	0.07	0.1	0.09	0.16	0.07
hairpin#sense	0.04	0.02	0.01	0.06	0.03	0.03
non_coding#sense	0.0	0.0	0.0	0.0	0.0	0.0
antisense_RNA#antisense	0.02	0.02	0.03	0.02	0.07	0.03
macro_lncRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0
miRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0
unitary_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0
miRNA#sense	0.45	0.53	0.34	0.38	0.64	0.54
mature#antisense	0.0	0.01	0.01	0.01	0.01	0.0
snoRNA#sense	0.04	0.04	0.11	0.02	1.09	1.13
TR_V_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0
3prime_overlapping_ncRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0
un-assigned	0.7736592431459194	0.8902094974083539	1.0206831153958758	0.715152871779442	1.6095933993954779	1.0098768720549283
nonsense_mediated_decay#sense	0.01	0.01	0.02	0.01	0.03	0.02
non_stop_decay#antisense	0.0	0.0	0.0	0.0	0.0	0.0
scaRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0
asRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0
srpRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0
piRNA#sense	0.01	0.01	0.01	0.01	0.02	0.02
transcribed_unprocessed_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0
scRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0
transcribed_processed_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0
nonsense_mediated_decay#antisense	0.0	0.0	0.0	0.0	0.0	0.0
sRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0
snRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0
unprocessed_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0
srpRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0
TR_J_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0
macro_lncRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0
transcribed_processed_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0
3prime_overlapping_ncRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0
lincRNA#antisense	0.06	0.07	0.05	0.06	0.15	0.07
sense_intronic#antisense	0.0	0.0	0.0	0.0	0.0	0.0
misc_RNA#sense	0.61	0.27	0.4	0.7	0.34	0.36
snoRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0
scaRNA#sense	0.12	0.12	0.04	0.12	0.17	0.2
polymorphic_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0
IG_V_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0
TEC#antisense	0.0	0.0	0.0	0.0	0.0	0.0
