name	SRX2409152	SRX2409153	SRX2409150	SRX2409151	SRX2409149	SRX2409148
mature#sense	76.52	89.16	85.44	72.85	82.03	83.14	489.14
Y_RNA #sense	19.24	7.31	10.96	22.92	10.71	10.72	81.86
un-assigned	0.7736592431459194	0.8902094974083539	1.0206831153958758	0.715152871779442	1.6095933993954779	1.0098768720549283	6.019174999179997
miRNA#sense	0.45	0.53	0.34	0.38	0.64	0.54	2.8800000000000003
misc_RNA#sense	0.61	0.27	0.4	0.7	0.34	0.36	2.6799999999999997
tRNA#sense	0.58	0.27	0.23	0.65	0.34	0.52	2.59
snoRNA#sense	0.04	0.04	0.11	0.02	1.09	1.13	2.4299999999999997
rRNA#sense	0.26	0.21	0.27	0.24	0.47	0.66	2.11
protein_coding#sense	0.32	0.24	0.25	0.3	0.36	0.2	1.6700000000000002
retained_intron#sense	0.15	0.16	0.08	0.15	0.23	0.28	1.05
lincRNA#sense	0.12	0.16	0.15	0.1	0.28	0.21	1.02
snRNA#sense	0.06	0.05	0.12	0.09	0.42	0.26	1.0
antisense_RNA#sense	0.11	0.09	0.09	0.12	0.26	0.13	0.8
scaRNA#sense	0.12	0.12	0.04	0.12	0.17	0.2	0.77
lncRNA#sense	0.08	0.07	0.1	0.09	0.16	0.07	0.5700000000000001
lincRNA#antisense	0.06	0.07	0.05	0.06	0.15	0.07	0.46
otherRNA#sense	0.09	0.06	0.06	0.08	0.08	0.08	0.45
lncRNA#antisense	0.06	0.04	0.05	0.07	0.12	0.05	0.39
protein_coding#antisense	0.05	0.05	0.04	0.06	0.1	0.05	0.35000000000000003
Mt_tRNA#sense	0.07	0.04	0.01	0.05	0.07	0.07	0.31000000000000005
Mt_rRNA#sense	0.07	0.04	0.02	0.06	0.06	0.04	0.29
antisense_RNA#antisense	0.02	0.02	0.03	0.02	0.07	0.03	0.19000000000000003
hairpin#sense	0.04	0.02	0.01	0.06	0.03	0.03	0.19
processed_transcript#sense	0.02	0.02	0.02	0.02	0.05	0.04	0.17
nonsense_mediated_decay#sense	0.01	0.01	0.02	0.01	0.03	0.02	0.1
piRNA#sense	0.01	0.01	0.01	0.01	0.02	0.02	0.08
processed_pseudogene#antisense	0.01	0.01	0.01	0.01	0.02	0.01	0.06999999999999999
retained_intron#antisense	0.01	0.01	0.01	0.01	0.02	0.01	0.06999999999999999
sense_intronic#sense	0.01	0.01	0.01	0.01	0.01	0.01	0.060000000000000005
processed_transcript#antisense	0.0	0.01	0.01	0.01	0.01	0.01	0.05
mature#antisense	0.0	0.01	0.01	0.01	0.01	0.0	0.04
guide_RNA #sense	0.0	0.0	0.0	0.0	0.0	0.01	0.01
	sumtRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_V_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mt_tRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hairpin#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sense_overlapping#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
piRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcribed_unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
asRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
unprocessed_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vaultRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_V_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_V_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_C_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
misc_RNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ribozyme#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcribed_unitary_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TEC#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_C_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vault_RNA #sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
microRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
otherRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
non_coding#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
polymorphic_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
non_stop_decay#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
processed_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mt_rRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_C_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sense_overlapping#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcribed_unprocessed_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
non_coding#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
macro_lncRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
miRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
unitary_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_V_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3prime_overlapping_ncRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
non_stop_decay#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
scaRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
asRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
srpRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0
