name	SRX2409152	SRX2409153	SRX2409150	SRX2409151	SRX2409149	SRX2409148
hsa-miR-451a	36420.59965378565	210912.63458639177	493467.1976066078	22680.22244254041	28314.01185262444	65358.268974721665	857152.9351166718
hsa-let-7i-5p	126274.8730997991	116369.49600977673	32650.66541847724	102364.78217763834	84539.73600132413	62186.2618390176	524385.8145460332
hsa-let-7g-5p	102827.28505222076	58350.8240034285	17218.777640063625	119043.1816638572	110314.81276413858	81798.00827711365	489552.88940082234
hsa-miR-148a-3p	47976.122339179914	47785.837094417344	78045.26313076397	56763.68450830125	48519.34640743045	142666.1251351205	421756.37861521344
hsa-miR-151a-3p	87013.49995644068	56594.20364020506	42375.72789801234	67022.96432796352	96423.60854755645	53999.05642947343	403429.0607996515
hsa-miR-486-5p	27811.303593880068	94366.55537476903	52648.481270749464	22567.26749682086	39166.95023186917	47198.217309844775	283758.7752779334
hsa-miR-423-5p	29840.495634984043	28787.20765471986	63899.13923721237	48388.72374878288	30767.00387603133	6800.129534724292	208482.69968645475
hsa-let-7a-5p	41071.13233466322	25110.104466148365	18379.039010310487	54650.71046491375	23104.070452521522	9066.195895940808	171381.25262449816
hsa-miR-221-3p	44253.98188704703	15308.19598688439	4297.404838305302	67668.76954264665	27571.149115954086	11918.010657433077	171017.51202827055
hsa-let-7f-5p	49359.041732255115	28871.201737618685	6502.351785233603	55611.535616337576	15458.877907723778	15040.310103470692	170843.31888263943
hsa-miR-320a-3p	35514.5797296586	24615.99399990968	22424.20507586399	38549.38068870862	36957.12897573005	7486.373636231146	165547.66210610207
hsa-miR-146a-5p	19417.15768059559	9182.067386378167	3061.482288349125	15532.025553756357	47294.3067410171	70184.06721117256	164671.10686126887
hsa-let-7b-5p	16492.29586521187	23243.989315528706	46958.52375136608	17345.502981685408	33106.622584572186	10615.268948496583	147762.20344686083
hsa-miR-30d-5p	23599.925441318872	19147.4879128604	6684.7600839605875	15934.850159001546	53615.605132363424	25840.997811196667	144823.6265407015
hsa-miR-26a-5p	34708.22001830016	18557.646469374566	3641.011935765474	28555.39455380543	25741.135173453047	32517.792619731583	143721.20077043027
hsa-miR-21-5p	19803.541022366604	11567.171381965012	3694.6737899102577	18966.787033703364	6228.852125105379	13668.734012719488	73929.7593657701
hsa-miR-25-3p	9107.402981803649	21135.8303122232	9253.637577668987	10600.472482002586	7718.883314955944	14193.826841947148	72010.05351060152
hsa-miR-191-5p	7087.080162169424	5030.224488682805	2176.4751852746726	5671.247235430475	27731.22045914388	18993.015644484483	66689.26317518574
hsa-miR-126-3p	18529.94942970191	12017.37433604781	1675.0492639252168	15869.560205096917	5066.815222328838	10107.416075841145	63266.164532941824
hsa-miR-92a-3p	6756.248664550356	12146.842773106822	4572.375897429041	7090.9988986061435	11900.916007417145	12370.400600001343	54837.78284111085
hsa-miR-140-3p	6431.759137122027	5231.293549038633	2938.6756649510035	6670.438482453076	7123.934604271093	24010.845295678268	52406.946733514094
hsa-miR-199a-3p	11355.86983435196	4262.9145521702685	900.7656783926528	22551.083569367525	3721.1732807326616	6382.967526053755	49174.774441068825
hsa-miR-423-3p	6121.908593517429	3204.797259034861	3794.187125593135	7954.4003433653	17879.867723323267	6925.459968457178	45880.62101329117
