name	SRX2464402	SRX2464388	SRX2464389	SRX2464386	SRX2464387	SRX2464384	SRX2464385	SRX2464382	SRX2464383	SRX2464380	SRX2464381	SRX2464368	SRX2464369	SRX2464401	SRX2464400	SRX2464403	SRX2464367	SRX2464405	SRX2464404	SRX2464407	SRX2464406	SRX2464399	SRX2464398	SRX2464395	SRX2464394	SRX2464397	SRX2464396	SRX2464391	SRX2464390	SRX2464393	SRX2464392	SRX2464373	SRX2464372	SRX2464371	SRX2464370	SRX2464377	SRX2464376	SRX2464375	SRX2464374	SRX2464379	SRX2464378
hsa	90.63	89.9	88.76	93.72	88.42	91.98	91.73	94.2	92.9	93.45	92.3	93.04	94.86	90.43	93.1	93.94	93.03	92.58	93.78	91.93	95.05	92.89	91.57	94.13	92.23	91.54	93.12	90.94	88.08	79.42	93.69	80.89	75.38	91.05	91.52	86.01	92.51	93.5	75.3	82.55	92.36	3708.410000000001
hsa_HR	5.7	3.98	4.11	2.67	4.07	4.42	3.69	3.09	3.34	3.79	3.67	3.46	2.28	6.07	3.89	2.48	3.8	3.45	3.07	4.86	2.1	3.77	3.63	2.62	4.5	4.82	3.4	3.21	4.02	5.95	3.38	5.69	7.28	3.7	3.36	6.87	2.8	3.23	5.49	5.38	3.18	164.26999999999998
unmapped	1.086761366975957	2.819732916774037	4.197721750132206	1.4749732147916161	2.404155019458808	1.1442871191446897	1.290120821691834	0.8363903914551989	1.1072152254915142	0.8113000189199285	1.0872179568275564	0.985266067406713	0.7969504721360672	0.9828932302900014	0.9108425913046505	1.2368554338741267	1.2045389627561534	1.2747035661647421	1.0855362973080782	0.8524772801690449	1.0433804474431048	0.9513015882857759	1.598665308370939	0.8490026882647267	0.8828341005092921	1.0306526179348834	0.9044693166259702	2.872731039976983	3.902536247937638	6.09380349195481	0.8932823700374898	5.353015448338025	6.710237974020824	1.5770674232221233	2.2212880427360306	3.015445633117019	2.2618074408661575	0.9978591287854771	10.31917413745857	7.649111617091935	1.9374724149130185	90.65507818096374
bacteria_collection	1.09	1.57	1.65	0.91	2.51	1.1	1.3	0.77	1.12	0.81	1.21	0.98	0.83	1.0	0.86	0.92	0.95	1.11	0.84	0.9	0.68	0.93	1.29	0.81	0.9	1.06	0.99	1.41	1.97	4.33	0.87	4.4	5.83	1.61	1.23	2.09	1.21	0.87	5.42	2.64	1.17	64.13999999999999
hsa-bacteria_collection	1.34	1.5	1.13	1.11	2.17	1.21	1.8	1.02	1.35	1.05	1.55	1.42	1.13	1.39	1.12	1.3	0.91	1.42	1.12	1.34	1.04	1.33	1.74	1.49	1.38	1.39	1.46	1.41	1.78	3.51	1.05	2.97	3.81	1.81	1.5	1.75	1.09	1.28	2.73	1.53	1.21	63.64
bacteria_collection_HR	0.02	0.04	0.02	0.02	0.17	0.03	0.04	0.01	0.03	0.01	0.04	0.02	0.01	0.02	0.02	0.03	0.02	0.03	0.02	0.01	0.01	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.06	0.24	0.03	0.33	0.49	0.09	0.03	0.05	0.03	0.02	0.31	0.05	0.04	2.52
human_virus	0.03	0.06	0.02	0.02	0.09	0.03	0.05	0.02	0.06	0.02	0.04	0.03	0.02	0.03	0.03	0.03	0.02	0.03	0.02	0.03	0.02	0.03	0.03	0.02	0.02	0.04	0.03	0.03	0.04	0.14	0.02	0.12	0.18	0.06	0.04	0.06	0.02	0.03	0.13	0.05	0.03	1.8200000000000007
bacteria_collection_HR-hsa_HR	0.01	0.04	0.03	0.02	0.05	0.02	0.04	0.01	0.03	0.01	0.02	0.02	0.01	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.03	0.01	0.01	0.02	0.02	0.03	0.03	0.09	0.01	0.07	0.09	0.03	0.02	0.03	0.02	0.02	0.06	0.03	0.02	1.1100000000000003
human_virus-bacteria_collection	0.02	0.02	0.02	0.02	0.04	0.02	0.02	0.01	0.02	0.01	0.02	0.01	0.01	0.02	0.02	0.02	0.01	0.02	0.01	0.02	0.01	0.02	0.03	0.02	0.02	0.02	0.02	0.02	0.03	0.08	0.01	0.06	0.07	0.02	0.02	0.03	0.01	0.02	0.06	0.02	0.01	0.9600000000000004
human_virus-hsa	0.02	0.02	0.01	0.02	0.03	0.02	0.02	0.01	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.01	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.04	0.02	0.04	0.05	0.02	0.02	0.03	0.02	0.02	0.04	0.03	0.01	0.8700000000000006
	sumhuman_virus-hsa-bacteria_collection	0.04	0.05	0.05	0.02	0.05	0.03	0.03	0.01	0.02	0.02	0.04	0.02	0.02	0.03	0.02	0.02	0.02	0.03	0.01	0.02	0.01	0.03	0.02	0.02	0.03	0.03	0.02	0.04	0.06	0.1	0.02	0.08	0.11	0.03	0.03	0.07	0.03	0.02	0.15	0.09	0.03	1.5700000000000005
hsa_HR-human_virus_HR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bacteria_collection_HR-hsa_HR-human_virus_HR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
