name	SRX2464402	SRX2464388	SRX2464389	SRX2464386	SRX2464387	SRX2464384	SRX2464385	SRX2464382	SRX2464383	SRX2464380	SRX2464381	SRX2464368	SRX2464369	SRX2464401	SRX2464400	SRX2464403	SRX2464367	SRX2464405	SRX2464404	SRX2464407	SRX2464406	SRX2464399	SRX2464398	SRX2464395	SRX2464394	SRX2464397	SRX2464396	SRX2464391	SRX2464390	SRX2464393	SRX2464392	SRX2464373	SRX2464372	SRX2464371	SRX2464370	SRX2464377	SRX2464376	SRX2464375	SRX2464374	SRX2464379	SRX2464378
mature#sense	72.36	77.01	67.88	84.07	71.78	72.55	77.27	77.25	73.5	68.95	76.42	61.2	68.2	66.63	77.28	83.4	41.9	78.42	76.45	74.09	83.21	79.7	68.16	84.32	76.99	73.25	75.33	79.06	75.34	56.24	80.23	55.63	46.44	77.32	73.48	59.78	81.03	80.33	55.48	67.64	79.46	2955.030000000001
tRNA#sense	7.61	4.67	20.18	4.64	4.51	9.61	6.74	11.75	8.76	20.09	4.32	23.1	7.28	14.27	7.63	5.64	36.1	7.47	14.04	12.93	8.08	3.89	17.26	3.84	5.64	6.17	8.92	6.78	5.64	7.21	7.9	9.07	6.38	5.37	10.68	8.03	5.95	6.46	6.09	6.08	7.24	384.0199999999998
un-assigned	8.46194376272955	7.2921563601015	4.962029494850501	4.128570137428053	10.017011728210507	6.841133831267288	6.297527070422648	3.9505822188482616	6.0990156985210495	4.1408867116189585	7.498297571135163	4.553529134166359	3.9986081475546214	7.3506911067135094	5.468158601297159	4.174586569263686	4.0856805411592765	5.287662733288861	3.6064845645039223	5.032392475613654	2.9174232988922872	6.378590053702042	5.485257490266422	4.267236969295288	7.232382288184518	8.387167851966467	6.369283276003018	5.6508850538511615	7.766663578456647	17.054998656656394	4.60910251309166	17.060804806803716	23.7605508938056	7.213360273387367	5.926559863626085	14.010819395777872	5.120083285122946	4.809988882140829	19.28255536613192	12.070640220440385	5.453974665759259	304.07527714205645
Y_RNA #sense	2.64	2.99	2.4	2.34	4.03	3.32	2.34	2.64	4.55	2.22	2.96	5.5	15.37	2.95	3.34	2.34	13.27	2.62	2.0	2.08	2.33	2.53	2.61	2.17	2.04	3.06	2.26	2.29	2.58	3.64	2.1	4.31	5.77	2.92	3.76	4.48	2.53	2.78	5.14	2.99	2.07	146.26000000000002
rRNA#sense	2.89	2.32	1.35	1.5	3.1	2.57	2.11	1.24	1.83	1.32	2.71	1.49	1.28	2.95	1.85	1.21	1.36	1.94	1.04	1.71	0.95	2.46	1.73	1.71	2.48	2.52	1.86	1.75	2.86	5.42	1.61	4.73	6.03	2.33	1.76	3.81	1.58	1.69	4.76	3.32	1.75	94.88
lincRNA#antisense	1.9	1.64	0.74	0.8	1.53	1.56	1.44	0.79	1.39	0.85	1.89	1.05	0.94	1.78	1.24	0.63	0.72	1.04	0.61	1.11	0.48	1.53	1.1	0.94	1.84	2.18	1.68	1.25	1.57	2.36	0.9	2.29	2.84	1.17	1.1	3.4	1.02	1.03	2.38	2.68	1.11	58.50000000000001
protein_coding#sense	0.64	0.67	0.45	0.36	0.74	0.53	0.78	0.35	0.52	0.4	0.71	0.66	0.48	0.72	0.46	0.39	0.4	0.5	0.43	0.57	0.33	0.57	0.71	0.57	0.64	0.68	0.65	0.6	0.84	1.2	0.4	1.01	1.27	0.61	0.55	0.97	0.43	0.49	1.04	0.9	0.49	25.709999999999997
antisense_RNA#sense	0.51	0.49	0.26	0.27	0.66	0.45	0.47	0.26	0.48	0.29	0.56	0.34	0.31	0.46	0.36	0.25	0.29	0.36	0.22	0.34	0.19	0.41	0.45	0.29	0.47	0.56	0.46	0.38	0.51	1.23	0.29	1.03	1.28	0.46	0.4	0.89	0.32	0.34	0.97	0.69	0.33	19.58
processed_pseudogene#antisense	0.6	0.51	0.22	0.24	0.36	0.47	0.4	0.23	0.39	0.25	0.52	0.29	0.26	0.6	0.4	0.18	0.2	0.3	0.17	0.35	0.13	0.48	0.29	0.25	0.6	0.72	0.46	0.37	0.45	0.52	0.28	0.52	0.66	0.29	0.31	1.05	0.31	0.31	0.56	0.82	0.36	16.68
lincRNA#sense	0.24	0.29	0.17	0.19	0.46	0.25	0.28	0.18	0.4	0.18	0.29	0.22	0.2	0.24	0.19	0.21	0.17	0.25	0.17	0.2	0.16	0.21	0.3	0.18	0.22	0.28	0.23	0.23	0.31	0.82	0.18	0.68	0.85	0.3	0.25	0.42	0.19	0.21	0.63	0.31	0.2	11.940000000000003
miRNA#sense	0.28	0.25	0.22	0.27	0.29	0.24	0.28	0.25	0.24	0.25	0.27	0.24	0.25	0.24	0.28	0.31	0.17	0.32	0.27	0.27	0.29	0.3	0.28	0.31	0.29	0.26	0.3	0.25	0.27	0.26	0.28	0.23	0.22	0.29	0.26	0.22	0.26	0.25	0.23	0.25	0.26	10.749999999999998
protein_coding#antisense	0.26	0.25	0.15	0.14	0.32	0.22	0.22	0.12	0.21	0.13	0.26	0.15	0.15	0.23	0.17	0.14	0.12	0.18	0.1	0.16	0.09	0.21	0.2	0.13	0.23	0.28	0.21	0.2	0.26	0.58	0.15	0.51	0.63	0.21	0.21	0.45	0.16	0.16	0.54	0.38	0.18	9.65
sense_intronic#sense	0.36	0.32	0.19	0.17	0.26	0.27	0.2	0.12	0.18	0.13	0.24	0.14	0.12	0.46	0.24	0.16	0.12	0.2	0.12	0.24	0.1	0.27	0.16	0.15	0.29	0.32	0.16	0.19	0.29	0.37	0.19	0.28	0.4	0.21	0.19	0.53	0.19	0.2	0.29	0.39	0.2	9.61
lncRNA#sense	0.17	0.16	0.11	0.13	0.4	0.16	0.18	0.1	0.16	0.09	0.19	0.11	0.11	0.11	0.12	0.18	0.1	0.18	0.1	0.1	0.1	0.14	0.2	0.13	0.11	0.15	0.13	0.12	0.2	0.74	0.12	0.59	0.77	0.23	0.16	0.28	0.13	0.12	0.54	0.19	0.13	8.240000000000002
misc_RNA#sense	0.16	0.15	0.11	0.12	0.25	0.17	0.13	0.16	0.22	0.13	0.18	0.19	0.4	0.16	0.25	0.13	0.35	0.16	0.1	0.13	0.12	0.14	0.15	0.13	0.12	0.18	0.16	0.12	0.14	0.26	0.14	0.3	0.4	0.19	0.2	0.24	0.12	0.13	0.35	0.17	0.1	7.51
snRNA#sense	0.16	0.21	0.09	0.13	0.2	0.12	0.14	0.1	0.23	0.08	0.16	0.13	0.09	0.15	0.12	0.12	0.09	0.12	0.09	0.11	0.09	0.13	0.16	0.09	0.12	0.17	0.12	0.13	0.17	0.2	0.1	0.17	0.26	0.14	0.12	0.23	0.12	0.12	0.2	0.17	0.11	5.76
retained_intron#sense	0.13	0.13	0.08	0.09	0.15	0.11	0.12	0.09	0.12	0.09	0.15	0.1	0.09	0.12	0.11	0.1	0.07	0.11	0.08	0.1	0.08	0.11	0.12	0.11	0.14	0.14	0.14	0.11	0.13	0.24	0.1	0.2	0.24	0.12	0.09	0.17	0.09	0.1	0.18	0.15	0.09	4.99
lncRNA#antisense	0.09	0.08	0.07	0.06	0.23	0.08	0.09	0.05	0.1	0.05	0.09	0.07	0.05	0.06	0.06	0.09	0.07	0.09	0.06	0.06	0.05	0.08	0.12	0.06	0.05	0.08	0.07	0.06	0.1	0.41	0.06	0.32	0.45	0.12	0.09	0.15	0.07	0.06	0.32	0.12	0.07	4.510000000000001
antisense_RNA#antisense	0.07	0.07	0.04	0.04	0.14	0.06	0.07	0.03	0.07	0.04	0.08	0.05	0.05	0.06	0.05	0.05	0.05	0.07	0.03	0.05	0.03	0.06	0.07	0.05	0.05	0.07	0.06	0.05	0.09	0.33	0.04	0.23	0.3	0.09	0.07	0.13	0.04	0.05	0.19	0.09	0.05	3.3099999999999996
processed_transcript#sense	0.08	0.08	0.04	0.04	0.09	0.07	0.08	0.04	0.07	0.04	0.08	0.06	0.05	0.07	0.06	0.04	0.05	0.06	0.04	0.06	0.03	0.06	0.07	0.04	0.07	0.09	0.07	0.06	0.08	0.15	0.05	0.14	0.17	0.06	0.06	0.14	0.05	0.05	0.14	0.11	0.05	2.9400000000000004
retained_intron#antisense	0.05	0.06	0.03	0.03	0.07	0.04	0.04	0.02	0.04	0.02	0.05	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.02	0.03	0.02	0.04	0.04	0.03	0.04	0.06	0.04	0.04	0.05	0.13	0.03	0.11	0.16	0.05	0.04	0.09	0.03	0.03	0.13	0.07	0.03	1.9800000000000009
otherRNA#sense	0.05	0.04	0.03	0.03	0.04	0.04	0.03	0.02	0.05	0.03	0.04	0.06	0.11	0.05	0.05	0.03	0.07	0.03	0.02	0.03	0.02	0.04	0.03	0.03	0.04	0.05	0.03	0.03	0.05	0.06	0.03	0.06	0.08	0.03	0.04	0.06	0.03	0.03	0.06	0.05	0.03	1.7300000000000009
processed_transcript#antisense	0.05	0.04	0.02	0.03	0.06	0.04	0.04	0.02	0.04	0.02	0.05	0.02	0.03	0.04	0.03	0.02	0.02	0.03	0.02	0.03	0.01	0.04	0.04	0.03	0.04	0.06	0.04	0.03	0.04	0.09	0.02	0.08	0.11	0.03	0.03	0.09	0.03	0.03	0.08	0.06	0.03	1.660000000000001
nonsense_mediated_decay#sense	0.04	0.05	0.02	0.03	0.05	0.03	0.03	0.03	0.05	0.02	0.04	0.03	0.02	0.04	0.03	0.03	0.02	0.03	0.02	0.03	0.02	0.03	0.04	0.02	0.04	0.05	0.04	0.03	0.05	0.08	0.02	0.07	0.08	0.03	0.03	0.06	0.03	0.03	0.08	0.05	0.03	1.550000000000001
scaRNA#sense	0.03	0.04	0.03	0.04	0.03	0.03	0.04	0.04	0.04	0.04	0.04	0.03	0.03	0.03	0.04	0.04	0.02	0.04	0.04	0.03	0.04	0.04	0.04	0.05	0.05	0.04	0.04	0.04	0.04	0.02	0.04	0.02	0.02	0.04	0.03	0.03	0.04	0.04	0.02	0.03	0.04	1.4500000000000008
