name	SRX2539116	SRX2539117	SRX2539114	SRX2539115	SRX2539112	SRX2539113	SRX2539110	SRX2539111	SRX2539240	SRX2539118	SRX2539119	SRX2539241	SRX2539231	SRX2539248	SRX2539105	SRX2539104	SRX2539107	SRX2539106	SRX2539101	SRX2539100	SRX2539103	SRX2539102	SRX2539170	SRX2539109	SRX2539108	SRX2539198	SRX2539199	SRX2539171	SRX2539197	SRX2539194	SRX2539195	SRX2539192	SRX2539193	SRX2539190	SRX2539191	SRX2539196	SRX2539208	SRX2539092	SRX2539206	SRX2539207	SRX2539204	SRX2539205	SRX2539202	SRX2539203	SRX2539200	SRX2539201	SRX2539230	SRX2539249	SRX2539094	SRX2539189	SRX2539188	SRX2539185	SRX2539184	SRX2539187	SRX2539186	SRX2539181	SRX2539180	SRX2539183	SRX2539182	SRX2539128	SRX2539219	SRX2539218	SRX2539215	SRX2539214	SRX2539217	SRX2539216	SRX2539211	SRX2539210	SRX2539213	SRX2539212	SRX2539209	SRX2539138	SRX2539139	SRX2539222	SRX2539223	SRX2539224	SRX2539225	SRX2539226	SRX2539227	SRX2539130	SRX2539131	SRX2539132	SRX2539133	SRX2539134	SRX2539135	SRX2539136	SRX2539137	SRX2539242	SRX2539243	SRX2539158	SRX2539159	SRX2539246	SRX2539247	SRX2539244	SRX2539245	SRX2539152	SRX2539153	SRX2539150	SRX2539151	SRX2539156	SRX2539157	SRX2539154	SRX2539155	SRX2539178	SRX2539179	SRX2539237	SRX2539236	SRX2539235	SRX2539084	SRX2539085	SRX2539086	SRX2539087	SRX2539080	SRX2539081	SRX2539129	SRX2539083	SRX2539127	SRX2539126	SRX2539125	SRX2539124	SRX2539123	SRX2539122	SRX2539121	SRX2539120	SRX2539149	SRX2539148	SRX2539082	SRX2539141	SRX2539140	SRX2539143	SRX2539142	SRX2539145	SRX2539144	SRX2539147	SRX2539146	SRX2539099	SRX2539098	SRX2539093	SRX2539088	SRX2539091	SRX2539090	SRX2539097	SRX2539096	SRX2539095	SRX2539089	SRX2539239	SRX2539238	SRX2539075	SRX2539074	SRX2539077	SRX2539076	SRX2539071	SRX2539070	SRX2539073	SRX2539072	SRX2539174	SRX2539175	SRX2539176	SRX2539177	SRX2539079	SRX2539078	SRX2539172	SRX2539173	SRX2539220	SRX2539221	SRX2539163	SRX2539162	SRX2539161	SRX2539160	SRX2539167	SRX2539166	SRX2539165	SRX2539164	SRX2539232	SRX2539234	SRX2539169	SRX2539168	SRX2539228	SRX2539229	SRX2539233
hsa	90.75	88.81	76.44	90.09	89.4	83.19	89.43	86.01	69.81	93.33	86.99	81.03	74.68	86.65	83.21	89.62	78.23	59.7	92.07	80.0	94.41	95.32	86.35	80.19	89.77	78.99	87.37	92.49	82.42	80.6	85.74	89.46	84.28	86.33	83.48	85.54	89.03	92.1	84.33	76.79	89.11	78.37	85.42	80.86	72.59	89.76	78.28	84.27	86.81	70.71	80.73	93.45	92.91	82.61	81.97	88.44	70.28	83.08	64.96	86.36	82.1	78.25	80.83	75.16	81.26	80.32	83.82	90.25	84.95	89.28	80.52	91.93	84.78	88.93	86.69	83.52	88.1	89.14	92.8	74.42	89.54	84.37	88.56	79.27	82.74	88.59	75.65	76.32	85.63	88.55	85.88	88.31	92.59	87.43	86.44	92.86	85.27	75.76	88.5	91.17	82.38	83.63	80.47	82.39	89.93	71.68	85.01	76.6	89.14	90.89	82.61	88.79	92.47	95.11	80.63	89.68	90.47	74.78	85.47	92.74	85.79	85.66	88.31	86.43	79.16	77.67	88.01	86.21	83.75	87.23	76.58	80.52	82.13	88.02	87.87	84.24	89.16	91.9	89.63	86.49	91.56	90.43	92.0	86.77	89.59	85.71	91.34	89.64	90.88	90.16	90.67	96.96	90.49	93.12	86.83	85.86	80.82	94.04	84.09	89.23	91.77	81.01	89.63	87.53	89.98	93.42	87.68	83.1	90.34	62.3	82.5	82.65	86.35	84.77	87.33	81.79	87.62	80.49	82.83	87.15	15335.939999999997
hsa_HR	5.52	5.63	6.96	5.69	5.8	9.46	6.51	10.05	5.81	4.29	10.47	5.74	8.71	4.95	8.85	6.95	7.8	1.36	5.64	15.82	2.63	2.09	7.16	7.35	7.06	7.58	7.01	3.32	10.16	14.47	6.83	5.21	9.19	10.64	8.25	5.44	3.28	5.95	7.76	4.77	5.66	4.88	6.66	6.82	11.15	2.48	4.84	7.05	6.06	10.42	7.51	2.66	2.92	6.13	6.94	5.44	15.84	12.12	7.3	9.98	10.82	7.59	7.13	6.94	6.12	9.04	5.9	4.27	5.15	4.28	9.78	3.47	5.69	3.49	4.48	4.98	5.89	3.17	1.96	3.38	3.23	5.9	4.7	5.32	8.55	4.6	10.3	4.67	5.85	2.05	5.9	3.92	3.11	4.61	4.41	2.64	5.72	6.35	6.57	4.57	6.17	6.89	9.95	10.64	5.1	5.97	4.41	16.65	8.22	3.44	13.97	7.51	5.96	3.38	4.84	7.72	7.09	11.82	12.59	5.0	10.13	10.51	8.22	5.77	4.87	6.18	9.67	5.96	6.4	3.09	5.27	8.59	6.23	5.22	2.72	4.92	5.42	6.45	8.44	7.41	6.53	5.27	5.68	6.64	5.27	6.61	4.07	8.65	7.34	5.73	4.77	1.48	8.0	4.47	7.75	10.19	8.15	2.53	8.73	8.89	5.07	4.35	6.45	6.16	4.43	2.59	4.55	7.2	4.65	1.97	8.5	7.55	4.38	3.16	5.19	4.66	7.03	5.41	4.53	4.07	1154.9600000000007
unmapped	0.5692880199074403	1.381657703712955	4.365953922177258	1.1372814286714692	0.8834776432147036	1.6296351563205642	0.9436242346328994	1.1019865248018523	13.834156880074632	0.3754133332668786	0.5069234669263969	8.519722901800398	10.172655661816613	5.599370793722993	1.6072427295035308	0.953457968320227	2.833885510589222	21.20856565753999	0.6126165024455766	0.9724343325067121	0.6362367006744929	0.387457685295386	3.8961532480959837	4.037985985838554	0.9231711218476158	7.326819843809733	2.944846510441477	2.2214427412146365	3.853289166056619	2.572482926327098	3.4800344564769627	2.728066611302595	3.2562747731042303	1.5958739923453025	4.910649466823099	4.463038784215315	4.8988875963085885	0.21137874643833954	4.414926124501379	10.21366688798028	3.4720065140406553	11.20302916951257	4.305572242462438	4.693511337397895	7.797954280707889	3.577927562319937	10.088248961069349	5.718352670819932	1.4996321195131155	6.431452760218816	6.655711205350378	2.431664103730147	2.287855133082858	6.124929595283231	5.756567129886408	3.6700030993421833	6.23238185237354	2.6476537513703717	8.456357968404209	0.9763458329604287	4.3610337328278215	8.310412647049816	6.9006569723538576	6.684350879559099	7.825918573564592	4.408337946814915	5.545182803489879	2.7832259763982967	5.7615970751206484	4.165266626543783	5.5256266236427125	2.388604332311838	4.9617495649925845	4.527795045036871	3.946590156571377	7.622887820530776	3.994277161294487	4.906439116007521	3.0661698944051756	7.8482593479966605	3.961871103489714	4.83873918788368	4.424014543634643	5.870837250488588	3.886449811511875	3.466014295534833	6.565960698215763	10.018916295691099	6.186618500635562	3.3594686361226826	3.605032119229688	5.270365576019879	2.863275945350757	5.843271071550228	6.762266983717226	2.5272150148689665	4.77552889275784	8.708947017412433	2.911586318754765	2.7291357934125378	6.50128782245039	5.934774818822717	5.6470546090199925	3.180431190452635	2.617310765828839	12.186914651482558	6.615276364733623	4.511659729316939	0.43729759672745866	1.8766842037726164	0.2964479070381619	0.7359721719641877	0.42131902053756415	0.2614571425337574	7.090685164662952	0.4278932116653308	0.7554363968027585	6.039263424669062	0.4159914043135009	0.7009755332792466	0.7787693795613767	1.2749106344302152	1.307428428681543	3.932401911626609	7.920746113770545	7.911352911415472	0.3693372876310596	4.518395489481017	4.334179046385908	3.264483140791129	10.721578565608054	6.095275745671199	6.517969305728647	3.322578277636514	2.914053291624273	2.3866161034460234	1.8331073305316705	0.26690042259233576	0.2681237689815109	1.7645780943478204	0.3096927068492329	1.0869085526048001	0.3627958322459118	1.0933321070896254	2.902725943385932	4.766915965043571	3.179704636907298	0.2751611303916708	0.2576039368350526	0.642761256854224	1.7759226371803014	0.26591736106625324	0.19726901337511893	0.7804774685690069	2.4708283511318188	2.3169740452650243	5.3280568468634035	1.9375973702156932	3.368734998695964	0.4167829565540981	0.40203304515517496	6.302307588104637	1.8685731436767015	4.064557563415121	3.555463016565148	2.2445152769626255	4.369894877000337	5.561833997844514	2.5626240535176064	9.412074988618574	5.072842822517152	5.814457083402647	5.785178471031132	8.058650936640053	5.004005466196034	5.645403974930489	2.76088782385857	8.321940523278975	8.235342376266296	5.866422290633213	729.3211792004479
bacteria_collection	1.47	2.48	5.24	1.54	1.94	3.34	1.8	1.71	7.88	0.74	1.31	3.4	4.71	2.01	3.6	1.4	7.2	10.71	0.94	1.93	0.91	0.9	1.73	4.62	1.27	4.23	1.7	1.27	2.31	1.51	2.62	1.4	2.17	0.7	2.29	3.22	1.74	1.06	2.46	5.97	1.24	4.0	2.07	5.62	6.15	2.32	4.59	2.04	3.26	9.57	3.54	0.86	1.03	3.7	4.04	1.66	5.46	1.51	15.83	1.66	2.01	4.17	3.56	8.58	3.21	4.13	3.19	1.45	2.82	1.43	2.84	1.15	2.82	2.08	3.49	2.45	1.35	1.64	1.55	10.81	2.01	2.72	1.36	6.94	3.35	2.12	5.0	6.63	1.57	4.45	2.87	1.61	0.8	1.46	1.56	1.22	2.72	5.91	1.19	0.97	3.43	2.36	2.65	2.58	1.51	7.46	2.48	1.49	1.21	1.63	1.71	1.41	0.6	0.51	4.32	0.94	1.05	4.49	0.98	0.98	1.94	1.49	1.34	2.3	5.39	5.21	0.99	2.12	3.94	3.44	4.59	3.12	3.36	2.07	3.97	4.78	2.15	0.77	0.76	2.14	0.74	1.9	0.82	3.29	1.17	1.9	0.96	0.73	0.76	2.05	1.56	0.43	0.68	0.84	1.55	1.14	4.07	0.69	2.73	0.75	1.56	6.19	1.38	1.41	1.29	0.88	2.18	2.87	1.67	21.31	2.69	2.73	2.29	2.74	1.62	5.77	1.8	4.16	2.89	2.06	508.6800000000002
hsa-bacteria_collection	1.49	1.26	5.97	1.32	1.69	1.83	1.03	0.83	1.42	1.14	0.59	1.05	1.05	0.5	2.11	0.85	2.68	6.03	0.61	1.01	1.26	1.14	0.63	3.01	0.78	1.3	0.73	0.57	0.93	0.64	1.05	1.05	0.79	0.66	0.72	0.87	0.83	0.6	0.67	1.36	0.34	0.94	1.29	1.23	1.44	1.51	1.48	0.61	1.81	1.39	1.06	0.49	0.7	0.93	0.78	0.52	0.99	0.43	1.39	0.8	0.47	1.0	0.96	1.28	1.18	1.48	1.13	1.07	0.92	0.65	0.95	0.92	1.26	0.68	0.93	1.1	0.5	0.95	0.43	1.95	0.96	1.78	0.78	1.63	1.0	0.9	1.68	1.16	0.53	0.95	1.34	0.65	0.54	0.48	0.6	0.59	1.16	2.45	0.68	0.45	1.09	0.87	0.94	0.87	0.62	1.56	1.21	0.54	0.86	1.93	1.27	1.44	0.46	0.7	2.54	1.12	0.48	2.34	0.45	0.44	1.11	0.87	0.61	1.3	1.83	2.59	0.87	0.9	1.0	2.33	2.21	1.28	1.4	1.04	1.87	2.81	1.14	0.53	0.85	1.89	0.79	1.09	1.02	1.81	0.94	0.79	0.34	0.64	0.65	1.19	0.92	0.85	0.55	0.69	1.3	0.35	0.99	0.72	0.72	0.62	1.06	0.86	0.47	0.61	0.57	0.75	0.91	0.89	0.56	2.22	0.84	0.9	0.88	0.96	0.61	1.23	0.55	1.01	1.06	0.65	199.0200000000001
bacteria_collection_HR	0.05	0.24	0.13	0.1	0.1	0.35	0.16	0.21	1.1	0.03	0.07	0.16	0.56	0.24	0.39	0.15	0.94	0.08	0.08	0.14	0.02	0.05	0.17	0.39	0.12	0.43	0.17	0.07	0.22	0.15	0.18	0.07	0.22	0.02	0.27	0.38	0.17	0.01	0.29	0.77	0.15	0.5	0.15	0.65	0.74	0.22	0.56	0.25	0.35	1.32	0.4	0.08	0.09	0.41	0.43	0.21	1.09	0.16	1.93	0.12	0.19	0.57	0.54	1.21	0.31	0.49	0.31	0.11	0.31	0.14	0.29	0.06	0.38	0.23	0.38	0.22	0.12	0.05	0.16	1.43	0.21	0.27	0.12	0.79	0.37	0.24	0.63	1.07	0.17	0.56	0.31	0.19	0.07	0.14	0.17	0.12	0.23	0.59	0.1	0.08	0.35	0.25	0.26	0.26	0.18	0.95	0.17	0.16	0.05	0.01	0.01	0.01	0.01	0.0	0.2	0.04	0.11	0.18	0.02	0.09	0.13	0.09	0.1	0.08	0.67	0.21	0.03	0.21	0.49	0.46	0.43	0.29	0.24	0.24	0.47	0.56	0.15	0.01	0.02	0.06	0.01	0.13	0.02	0.19	0.03	0.16	0.08	0.01	0.01	0.12	0.08	0.0	0.01	0.05	0.01	0.11	0.55	0.05	0.3	0.02	0.01	1.19	0.16	0.17	0.14	0.07	0.24	0.27	0.17	2.54	0.32	0.27	0.24	0.22	0.2	0.78	0.19	0.5	0.36	0.13	51.54999999999999
human_virus	0.06	0.05	0.27	0.05	0.06	0.07	0.05	0.04	0.04	0.05	0.03	0.04	0.03	0.02	0.08	0.03	0.09	0.24	0.02	0.05	0.05	0.04	0.02	0.11	0.03	0.06	0.03	0.02	0.05	0.02	0.04	0.03	0.04	0.02	0.03	0.02	0.02	0.02	0.03	0.03	0.02	0.04	0.04	0.04	0.04	0.05	0.05	0.02	0.07	0.05	0.04	0.02	0.02	0.03	0.02	0.01	0.03	0.02	0.05	0.05	0.02	0.04	0.03	0.05	0.04	0.05	0.04	0.03	0.03	0.02	0.04	0.03	0.04	0.02	0.03	0.05	0.02	0.05	0.01	0.05	0.03	0.05	0.03	0.05	0.03	0.02	0.06	0.04	0.02	0.03	0.04	0.02	0.02	0.02	0.02	0.02	0.05	0.08	0.02	0.01	0.03	0.03	0.03	0.03	0.02	0.06	0.04	0.02	0.03	0.06	0.06	0.04	0.02	0.02	0.1	0.03	0.02	0.11	0.03	0.02	0.04	0.04	0.05	0.05	0.05	0.08	0.03	0.03	0.03	0.05	0.06	0.04	0.04	0.03	0.06	0.12	0.04	0.04	0.01	0.07	0.02	0.04	0.03	0.08	0.02	0.03	0.01	0.04	0.03	0.05	0.05	0.01	0.03	0.03	0.04	0.01	0.03	0.02	0.02	0.03	0.04	0.03	0.02	0.02	0.02	0.02	0.03	0.04	0.02	0.07	0.03	0.04	0.04	0.03	0.02	0.05	0.02	0.04	0.03	0.03	7.159999999999992
bacteria_collection_HR-hsa_HR	0.02	0.03	0.19	0.02	0.03	0.04	0.02	0.02	0.04	0.01	0.02	0.02	0.02	0.01	0.04	0.01	0.09	0.19	0.01	0.02	0.03	0.01	0.01	0.1	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.03	0.0	0.02	0.02	0.03	0.02	0.02	0.03	0.01	0.05	0.04	0.02	0.01	0.01	0.02	0.02	0.01	0.03	0.01	0.03	0.01	0.01	0.03	0.02	0.04	0.02	0.02	0.03	0.01	0.02	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.03	0.01	0.04	0.01	0.02	0.01	0.05	0.02	0.01	0.04	0.03	0.01	0.02	0.02	0.01	0.0	0.01	0.01	0.01	0.02	0.05	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.05	0.02	0.01	0.01	0.04	0.01	0.01	0.0	0.0	0.1	0.0	0.01	0.09	0.0	0.0	0.02	0.02	0.01	0.04	0.04	0.04	0.01	0.01	0.02	0.04	0.04	0.02	0.03	0.02	0.04	0.05	0.03	0.0	0.01	0.05	0.01	0.01	0.01	0.03	0.01	0.01	0.0	0.0	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.0	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.0	0.01	0.02	0.01	0.06	0.01	0.01	0.01	0.02	0.01	0.03	0.01	0.02	0.02	0.01	3.85999999999999
human_virus-bacteria_collection	0.03	0.04	0.15	0.02	0.03	0.03	0.02	0.01	0.03	0.01	0.01	0.02	0.02	0.01	0.03	0.01	0.04	0.2	0.01	0.02	0.02	0.02	0.01	0.06	0.01	0.03	0.01	0.01	0.02	0.01	0.02	0.02	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.02	0.02	0.03	0.03	0.03	0.01	0.03	0.02	0.02	0.01	0.01	0.02	0.01	0.01	0.02	0.01	0.02	0.02	0.01	0.02	0.01	0.02	0.02	0.04	0.02	0.02	0.02	0.01	0.02	0.02	0.03	0.01	0.01	0.03	0.01	0.04	0.01	0.03	0.02	0.03	0.01	0.03	0.02	0.01	0.04	0.02	0.01	0.01	0.03	0.01	0.01	0.01	0.01	0.01	0.04	0.05	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.03	0.02	0.01	0.01	0.03	0.01	0.01	0.01	0.0	0.07	0.0	0.01	0.07	0.01	0.01	0.02	0.02	0.01	0.03	0.03	0.05	0.0	0.02	0.02	0.04	0.04	0.02	0.03	0.02	0.04	0.06	0.02	0.01	0.0	0.04	0.0	0.02	0.02	0.04	0.01	0.01	0.0	0.01	0.0	0.01	0.02	0.0	0.0	0.0	0.01	0.01	0.02	0.01	0.01	0.0	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.03	0.01	0.02	0.02	0.02	0.01	0.02	0.01	0.02	0.02	0.02	3.6499999999999915
human_virus-hsa	0.03	0.04	0.12	0.02	0.04	0.03	0.03	0.01	0.02	0.01	0.01	0.01	0.02	0.01	0.05	0.01	0.05	0.1	0.01	0.02	0.02	0.03	0.01	0.06	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.02	0.0	0.01	0.01	0.02	0.01	0.01	0.02	0.01	0.04	0.03	0.02	0.0	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.02	0.0	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.03	0.02	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.01	0.03	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.03	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.0	0.05	0.01	0.01	0.03	0.01	0.01	0.03	0.01	0.02	0.03	0.02	0.03	0.01	0.01	0.01	0.02	0.04	0.02	0.01	0.01	0.02	0.05	0.02	0.01	0.0	0.04	0.01	0.02	0.03	0.03	0.02	0.01	0.0	0.01	0.01	0.02	0.02	0.0	0.01	0.01	0.02	0.0	0.02	0.01	0.01	0.01	0.03	0.01	0.01	0.01	0.01	0.0	0.01	0.02	0.01	0.04	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.01	2.929999999999994
