name	SRX2539116	SRX2539117	SRX2539114	SRX2539115	SRX2539112	SRX2539113	SRX2539110	SRX2539111	SRX2539240	SRX2539118	SRX2539119	SRX2539241	SRX2539231	SRX2539248	SRX2539105	SRX2539104	SRX2539107	SRX2539106	SRX2539101	SRX2539100	SRX2539103	SRX2539102	SRX2539170	SRX2539109	SRX2539108	SRX2539198	SRX2539199	SRX2539171	SRX2539197	SRX2539194	SRX2539195	SRX2539192	SRX2539193	SRX2539190	SRX2539191	SRX2539196	SRX2539208	SRX2539092	SRX2539206	SRX2539207	SRX2539204	SRX2539205	SRX2539202	SRX2539203	SRX2539200	SRX2539201	SRX2539230	SRX2539249	SRX2539094	SRX2539189	SRX2539188	SRX2539185	SRX2539184	SRX2539187	SRX2539186	SRX2539181	SRX2539180	SRX2539183	SRX2539182	SRX2539128	SRX2539219	SRX2539218	SRX2539215	SRX2539214	SRX2539217	SRX2539216	SRX2539211	SRX2539210	SRX2539213	SRX2539212	SRX2539209	SRX2539138	SRX2539139	SRX2539222	SRX2539223	SRX2539224	SRX2539225	SRX2539226	SRX2539227	SRX2539130	SRX2539131	SRX2539132	SRX2539133	SRX2539134	SRX2539135	SRX2539136	SRX2539137	SRX2539242	SRX2539243	SRX2539158	SRX2539159	SRX2539246	SRX2539247	SRX2539244	SRX2539245	SRX2539152	SRX2539153	SRX2539150	SRX2539151	SRX2539156	SRX2539157	SRX2539154	SRX2539155	SRX2539178	SRX2539179	SRX2539237	SRX2539236	SRX2539235	SRX2539084	SRX2539085	SRX2539086	SRX2539087	SRX2539080	SRX2539081	SRX2539129	SRX2539083	SRX2539127	SRX2539126	SRX2539125	SRX2539124	SRX2539123	SRX2539122	SRX2539121	SRX2539120	SRX2539149	SRX2539148	SRX2539082	SRX2539141	SRX2539140	SRX2539143	SRX2539142	SRX2539145	SRX2539144	SRX2539147	SRX2539146	SRX2539099	SRX2539098	SRX2539093	SRX2539088	SRX2539091	SRX2539090	SRX2539097	SRX2539096	SRX2539095	SRX2539089	SRX2539239	SRX2539238	SRX2539075	SRX2539074	SRX2539077	SRX2539076	SRX2539071	SRX2539070	SRX2539073	SRX2539072	SRX2539174	SRX2539175	SRX2539176	SRX2539177	SRX2539079	SRX2539078	SRX2539172	SRX2539173	SRX2539220	SRX2539221	SRX2539163	SRX2539162	SRX2539161	SRX2539160	SRX2539167	SRX2539166	SRX2539165	SRX2539164	SRX2539232	SRX2539234	SRX2539169	SRX2539168	SRX2539228	SRX2539229	SRX2539233
hsa-miR-3936	0.0	0.0	0.0	0.5863168309575287	0.4564185860494518	0.0	0.0	1.1956873947047788	2.515992275903713	0.0	0.0	0.0	0.0	1.5925773156472314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12433445321375343	0.6516022737009738	0.0	0.0	0.0	2.0174224603677358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.856014824361605	0.0	0.0	0.0	0.0	1.1876893622226894	0.0	0.0	0.0	0.0	1.6040722904050972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5374889109319063	0.0	1.838035948307077	1.8010435246181637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.301920593259176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4304998786459269	0.538826344620937	0.0	0.0	0.0	0.0	0.0	1.4195859564620086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7177563224462858	0.0	0.0	0.0	0.0	0.33206423915532157	0.0	0.24356934309591735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8518904898182901	0.0	0.0	0.0	0.0	0.0	0.9562892915362661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1729235294911096	0.0	0.0
hsa-miR-4733-5p	0.08528850114840968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6812-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8773431589302398	0.0	0.0	0.0	0.8575398981156847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4687-5p	0.0	0.3367914518288029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9671624180027611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5383172418347143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6766-5p	0.0	0.0	0.0	0.1758950492872586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44831610230394126	0.0	0.0	0.0	0.0	0.7616206169685519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.866838915904864	0.0	0.0	0.0	1.8959466556448965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1022150112866815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9757994207943996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.414815380740967	0.0	1.3452848438864202	2.05078445435071	0.0	0.0	0.0	0.0	0.0
hsa-miR-506-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.782528687870772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.930583273989022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.451189807532576	0.0	0.0	1.612466732795719	0.0	0.0	1.8010435246181637	0.0	0.0	1.3782233543255127	2.901031316633063	5.502733679481485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.597257189953412	0.0	0.0	1.0722860172831061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.3414893784380455	0.0	0.7975461101283571	0.0	0.0	0.6977624502626203	0.0	0.0	0.9384701435108543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7430516313141277	0.0	0.0	0.0	0.0	4.1510375777865525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6815123918546321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-671-5p	1.4072602689487597	2.1891444368872186	2.2650904858347283	2.6384257393088792	1.8256743441978072	5.324486909622159	7.036963409549511	1.1956873947047788	0.0	0.18265130423077042	1.567444307136323	6.963392907837888	5.879713721261768	4.24687284172595	5.898124227977668	2.2252075323910745	0.9275095626235906	2.781962312756549	6.372958263496332	5.132295172665807	0.0	1.4920134385650412	0.6516022737009738	0.6257810529767466	0.0	0.0	0.0	2.572619694347054	0.8441770216703055	3.0942054041844487	7.1791909493596435	1.0154941559580692	1.4411298457991064	0.0	2.287098960770821	0.0	0.7500264384319547	0.0	0.0	0.0	0.0	0.0	0.0	6.705457739690778	0.0	0.0	1.250469968296418	4.938218398544752	7.555477546864302	0.0	5.60271956007446	1.5125517595212108	1.351186333155596	1.612466732795719	9.188042971026231	3.676071896614154	0.0	4.92577109252125	4.300258373857296	5.650715752734602	0.0	0.0	0.0	1.6427275629424756	2.1060800952790637	0.0	5.072130771704408	1.6013137177740617	2.6954447753423794	0.602486582623805	1.28032366582272	2.1396222378071252	1.1174295544473138	0.7348100075244545	0.4754601919765617	0.8497378771083589	3.3893192382843944	1.5455186142261896	0.0	0.8414784945444845	0.9843287480839426	0.9770954177644742	0.0	5.858642669666292	1.864499372595961	0.0	10.035223634958706	7.647251654227987	0.7561653945444179	0.0	1.5208685984739605	1.1094318627166824	0.0	3.814666343055805	1.3470658615523425	0.0	0.0	8.601735352319912	1.8680473612274315	0.959674478416921	0.0	2.346130222427222	4.543311960836651	0.0	1.8615125658303235	1.395128212282709	2.8942471050293332	4.461863062076228	0.0	0.0	0.0	0.0	0.0	0.0	2.1399699303653783	0.0	2.3327080479504287	21.152027554041226	1.1433170829865271	0.6812742462665603	7.865881476897906	1.9923854349319294	5.848671474274619	5.358525548110182	0.6302817611585083	11.861961654464546	0.0	3.457648986390199	2.346175358777136	0.0	4.357374420469202	1.83660631884404	6.71946244300456	1.9876026596773724	0.0	0.5712048223395921	2.600680709599447	0.0	0.0	0.0	0.0	5.70767666945651	1.0309765495792327	5.099171448379281	0.0	7.625402679918444	3.1414956571066464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4743072475961418	0.43145617537830616	8.079445728477838	0.0	0.0	0.0	1.5556414039145123	0.0	2.8238775792591837	0.0	4.380366976194348	16.40301104606102	5.483019773140057	0.0	2.49539288089365	3.5370384518524176	1.738172172906415	0.0	2.05078445435071	0.0	0.0	6.451079412201103	3.3300066566833064	2.3914505642328674
hiv1-miR-TAR-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3247623221120928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3157-3p	1.7484142735423982	4.71508032560324	1.9630784210567644	0.5276851478617758	0.5705232325618148	3.296110944051813	2.345654469849837	0.7971249298031858	3.7739884138555695	2.10048999865386	0.0	1.6069368248856666	0.0	2.654295526078719	1.474531056994417	2.2252075323910745	3.7100382504943625	0.0	4.055518894952211	1.539688551799742	1.4736901530177828	1.119010078923781	2.606409094803895	3.7546863178604797	0.0	0.0	1.1207902557598532	0.8575398981156847	2.813923405567685	0.0	0.0	1.0154941559580692	2.401883076331844	0.8915982909843958	0.0	0.0	2.7500969409171674	0.0	0.0	0.0	0.0	1.0231513573381694	2.0319410980914485	0.0	9.923336710943126	2.0852939775266264	8.336466455309454	2.693573671933501	4.455794450714845	0.0	1.400679890018615	1.2100414076169688	1.6889829164444952	2.4187000991935785	2.417906045006903	4.7788934655984	1.2006956830787758	0.0	0.0	1.10257868346041	2.901031316633063	0.0	0.0	1.6427275629424756	0.0	4.364212757117595	0.0	1.6013137177740617	1.5402541573385025	0.602486582623805	0.0	2.8528296504095003	0.0	6.2458850639578625	1.426380575929685	7.647640893975231	1.6946596191421972	0.0	0.0	2.5244354836334537	1.7225753091468994	7.816763342115793	0.798628594976706	0.0	0.0	5.718858758843233	4.132150908512409	2.5490838847426622	0.0	1.8904298459383695	7.604342992369802	1.1094318627166824	1.0811830629429642	0.9536665857639512	1.3470658615523425	1.5351075253273554	7.233461413823434	0.0	1.8680473612274315	3.3588606744592235	0.0	0.9384520889708888	0.0	19.957746599342535	0.6205041886101078	2.790256424565418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8342599403131816	0.0	1.4355126448925717	7.93201033276546	0.0	0.45418283084437355	3.6707446892190227	1.6603211957766078	0.0	1.3396313870275456	0.6302817611585083	0.0	0.0	0.0	8.44623129159769	0.0	0.0	1.37745473913303	0.6399488040956723	0.0	3.1737719486166323	7.711265101584494	1.1145774469711915	0.0	0.0	0.0	0.0	0.0	0.3436588498597442	4.249309540316068	0.0	0.0	2.6927105632342685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9415527892023778	5.924926867550415	0.0	0.0	0.0	1.5556414039145123	0.5111342938909741	0.0	1.6416351506918465	1.6426376160728806	0.0	0.0	1.2750523887150214	0.83179762696455	5.659261522963868	1.738172172906415	1.6143418126637044	0.8789076232931614	0.0	4.82367653389899	4.1052323532188835	1.3320026626733226	0.0
