name	SRX2540520	SRX2540521	SRX2540509	SRX2540508	SRX2540518	SRX2540519	SRX2540514	SRX2540512	SRX2540513	SRX2540510	SRX2540511	SRX2540516	SRX2540517	SRX2540507	SRX2540515
hsa-miR-21-5p	614819	194955	384566	326545	574089	847809	263904	17388	12776	461911	365127	1370193	3142878	117208	433413	9127581.0
hsa-miR-451a	566417	102234	193425	111967	653002	334246	625256	13453	2836	164819	2249447	1312217	541388	46938	54623	6972268.0
hsa-miR-486-5p	566667	334669	206523	171693	524058	684164	294050	9546	11216	101331	410898	847498	1017532	71417	215388	5466650.0
hsa-miR-148a-3p	134592	110474	114767	57763	317113	192846	463704	14184	7811	71529	101826	1107811	1036545	42425	505252	4278639.18
hsa-let-7f-5p	156687	88072	114803	172411	395170	707302	267538	7908	4427	98836	208167	795759	401117	52243	279262	3749701.6299999994
hsa-let-7a-5p	193052	84368	133064	190141	365082	551471	437211	10647	7357	127711	188059	467791	431201	57204	337532	3581891.6500000004
hsa-miR-22-3p	148895	75120	36417	36824	241072	115230	153376	6465	3107	38143	70999	353972	1836913	10121	83199	3209853.0
hsa-let-7i-5p	121740	77265	75689	109121	312635	378595	143434	6308	2944	92380	392025	502632	258625	35557	161611	2670557.84
hsa-miR-122-5p	44387	34766	79854	16043	539969	251629	38973	2680	5777	30377	191235	78645	1159726	102541	83572	2660174.0
hsa-miR-26a-5p	174829	75888	151060	313775	179905	276999	141750	7118	4947	248412	151621	441796	182359	84090	220052	2654601.34
hsa-miR-92a-3p	174555	132012	123641	136075	288293	319160	187468	7876	7424	73389	110973	322942	333623	63492	110137	2391060.68
hsa-let-7g-5p	60230	43895	51582	75211	164918	335720	133374	3342	2196	58720	421368	440272	179346	24864	160766	2155805.0999999996
hsa-miR-30d-5p	132403	54320	142724	185946	150657	209442	55610	4945	4210	150845	84186	256203	178206	60624	140531	1810847.0
hsa-miR-320a-3p	228653	58478	58782	48418	199318	96037	60288	6185	6237	40682	60788	82968	398678	16758	98132	1460401.58
hsa-miR-101-3p	56816	58023	41694	17493	82030	62930	83873	1831	1166	26676	391017	299569	140757	8625	27658	1300158.0
hsa-miR-27a-3p	54644	26362	25312	9928	46882	30250	132431	3368	1224	8006	19672	381259	175765	4700	61185	980988.6700000003
hsa-let-7b-5p	69671	17262	38511	32400	99924	81531	97154	2800	2664	42475	199070	65555	138445	16136	77069	980668.74
hsa-miR-24-3p	58804	23738	31855	23924	41482	51358	99721	2519	1759	18744	14583	225501	221441	6448	110093	931970.0
hsa-miR-126-3p	93600	23120	57937	68107	44459	89586	24374	2100	2138	69237	88068	174660	90211	17105	53145	897847.0
hsa-miR-423-3p	60250	28699	43727	74443	66791	85773	56671	2610	2633	64522	18434	154623	81611	22920	112310	876017.0
hsa-miR-146a-5p	54477	18605	21679	50356	126026	129660	6380	1913	910	35416	24601	164141	90414	10894	59375	794845.0
hsa-miR-191-5p	56776	19389	40302	76909	48439	87402	39126	1771	2335	46315	22738	110147	66571	18771	97332	734323.0
hsa-miR-140-3p	56314	12018	24655	25229	35674	48647	55859	1208	1099	20154	131474	164474	54513	6610	89631	727559.0
hsa-miR-143-3p	30877	13240	65792	22271	23200	21008	145664	1299	601	20488	15432	172809	49585	11149	105320	698735.0
hsa-miR-185-5p	73349	52398	31562	32992	50776	97979	37933	1627	1102	15770	62450	102248	75572	8107	39422	683283.5
hsa-miR-423-5p	71125	19146	18591	16277	68070	28461	78274	3076	3093	72515	104068	28148	101950	9006	48302	670102.0
hsa-miR-103a-3p	32314	16519	16315	37857	35281	112447	23989	940	923	12944	37992	144156	59371	6044	55135	592226.3200000001
hsa-miR-99a-5p	26236	7703	10284	7770	49405	9547	13567	1075	781	5832	5150	48251	346709	3847	47214	583367.0
hsa-miR-25-3p	27831	17386	29689	35939	32752	64823	56655	1028	718	15166	89927	118675	56366	7755	28100	582809.67
hsa-miR-151a-3p	33794	10662	50667	66709	34047	57787	10434	1106	875	61069	44122	57540	36948	17585	28119	511464.0
hsa-miR-30e-5p	28340	19688	26009	25797	43300	48455	33061	1562	540	24113	52616	105113	48620	9780	36048	503037.0
