name	SRX2540520	SRX2540521	SRX2540509	SRX2540508	SRX2540518	SRX2540519	SRX2540514	SRX2540512	SRX2540513	SRX2540510	SRX2540511	SRX2540516	SRX2540517	SRX2540507	SRX2540515
hsa	85.56	65.63	82.28	89.68	86.2	90.3	79.5	70.09	69.57	95.8	97.52	81.68	80.89	88.88	82.29	1245.87
bacteria_collection	4.32	9.78	4.55	1.94	2.97	2.22	6.32	8.25	7.75	1.27	0.75	5.51	6.37	2.16	3.55	67.71
unmapped	4.123380762322654	11.935457139429351	3.9709726729261328	1.7913661638371319	3.4955600179902677	2.864136802785287	2.809977647676205	8.130316239734862	8.243540722640738	0.8102366460759001	0.2840456104956263	5.490198597055975	5.326031740347379	1.9207200758969718	3.859116163043883	65.05505700225837
hsa_HR	3.72	3.05	4.54	4.68	6.12	3.73	2.97	4.71	6.71	1.19	0.57	2.77	1.22	4.99	7.89	58.86
hsa-bacteria_collection	1.67	8.07	3.9	1.64	0.8	0.61	7.36	7.39	6.29	0.79	0.77	3.66	5.01	1.73	1.93	51.62
bacteria_collection_HR	0.41	0.54	0.2	0.07	0.3	0.2	0.23	0.41	0.54	0.04	0.01	0.43	0.5	0.07	0.29	4.239999999999999
bacteria_collection_HR-hsa_HR	0.04	0.29	0.15	0.03	0.01	0.01	0.19	0.35	0.24	0.02	0.02	0.11	0.18	0.06	0.03	1.73
human_virus	0.06	0.2	0.13	0.06	0.06	0.02	0.23	0.19	0.2	0.04	0.05	0.11	0.14	0.06	0.06	1.6100000000000003
human_virus-bacteria_collection	0.04	0.29	0.14	0.04	0.01	0.01	0.18	0.26	0.19	0.02	0.02	0.11	0.17	0.06	0.03	1.57
human_virus-hsa	0.03	0.09	0.06	0.03	0.02	0.01	0.09	0.09	0.1	0.01	0.01	0.07	0.11	0.03	0.02	0.7699999999999999
bacteria_collection_HR-hsa_HR-human_virus_HR	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.03	0.0	0.0	0.0	0.0	0.0	0.01	0.060000000000000005
	sumhuman_virus-hsa-bacteria_collection	0.03	0.14	0.06	0.02	0.01	0.01	0.11	0.12	0.13	0.01	0.01	0.06	0.08	0.03	0.02	0.84
hsa_HR-human_virus_HR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
