name	SRX2540520	SRX2540521	SRX2540509	SRX2540508	SRX2540518	SRX2540519	SRX2540514	SRX2540512	SRX2540513	SRX2540510	SRX2540511	SRX2540516	SRX2540517	SRX2540507	SRX2540515
mature#sense	33.82	21.65	22.9	11.21	36.66	41.19	40.54	17.2	7.23	22.32	75.97	41.38	62.52	18.98	26.19	479.75999999999993
Y_RNA #sense	30.14	10.42	24.22	33.66	22.65	28.67	7.86	18.57	17.61	62.91	16.54	16.05	3.13	47.59	21.13	361.1500000000001
un-assigned	19.327066171253758	26.768130503761704	14.781946719370525	15.092403969432159	20.508596255632778	12.958827362782369	17.860633839727484	27.408766572434956	35.137242585248856	2.8668655206177447	1.3266020303103927	19.07680956461047	13.581416852110523	7.842075512565176	23.97268080453958	258.51006426439847
rRNA#sense	3.61	17.59	17.45	18.64	5.67	4.82	7.45	11.54	12.12	1.66	0.8	6.88	7.83	10.56	7.78	134.4
tRNA#sense	1.64	2.44	4.44	5.18	4.82	3.46	2.08	2.83	3.48	0.27	0.25	3.18	1.02	5.52	6.15	46.76
lincRNA#antisense	0.99	2.93	3.91	6.56	1.1	2.53	3.98	3.02	4.39	0.82	0.25	1.39	1.67	1.93	2.57	38.04
antisense_RNA#sense	0.75	2.76	1.82	0.89	0.99	0.58	2.35	2.61	2.89	1.49	0.55	1.25	1.42	0.86	1.41	22.62
protein_coding#sense	1.32	2.06	1.21	0.84	0.91	0.69	2.9	2.28	2.37	0.6	0.4	1.62	1.29	0.66	1.4	20.549999999999997
lincRNA#sense	0.73	2.3	1.18	0.44	0.48	0.24	2.26	2.58	2.44	0.44	0.27	1.23	1.24	0.47	0.78	17.080000000000002
lncRNA#sense	1.22	2.12	0.83	0.29	0.82	0.44	1.18	1.9	2.27	0.15	0.08	1.54	1.25	0.33	0.88	15.3
snRNA#sense	1.34	1.03	0.32	0.25	0.56	0.44	3.94	0.68	0.35	0.37	0.12	0.97	0.54	0.16	1.61	12.68
protein_coding#antisense	0.79	1.22	1.11	1.19	0.66	0.41	1.06	1.13	1.5	0.15	0.08	0.86	0.64	0.48	0.74	12.020000000000001
misc_RNA#sense	0.59	0.36	0.61	1.14	0.64	0.69	0.73	0.68	0.53	1.69	0.44	0.48	0.19	1.72	0.72	11.21
lncRNA#antisense	0.93	1.23	0.43	0.17	0.7	0.3	0.59	1.21	1.46	0.08	0.03	0.99	0.61	0.18	0.62	9.529999999999998
snoRNA#sense	0.24	0.4	0.47	0.53	0.15	0.2	0.54	0.48	0.31	2.31	1.56	0.2	0.13	0.2	0.26	7.9799999999999995
antisense_RNA#antisense	0.36	0.93	0.41	0.14	0.27	0.12	0.77	1.07	1.03	0.07	0.04	0.51	0.54	0.17	0.31	6.74
retained_intron#sense	0.31	0.48	0.46	0.45	0.25	0.18	0.55	0.53	0.62	0.61	0.56	0.38	0.32	0.22	0.32	6.24
processed_pseudogene#antisense	0.12	0.28	0.73	1.27	0.18	0.47	0.28	0.27	0.45	0.11	0.03	0.17	0.19	0.37	0.41	5.330000000000001
Mt_rRNA#sense	0.12	0.36	0.36	0.21	0.25	0.38	0.09	0.91	0.6	0.45	0.05	0.06	0.25	0.34	0.53	4.96
otherRNA#sense	0.21	0.16	0.65	0.78	0.16	0.2	0.42	0.23	0.32	0.22	0.12	0.13	0.15	0.49	0.3	4.54
sense_intronic#sense	0.18	0.22	0.34	0.21	0.48	0.23	0.17	0.28	0.3	0.02	0.01	0.16	0.1	0.27	0.33	3.3
processed_transcript#sense	0.17	0.33	0.2	0.12	0.12	0.08	0.29	0.33	0.32	0.04	0.02	0.21	0.18	0.08	0.2	2.6900000000000004
retained_intron#antisense	0.17	0.26	0.25	0.2	0.13	0.08	0.19	0.27	0.35	0.04	0.01	0.19	0.14	0.11	0.15	2.5400000000000005
processed_transcript#antisense	0.13	0.32	0.14	0.08	0.11	0.05	0.23	0.31	0.34	0.02	0.01	0.17	0.16	0.06	0.13	2.2600000000000002
Mt_tRNA#sense	0.16	0.23	0.07	0.07	0.14	0.2	0.07	0.36	0.25	0.03	0.01	0.1	0.08	0.06	0.32	2.1500000000000004
miRNA#sense	0.09	0.11	0.09	0.04	0.11	0.09	0.23	0.1	0.06	0.06	0.19	0.13	0.21	0.07	0.1	1.68
nonsense_mediated_decay#sense	0.1	0.16	0.08	0.06	0.07	0.05	0.26	0.19	0.19	0.02	0.01	0.11	0.09	0.04	0.12	1.5500000000000003
nonsense_mediated_decay#antisense	0.07	0.12	0.05	0.03	0.05	0.03	0.15	0.18	0.19	0.01	0.0	0.08	0.06	0.02	0.06	1.0999999999999999
sense_overlapping#sense	0.06	0.1	0.13	0.05	0.04	0.01	0.1	0.12	0.15	0.01	0.01	0.06	0.06	0.05	0.04	0.9900000000000002
sense_intronic#antisense	0.04	0.11	0.07	0.02	0.02	0.01	0.1	0.1	0.15	0.01	0.01	0.05	0.05	0.03	0.03	0.8000000000000002
ribozyme#sense	0.01	0.02	0.01	0.01	0.03	0.02	0.15	0.06	0.04	0.01	0.0	0.03	0.02	0.0	0.08	0.49000000000000005
scaRNA#sense	0.03	0.03	0.01	0.01	0.03	0.04	0.05	0.02	0.0	0.02	0.07	0.05	0.07	0.01	0.04	0.48
processed_pseudogene#sense	0.03	0.06	0.03	0.02	0.02	0.01	0.04	0.05	0.07	0.01	0.0	0.04	0.03	0.01	0.03	0.45000000000000007
